# blob simulatore (sha1 byte grezzi)=ab685eac
attributo,fisico,riga,funzione,tipo,flag
_S,0,1512,__init__,diretto,sempre
_S,0,2291,_costruisci_struttura,diretto,sempre
_S,0,2297,_costruisci_struttura,diretto,sempre
_S,0,3266,_mat,CONCATENA,sempre
_S,0,3281,_mat2,CONCATENA,sempre
_S,0,3978,carica_stato,diretto,sempre
_calcolo_schermatura,0,2494,lambda_nodi,diretto,sempre
_calcolo_schermatura,0,2498,lambda_nodi,diretto,sempre
_calcpsi_chiamate,0,3293,calcola_psi,diretto,sempre
_calcpsi_origini,0,3303,calcola_psi,diretto,sempre
_calcpsi_w_none,0,3295,calcola_psi,diretto,sempre
_chi_core_nodi,0,1965,chiralita_core_locale,diretto,sempre
_chi_core_raggio,0,1968,chiralita_core_locale,diretto,sempre
_chi_core_rho0,0,1966,chiralita_core_locale,diretto,sempre
_chi_core_rhoc,0,1967,chiralita_core_locale,diretto,sempre
_chi_geom_nodi,0,1963,chiralita_core_locale,diretto,sempre
_cicli_topologici,0,1533,_grado,diretto,sempre
_cicli_topologici,0,1588,_base_cicli_topologici,diretto,sempre
_cs_chiamate,0,1464,__init__,diretto,sempre
_cs_chiamate,0,4177,_tempo_luce_nodo,diretto,sempre
_cs_fallback,0,1465,__init__,diretto,sempre
_cs_fallback,0,4181,_tempo_luce_nodo,diretto,sempre
_cs_fallback_ultimo,0,1466,__init__,diretto,sempre
_cs_fallback_ultimo,0,4182,_tempo_luce_nodo,diretto,sempre
_cs_in_chiamate,0,2824,_passo_spinoriale,diretto,sempre
_cs_in_fallback,0,2828,_passo_spinoriale,diretto,sempre
_cs_lam_degenere,0,4031,_cs_nodo,diretto,sempre
_cs_nodo_prev,1,1462,__init__,diretto,sempre
_cs_nodo_prev,1,1756,_eredita_spinore_figli,CONCATENA,sempre
_cs_nodo_prev,1,4681,step,diretto,FORK_SU2_MEM
_deg,1,1511,__init__,diretto,sempre
_deg,1,1531,_grado,diretto,sempre
_diag_amp_med,0,5730,memoria_hebbiana_moto,diretto,GRAV_BIFASE
_diag_sin2_med,0,5776,memoria_hebbiana_moto,diretto,VIRIALE
_diag_sin2_p95,0,5777,memoria_hebbiana_moto,diretto,VIRIALE
_dt_e_ultimo,0,4299,step,diretto,sempre
_fatt_cs_ultimo,0,2835,_passo_spinoriale,diretto,sempre
_g_as_archi,0,4774,step,diretto,ANOM_SIMM
_g_as_fuori,0,4778,step,diretto,ANOM_SIMM
_g_as_max,0,4776,step,diretto,ANOM_SIMM
_g_as_polo,0,4772,step,diretto,ANOM_SIMM
_g_as_usi,0,4769,step,diretto,ANOM_SIMM
_g_as_zero,0,4770,step,diretto,ANOM_SIMM
_g_cc_salti,0,5887,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cc_scarto_d0,0,5883,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cc_shape,0,5888,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cc_tot,0,5878,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cc_usi,0,5882,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_ccl_chi,0,1929,chiralita_core_locale,diretto,sempre
_g_ccl_geom,0,1927,chiralita_core_locale,diretto,sempre
_g_ccl_tot,0,1925,chiralita_core_locale,diretto,sempre
_g_cct_allarga,0,5960,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_archi,0,5962,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_min,0,5964,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_rapmax,0,5978,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_salti,0,5955,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_stringe,0,5958,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_tot,0,5946,memoria_hebbiana_moto,diretto,COES_CAUSALE
_g_cct_usi,0,5950,memoria_hebbiana_moto,diretto,COES_CAUSALE
