step,n,nati,coppie,s_abs_mean,frac_s_pos,archi_concordi,segno_arco,torque,twn_su2pi,frac_twn_gt2pi,corr_sign_twn,corr_sign_nbz,s_firmata_mean
1,824,0,0,0.9771676799301162,0.9526699029126213,0.9979938082282729,0.9959876164565458,0.9309475677298582,0.28460682130435644,0.0,-0.6105154523460016,0.6002078180736301,0.9035393632799877
2,824,0,0,0.977111367348121,0.9526699029126213,0.9979938082282729,0.9959876164565458,0.9309552251224771,0.2946019209676768,0.0,-0.585519558384864,0.6009067756882318,0.9035158475644225
3,824,0,0,0.9760204961659222,0.9490291262135923,0.9978927769879701,0.9957855539759402,0.930322941053065,0.29960844510863194,0.0,-0.5576525058406907,0.6074186172911024,0.8992644031537115
4,824,0,0,0.9633274185296217,0.8810679611650486,0.870449083863146,0.7408981677262919,0.8527931299473822,0.3107115914337928,0.0,-0.42981482134990673,0.1826147506600281,0.7561502408143116
5,824,0,0,0.9171678338010592,0.7390776699029126,0.7485909750236341,0.4971819500472682,0.5186099585404149,0.32081734827628444,0.0,-0.19141467609295118,0.4283480975318198,0.47681114473924247
6,824,0,0,0.9147366298739618,0.7196601941747572,0.7247836848979945,0.44956736979598905,0.41537874052962215,0.32794047206649324,0.0,-0.22297923969735373,0.25925086734419367,0.43862981778125487
7,824,0,0,0.9042104411553263,0.6796116504854369,0.6701979490658219,0.3403958981316437,0.3736358747278059,0.33497830475110785,0.0012135922330097086,-0.17181509025536468,0.21492980734775982,0.35157470133303775
8,846,22,3,0.8988736096705895,0.6631205673758865,0.6485973621172328,0.29719472423446563,0.33897435688473354,0.3349129249424767,0.009456264775413711,-0.153737125675159,0.2150984861454377,0.34003315469190537
9,877,53,10,0.9022830356545557,0.45610034207525657,0.5052656635457391,0.010531327091478282,0.12103470439862933,0.33523826297107284,0.01596351197263398,0.006523035906460604,0.026942424389719517,-0.07978191233498579
10,906,82,16,0.8849829048145095,0.5275938189845475,0.49981610886355277,-0.0003677822728944465,0.13851546727777878,0.34462993701145506,0.017660044150110375,0.019599987917972142,-0.025039060145643704,0.045904626061385
11,930,106,21,0.8763546901740406,0.4860215053763441,0.5000576792743947,0.00011535854878945622,0.15574496062685753,0.3559034759707763,0.013978494623655914,0.0015113926020944753,-0.0035000620296169026,-0.02341691057847402
12,953,129,25,0.8633494298686283,0.49737670514165794,0.49875653270859616,-0.0024869345828077132,0.13697952303407793,0.36862760851957627,0.017838405036726127,0.02815409378389905,-0.020611069513217426,-0.0021844928635287746
13,979,155,31,0.859105638394429,0.5209397344228804,0.49952795174297515,-0.0009440965140497416,0.15084675745901188,0.3785243656312158,0.024514811031664963,-0.0016195582582989299,-0.012142036086725724,0.0226088780695283
14,1017,193,38,0.8501066884776103,0.5191740412979351,0.5004971109926369,0.0009942219852739874,0.18727246165453137,0.37938298790592556,0.024582104228121928,-0.018159419740937738,0.014978411591527465,0.03546494853392083
15,1048,224,48,0.8365386893764424,0.4866412213740458,0.499225744185879,-0.001548511628241971,0.19811474881292793,0.39021584847968893,0.029580152671755726,0.020539121066828765,0.03261716846909387,-0.02578627217777295
16,1076,252,55,0.8261919919409294,0.5055762081784386,0.5014329123403275,0.0028658246806549633,0.20742236158363755,0.39990785219144337,0.02973977695167286,-0.03604161882998203,0.029790479678861236,0.03199418411122923
17,1131,307,69,0.8142815568310584,0.493368700265252,0.5029255759390271,0.005851151878054222,0.23747201325406572,0.3937145175975374,0.03359858532272325,0.02263443763524115,0.002146584288464752,-0.018203270118520385
18,1158,334,76,0.8123261552802772,0.5164075993091537,0.4993128557140904,-0.0013742885718191695,0.23263839547631912,0.40362902057391,0.030224525043177894,-0.028027037523796587,0.0025451527256029286,0.023356564490230186
19,1181,357,80,0.8198439675694693,0.46824724809483487,0.5012445326887661,0.0024890653775322285,0.24292115579554824,0.4185443255636068,0.03640982218458933,0.005884038321625485,0.023030653042672773,-0.05394504001762689
20,1196,372,86,0.7967057061118951,0.5050167224080268,0.49926993648807083,-0.0014601270238583316,0.2343097343722557,0.42313574633105455,0.028428093645484948,-0.032526351436150035,-0.06035765918968497,0.0049770432964531194
21,1216,392,91,0.7912557439429125,0.5164473684210527,0.4988997080270974,-0.0022005839458052266,0.2587043451879457,0.42392674489696447,0.028782894736842105,0.03885244470146461,0.023586322207362113,0.03665576031834622
22,1228,404,95,0.7933026669491875,0.4796416938110749,0.49918745955274324,-0.0016250808945135543,0.27562836454767004,0.4304980214141376,0.030944625407166124,-0.03299220370078371,0.0036553897134223006,-0.032076259197794776
23,1258,434,103,0.7908060212321772,0.527027027027027,0.5013299019466889,0.002659803893377807,0.2701043852906771,0.427005931004791,0.03179650238473768,-0.016833121514173162,-0.041540906481983664,0.0406064289922227
24,1273,449,105,0.7802149433307164,0.48860958366064416,0.49999640610961366,-7.187780772686433e-06,0.29390439457678497,0.4310551838699713,0.03377847604084839,0.015261416797975061,-0.04735812312375129,-0.027019985482275702
25,1294,470,112,0.7832366203331093,0.4768160741885626,0.499867052812372,-0.00026589437525601314,0.2889989371930338,0.434239053033424,0.03709428129829984,-0.0012474175356687858,0.051187586452249315,-0.03454151858821047
26,1309,485,115,0.7773168421329772,0.4965622612681436,0.49860962413146415,-0.00278075173707166,0.2738059223299244,0.43506193626099887,0.03819709702062643,-0.047318241858293225,-0.003444838088631632,0.0020366803126949957
27,1319,495,115,0.7789462034768654,0.513267626990144,0.5015555284126425,0.0031110568252850604,0.29434339054730724,0.4419704126341468,0.04245640636846096,0.0047873158600796745,0.007003562340780129,0.017309048675847392
28,1330,506,116,0.7732560754564853,0.493984962406015,0.5005280437953058,0.0010560875906115968,0.3056677611502054,0.4446462515867048,0.0443609022556391,0.0002324528233154759,-0.013254392855151467,-0.006016352002004926
29,1339,515,117,0.7601650549909645,0.5115758028379388,0.5002622069926654,0.0005244139853307759,0.3225168599602438,0.44651938662523094,0.04630321135175504,0.010706094878140055,-0.013269566510998762,0.024442809613580464
30,1346,522,118,0.7623095551526584,0.5156017830609212,0.4991631408437552,-0.001673718312489674,0.2993995892833368,0.4484911008594664,0.04606240713224369,-0.000657049962119682,0.011060800201087424,0.006005951351677947
31,1361,537,122,0.7647469935697436,0.529757531227039,0.504230410112763,0.008460820225526107,0.3056158683641389,0.44553818998498695,0.0440852314474651,-0.030404262730893434,0.018531323630399943,0.054225695654684054
32,1376,552,125,0.7608766375006784,0.49127906976744184,0.49905923244858097,-0.001881535102838102,0.31285732541309647,0.44202170900562865,0.0436046511627907,-0.023514290582210176,-0.020314986879524877,-0.014650620563949127
