# RUN_PARAMS {"alfanat":0.0,"batch":true,"bussola":1,"calore_scal":false,"calore_vett":false,"chi_basc":false,"chi_core":false,"chi_da_spinore":false,"coppia":1.0,"costanti_effettive":{"CS_M":2.0,"GAMMA":0.05,"K_C":2.0,"LAM":0.8,"PHI_CRIT":6.283185307179586,"SCALA_B":1.0},"cs_dinamico":false,"csv":"out_freetest/covA.csv","da_libera":false,"db_cleanup":false,"db_ogni":40,"denoise":false,"diaglog":"out_freetest/covA_diag.csv","diffres":0.0,"dpi":100,"elast_c":null,"fps":20,"frames":0,"gamma":0.05,"giri":1.0,"guscio_morbido":false,"ham":0.0,"kfrange":0.0,"lam":0.8,"leggi_attive":{"CHI_BASC":false,"CHI_CORE":false,"CS_DINAMICO":false,"LS_AZIM":false,"OLON_PART":false,"PAV_COM":false,"PLAST_DIN":false,"POLO_MATURO":false,"REGIME":"deterministico","SPINORE":true,"SPINORE_VIVO":true,"SPIN_FEEDBACK":false,"SPIN_LARMOR":false,"SYNC_UPDATE":true,"TAU_USA_D0":false,"VERLET":false,"VERSO_CHI":false,"VIRIALE":false,"ZETA_LOC":false,"ZETA_VIR":false},"ls_azim":false,"maxnodi":4000000,"mitmax":0,"mupsi":-0.05,"nmasse":2,"nmasse_effettive":2,"nodi":900,"ogni":20,"ogni_effettivo":20,"olon_part":false,"out":null,"passi":80,"passi_effettivi":80,"passi_per_frame":null,"pav_com":false,"plam":1.0,"plast_din":false,"plastmit":0.0,"polo_maturo":false,"regime":null,"scala":1.0,"seed":1,"seed_effettivo":1,"sep":4.0,"sep_effettivo":4.0,"size":null,"solo_materia":false,"spin_feedback":false,"spin_larmor":false,"spin_positivi":false,"spinore_corretto":true,"spinore_vivo":true,"sync":true,"sync_db":"out_freetest/covA_db.pkl","sync_spinore":true,"tau_d0":false,"tauloc":1.0,"tempo_proprio_orientato":false,"test":null,"tw_spinore":false,"verlet":false,"verso_chi":false,"viriale":false,"vista_rete":false,"zeta":0.75,"zeta_loc":false,"zeta_vir":false}
step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_spin_core,m0_spin_core_disp,m0_spin_axis_R,m0_omega_axis_R,m0_spin_core_cv,m0_Mdyn,m0_Mcoh,m0_Rinerzia,m0_Jrot,m0_Jshell_frac,m0_Ncore,m0_Nshell,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,m0_picco_picco,m0_picco_n_dominio,m0_picco_chi,m0_picco_spin,m0_picco_spin_x,m0_picco_spin_y,m0_picco_spin_z,m0_picco_spinor_alpha_re,m0_picco_spinor_alpha_im,m0_picco_spinor_beta_re,m0_picco_spinor_beta_im,m0_picco_coerenza,m0_picco_verso_x,m0_picco_verso_y,m0_picco_verso_z,m1_picco_picco,m1_picco_n_dominio,m1_picco_chi,m1_picco_spin,m1_picco_spin_x,m1_picco_spin_y,m1_picco_spin_z,m1_picco_spinor_alpha_re,m1_picco_spinor_alpha_im,m1_picco_spinor_beta_re,m1_picco_spinor_beta_im,m1_picco_coerenza,m1_picco_verso_x,m1_picco_verso_y,m1_picco_verso_z,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_feedback_arco,spin_cluster_modulo,spin_cluster_omega,spin_neel_modulo,spin_neel_omega,spin_axis_R,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ,m0_picco_spin_plus,m0_picco_spin_minus,m0_picco_contrasto,m0_picco_q_x,m0_picco_q_y,m0_picco_q_z,m0_picco_q_modulo,m0_picco_n_plus,m0_picco_n_minus,m1_picco_spin_plus,m1_picco_spin_minus,m1_picco_contrasto,m1_picco_q_x,m1_picco_q_y,m1_picco_q_z,m1_picco_q_modulo,m1_picco_n_plus,m1_picco_n_minus
0,824,143545,0.0,3.813147640923862e-12,3.903651188349267e-14,3.813147640923862e-12,0.43214000975998335,4.765932867278302,3.9259345486703348,-9.220169508719083,9.230822106345322,-0.00025212413699128366,9.230822106345322,0.00016920300822390326,12.566347903676304,6.300495346250676,-1.0879596805795027,1.0019483028542497,0.00029984147990763275,1.0879596805795027,0.05713776769883193,2.3984126484533506,1.46368341995136,0.05713776769883193,2.398279983049147,1.4631371573173317,0.0,0.057905409063333704,0.004402040137754053,1.0,1.0,1.0,0.019165553751225656,-0.12065323817257095,0,0,0,0.0,0.6122909156143452,372,0.9987,-0.02108,0.450489026714531,0.0,0.0,0.0,0.05838523794715927,0.0,3.322618153949629e-12,-6.57983755398119e-14,0.003322618153949629,2.8667700120828224e-11,0.02165445127985356,383,6,4,4,0,0.9988,372,0.6122909156143452,0.0,0.0,80.0,372.0,-5.97e-05,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.0,372.0,0.0591168,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,1.0677037108587285e-18,4.384705376369634e-20,1.140811824993714e-19,1.1049643325969504e-18,1.1838228388598079e-14,8.633118279874018e-21,14.426798726039348,5.404513084025419,6.457449962674869,3.1367841055385752,0.9952263551207128,1.384860705711794,0.012681985970851885,0.0,0.8962696651400275,0.0,0.02212827860141555,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.3158639531856596e-14,372,0.9988,0.9986,0.02718,0.0,2,0.9975,1.0,0.0,0.0,0.0,0.0,0.00216,1.0,1.26035,0.27748,0.9893,0.9736,0.9841,0.4915,3.6645,3.4202,1.3925,9.7371,22.9643,6.2667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,175.0
1,833,143556,0.0,2.7265772594333356e-12,3.181737665098688e-14,2.7265772594333356e-12,0.4155682255872581,4.763367867641243,3.9214841585623246,-9.415278612453056,9.412369227113679,0.0017009915203291606,9.415278612453056,0.0003777543266192396,12.566186830694328,4.8656856967616315,-1.0879596824359534,1.0019483045631468,0.000652132045586433,1.0879596824359534,0.05713776769883193,2.398412648453427,1.454007659764701,0.05711284308332903,2.3984126484536783,1.4521587181206432,0.0,0.05790542320544933,0.004354493069162804,1.4142115624116158e-06,1.3278258393082003,0.9487471922133469,0.0,-0.12065326868465807,0,0,0,7.928513745806049e-25,0.6145009467307629,378,0.8883,-0.04324,0.44982782921803016,0.0,0.0,0.0,0.06385753927945113,0.0,4.20793863631349e-12,4.3667332122653366e-13,0.004207938636313489,5.257754374688485e-11,0.04353534867920323,381,14,38,37,1,0.8054,377,0.6131810493265569,-0.041887,-0.04188724604326444,80.0,372.0,-0.0527317,1.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,452.0,372.0,0.1586527,1.0,0.0,-0.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,256,7.935204474540843e-19,3.613506784468166e-20,8.608128355730892e-20,8.213534924802111e-19,8.036561416701658e-15,7.399776694195483e-21,25.73519005529305,7.914358559810064,9.913723098990713,3.1367145859414363,0.9952188876596215,1.3848488102906915,0.012691112733394579,0.0,0.8973903544432043,4.6259173550328594e-05,0.025417336681365605,0.030646290334393516,0.0,621.4857873344095,289.78281772157135,0.609170287691727,0.609170287691728,0.609170287691728,0.76146285961466,9.409037019072266e-15,375,0.8764,0.8219,0.06699,-0.036091,2,0.7953,0.9781,3.100758,0.0,0.0,2.0,0.26878,0.70415,1.27131,0.27747,0.9889,0.974,0.9849,0.4898,3.6721,3.4273,1.3219,10.2818,23.0116,6.2666,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,175.0
2,836,143560,0.0,1.678550285822011e-10,1.9177165953079247e-11,1.678550285822011e-10,0.4069051531932893,4.775512445175446,3.9197382112109405,-9.404863908106748,9.400398323008163,0.008185590010859552,9.404863908106748,0.0004989105595818444,12.566331618721968,5.071174727968918,-1.0912843188231047,1.0065532096203011,0.0009698547761900287,1.0912843188231047,0.057137804783943716,2.398412871135646,1.4511507956654457,0.07476258046225838,2.398413202697884,1.4459088756001732,0.0,0.06928851950865982,0.012746036645955885,0.0011827048353082459,1.391122768865851,0.8888001777421817,0.0,-0.1420412022404731,0,0,0,3.826503646228904e-09,0.6533866176143979,381,0.8265,-0.05009,0.45326452352327534,0.04089390674412242,0.46139996647753956,0.9999627890722125,0.5393000543974956,1.132186548897477,4.487013995324124e-09,3.771677937271823e-09,1.1896598993735201,1.8371333235828453e-09,0.2395970928560238,372,26,0,0,0,0.8418,376,0.6475263146669469,0.291768,0.2917684976915518,241.0,372.0,0.1322689,0.9999639,-0.009468,0.0008302,0.9999187,0.9999887,0.0001015,-0.0047345,0.0004146,0.9079085,-0.0094684,0.0008303,0.9999548,796.0,372.0,0.2088735,0.9999754,-0.0025224,0.0024427,0.9999693,0.9999985,-0.0001361,-0.0012604,0.0012217,0.8332926,-0.0025225,0.0024428,0.9999938,256,6.257623510508285e-18,2.1300079546288338e-19,5.843421703303118e-19,3.3509870199269476e-17,1.5592187901653512e-11,4.8823373548293345e-20,26.313032463261926,7.717933291949622,9.775264590137095,3.1266510505506737,1.19861740817933,1.5248404922535683,0.0633122931712331,0.0,0.9033874153388254,0.022094709435780353,0.02407100942862923,0.24051514077392616,0.9775156274782397,621.4858052404309,289.78282607068803,0.6091702876916557,0.6091702876917208,0.609170287691728,0.7614628596146509,5.792442252642518e-13,375,0.7585,0.7718,0.11872,-0.051602,2,0.6317,0.9208,0.005679,8.095,4.0475,2.0,0.30134,0.78723,1.27488,0.26966,0.9892,0.9738,0.9844,0.4904,4.0348,3.3012,1.3205,10.3753,23.027,5.7071,59,0.0695,-0.888,51,0.1315,-0.2641,1.0,0.9999601,0.9999704,-5.1e-06,-0.0021632,-0.0005461,0.1322452,0.132264,186.0,186.0,0.9999755,0.9999766,-6e-07,-0.0014211,0.0008586,0.2088636,0.2088702,197.0,175.0
3,838,143562,0.0,1.296475494788211e-09,2.8084717118564334e-10,1.296475494788211e-09,0.4115211670438562,4.767690672292733,3.9187513570325723,-9.401389123052907,9.422825314351314,-0.032787252841638796,9.422825314351314,0.00099784712317073,12.566287862258328,4.931964347616909,-1.0929711303038907,1.0116062887436068,0.0012351137467772066,1.0929711303038907,0.05713891422002045,2.3984153708363203,1.4487155052710627,0.08892939326917024,2.3962258875397113,1.4386114361284557,0.0,0.08303145432796843,0.02165257115264233,0.05783394717265222,1.4136835209561003,0.9923713335703013,1.01306220581872e-11,-0.16282541438804163,0,0,0,4.2139475947534644e-08,0.6534648783875613,381,0.7911,-0.05919,0.4550986327967884,0.07445540918603293,0.45731189820890983,0.7636137452041717,0.8033646127936626,1.1176503665694701,4.868269654710821e-08,4.195620970991937e-08,1.1603216039698303,1.667497106561259e-08,0.12294251337327831,356,42,3,3,0,0.8072,376,0.6474989350767744,0.083772,0.0837722685382698,241.0,372.0,0.1936094,0.7839207,-0.3816293,-0.3073626,0.6118978,0.9391231,-0.0010507,-0.2726983,-0.2090035,0.8897534,-0.4868214,-0.3920838,0.7805609,545.0,372.0,0.1896968,0.8717612,0.7719147,-0.2999495,0.2722967,0.8091842,0.0002116,0.5474761,-0.2132856,0.8163774,0.8854658,-0.344073,0.3123524,256,6.918896289442836e-17,1.4971663572647803e-18,5.231919345550344e-18,2.0913523479656616e-16,2.230770690823077e-10,-5.2858438666916865e-19,29.45007338609844,7.6861927875890785,9.611759017280066,3.1251987283509823,1.0370407730636595,1.3409651451267968,-0.1347301433226073,0.0,0.553160623328236,0.4652811367114871,0.11891820409903166,2.664748002183801,0.6989772684687875,621.4858492972387,289.78284661324295,0.6091702876911699,0.6091702876916407,0.609170287691728,0.7614628596145508,4.4739552735450375e-12,377,0.6853,0.7067,0.12256,0.046222,2,0.5453,0.9156,-0.000123,8.11,4.0548,2.0,0.31943,0.76309,1.2765,0.25369,0.9889,0.9741,0.985,0.4893,4.0406,3.306,1.3224,10.4951,23.0601,5.7071,59,0.1328,-0.8985,51,0.1022,-0.7334,1.0,0.7515448,0.8728217,-0.074661,-0.1211098,-0.1428484,-0.0209123,0.1884424,186.0,186.0,0.8542929,0.9206786,-0.037401,0.1478442,-0.0851038,-0.0754623,0.1865345,197.0,175.0
4,840,143564,0.0,5.4987634230777865e-09,1.2386157001827152e-09,5.4987634230777865e-09,0.41799805417927777,4.7597292565049125,3.917900580264883,-9.396636021141704,9.434505221061265,-0.03636407912855014,9.434505221061265,0.00010841400777015283,12.566355004417643,4.700108662531853,-1.0955434613650672,1.0167638734753393,0.0011491079836919152,1.0955434613650672,0.05715130146942343,2.3984191469134553,1.4458662627478513,0.09491973028119108,2.398419355089444,1.4269367901740826,0.0,0.09716620529085045,0.03111919672119392,0.0002306248030874425,1.4141830095486592,0.9065615833555233,4.641885966595082e-09,-0.18304685679172036,0,0,0,1.6252815504990881e-07,0.6420021343779828,381,0.766,-0.06361,0.4568042855267046,0.04559088163176551,0.46222559188276674,0.05644302847886682,0.6875646040233865,1.1257278513392195,1.9476617270948345e-07,1.6237076045948657e-07,1.1995150614453143,6.763133249040306e-08,0.11927452540957778,354,45,2,1,1,0.7738,379,0.6390519553552646,-0.10781,-0.10780994238520636,241.0,372.0,0.0928666,0.0545494,0.0409808,0.0041183,0.0357666,-0.8149264,0.3404459,-0.4555939,0.1114712,0.8718633,0.7512606,0.0754961,0.6556735,545.0,372.0,0.1892564,0.0561338,0.02084,0.0170183,-0.0492653,0.778057,-0.377327,0.3542183,0.3560632,0.7927362,0.3712566,0.3031747,-0.877641,256,3.505365056199068e-16,9.102818962413157e-18,2.9626271289438324e-17,2.170765863943953e-15,8.293407635023806e-10,-9.674527634957615e-20,29.406088033861366,7.637285681305594,9.613453776808202,3.132041614383657,1.0495040107491964,1.3857095487845121,-0.08109494220437133,0.0,0.03721909103899091,1.3026533561342069,0.0320462241357606,1.0911344520631503,0.05629760174543589,621.4859139919347,289.7828767787136,0.6091702876893609,0.6091702876913632,0.609170287691728,0.7614628596142039,1.897546012450141e-11,379,0.6476,0.6771,0.12277,0.169263,2,0.497,0.9354,0.005502,8.06,4.0298,2.0,0.33256,0.71016,1.27773,0.22187,0.9887,0.9744,0.9856,0.4881,3.6707,3.426,1.3949,10.5927,23.0033,6.2667,58,0.1315,-0.7961,53,0.0816,-0.7012,-3.0,0.0806174,0.0470927,0.2625064,0.0412234,0.0085719,-0.0067193,0.042638,186.0,186.0,0.0647907,0.0489062,0.1397084,-0.0017602,-0.0038038,-0.0242089,0.024569,197.0,175.0
5,840,143564,4.841391689148681e-15,1.6145046002674154e-08,3.7162591647114795e-09,1.6145046002674154e-08,0.4179971269684787,4.759726659968161,3.917900657829596,-9.413821957326459,9.388476792850861,-0.047301523010218456,9.413821957326459,0.0013508281178461821,12.565958717086414,4.603523477899613,-1.09904381031665,1.0226452786184883,0.0015810210712018432,1.09904381031665,0.057161425102973375,2.3984248373537715,1.4458672485235569,0.1142047759251993,2.398425141309737,1.4085189241466787,0.009704233064878342,0.10084084472995311,0.04059628385643594,0.0027038606934304266,1.414053705064625,0.8995249027006534,1.5015212108802465e-08,-0.20259307077534144,0,0,0,4.016743760569024e-07,0.6315670273034765,381,0.7506,-0.06727,0.4586751346088411,0.06256820718735417,0.4615337535074286,0.032659030240437176,0.6866788481800891,1.1165678994871033,5.051868721074257e-07,4.0215522718857404e-07,1.2561986963072327,1.7592281893589992e-07,0.12526999414680495,353,46,3,2,1,0.7583,379,0.6287631585020622,0.178289,0.17828933495135546,241.0,372.0,0.1167547,0.0326071,0.0050025,-0.0290447,0.0139501,0.6798218,0.2472811,-0.6837191,-0.0960342,0.849519,0.1534172,-0.8907473,0.4278229,545.0,372.0,0.1866764,0.0394291,0.0349152,-0.0168074,-0.0072866,-0.6725263,-0.0202215,-0.7057418,0.2218737,0.7804339,0.8855182,-0.4262693,-0.1848023,256,7.492613218314382e-16,1.6120680507892534e-17,6.04285901224585e-17,1.1846303106918833e-14,2.209230675512388e-09,-2.6580553769338715e-18,30.692161953360735,7.603611951713788,9.639160861474926,3.127869813759062,1.180638433281398,1.4848483125657246,0.06644757418317293,0.0,0.01636826400709845,0.9946339011404857,0.038209137380925975,2.060021524776028,0.03617613467977929,621.4859957313267,289.78291489168714,0.6091702876847777,0.6091702876907402,0.609170287691728,0.7614628596134252,5.5714278423587277e-11,379,0.6384,0.6674,0.12205,0.111029,2,0.4798,0.9643,0.007806,8.066,4.0328,2.0,0.34333,0.66278,1.27636,0.17512,0.9887,0.9744,0.9856,0.4881,3.6707,3.426,1.3949,10.5927,23.0033,6.2667,58,0.1054,-0.4848,53,0.0982,-0.1484,-1.0,0.0594872,0.0919632,-0.2144331,-0.0040834,-0.0132163,-0.065199,0.0666503,186.0,186.0,0.0324115,0.1397572,-0.6234911,-0.072799,0.0185669,0.0008797,0.0751345,197.0,175.0
6,844,143570,0.0,3.417680852108453e-08,8.590192070527855e-09,3.417680852108453e-08,0.40684935613413525,4.775696303392739,3.915480399947183,-9.525522590274623,9.384120231786708,-0.07722662055223942,9.525522590274623,0.0010838929475003312,12.56519824684125,4.555831188537844,-1.1017416755466038,1.0288150987440328,0.001755101234637196,1.1017416755466038,0.05716626376210697,2.398451031291733,1.4409541685975857,0.13227749259723723,2.3962427170176492,1.3677978586507746,0.0,0.11492870203958468,0.04921106710243889,0.17930683095468147,1.4138313215355014,1.0100166571663534,3.4625165126435804e-13,-0.22135803370277357,0,0,0,9.138171219400077e-07,0.6250659713086514,385,0.739,-0.07279,0.4605425938474271,0.050861237309309595,0.4614964978908603,0.05021869068399084,0.670210981396891,1.1135481734244186,1.1824326622177715e-06,9.149921640061854e-07,1.292287200625445,4.3971876166042045e-07,0.12713519984863267,350,53,2,2,0,0.7468,383,0.6225836768255245,0.574003,0.5740025959346111,98.0,372.0,0.0507177,0.0488666,-0.0423199,-0.019088,-0.015252,-0.7707177,0.1116385,-0.5188599,0.352584,0.8214338,-0.8660284,-0.3906141,-0.3121145,796.0,372.0,0.1900091,0.0447625,0.0093951,-0.028136,-0.0335228,0.2208258,0.3130877,0.7058317,-0.5958302,0.7950691,0.2098869,-0.6285627,-0.7489035,256,1.9114031359000083e-15,6.159354422705858e-17,2.0937323843302923e-16,3.2601479256771555e-14,4.980319814741942e-09,-1.4189581884004125e-18,22.998350614899223,6.27946330549533,7.642976566223621,3.1377502009456295,1.2404852824700061,1.5736968787511187,0.036661362407104575,0.0,0.034947510355540674,0.9964799786175335,0.04482026012817157,0.6232765018776738,0.045751031743423605,621.486092076488,289.7829598149547,0.6091702876770149,0.6091702876896156,0.609170287691728,0.7614628596120194,1.1793933136340608e-10,379,0.6621,0.6919,0.12136,0.213549,2,0.4894,0.9801,0.007422,8.055,4.0273,2.0,0.35867,0.65297,1.28068,0.17509,0.9888,0.9743,0.9853,0.4882,4.0345,3.301,1.3204,10.7937,23.0254,5.7071,57,0.0561,0.0002,54,0.0496,0.604,1.0,0.1096065,0.048958,0.382485,-0.0356827,-0.0173925,-0.0612193,0.0729627,186.0,186.0,0.0526461,0.1543359,-0.4912979,-0.0571064,0.0051207,0.0669721,0.0881625,197.0,175.0
7,846,143572,0.0,6.813902038088748e-08,1.7891170113407288e-08,6.813902038088748e-08,0.40109335290264025,4.783490989427034,3.9139927120105327,-9.406594538628525,9.34151061602816,-0.08797938983630076,9.406594538628525,0.0014605365230825785,12.565763052018283,4.580273649859882,-1.1061409505169586,1.0345142634687834,0.0016284480318069538,1.1061409505169586,0.0572570618990896,2.398504758158883,1.438736654756598,0.13230488833960174,2.3849366165340884,1.297243410508442,0.0,0.12903984415712058,0.05883102226025408,0.001214942757620352,1.4141209667819725,0.9070496890196896,8.756027316099058e-08,-0.23895515981760013,0,0,0,2.619721644977063e-06,0.6253599806791105,387,0.7533,-0.06838,0.4647984834986438,0.038614735384417426,0.466347491552519,0.07859156323830091,0.6682596611713622,1.1167741862193685,3.3291506773636032e-06,2.6156149380316047e-06,1.2727984646964028,1.2279134337196077e-06,0.08316640139526986,360,45,1,1,0,0.7611,385,0.6229403211877914,-0.262034,-0.2620340375441921,98.0,372.0,0.016634,0.0971016,-0.0322262,-0.0050249,-0.09146,0.2180334,0.1373876,0.7635913,0.5920426,0.8215733,-0.3318814,-0.0517491,-0.9419006,796.0,372.0,0.1948139,0.0615104,0.0175604,-0.0008348,0.0589446,-0.5300951,-0.4610498,-0.0790356,-0.707238,0.7933102,0.2854872,-0.0135724,0.9582864,256,3.8716971020290425e-15,2.6396102552260306e-16,4.765051998103022e-16,9.963512412305583e-14,9.10942507698889e-09,2.943269809987143e-17,21.695501417945778,5.653072812584176,6.828820008288043,3.1414124667034002,1.1910143718674606,1.5031818996931061,-0.001773388414747952,0.0,0.027752460427255213,0.6764325426721463,0.04990297247998439,1.4389963528337484,0.0145195871218635,621.4862780028977,289.7830465076514,0.6091702876623943,0.6091702876862517,0.609170287691728,0.7614628596078146,2.351380496618816e-10,379,0.7044,0.7348,0.10186,0.100421,2,0.5306,0.9772,0.006342,8.004,4.0022,2.0,0.37493,0.66409,1.28185,0.18534,0.9892,0.9739,0.9845,0.4894,4.0329,3.2996,1.3199,10.9464,22.9752,5.6969,57,0.0476,0.7789,53,0.0541,0.7892,3.0,0.0861424,0.1635919,-0.3101275,-0.0506629,-0.011083,0.0682359,0.085707,186.0,186.0,0.0943106,0.0604748,0.2185979,-0.0286671,-0.0145339,0.0521322,0.0612438,197.0,175.0
8,904,143645,0.0,1.333290711876909e-07,3.3318489027629905e-08,1.333290711876909e-07,0.41542947846549183,4.758460465193485,3.912724013754629,-9.24166397260606,9.366000807443474,-0.10186351321713275,9.366000807443474,0.0001832002781833198,12.566170531573416,4.72457848977152,-1.1092633313118585,1.0412440034718182,0.0012420807334385213,1.1092633313118585,0.057410989916710994,2.398566032937781,1.3888188581190963,0.10533677052712187,2.385832006722678,1.181638977811497,0.0,0.1431791839372338,0.06437905697110989,0.0002442100468588171,1.4141742660712444,0.8877367411602292,3.66002523059013e-12,-0.2550297018496737,0,0,0,5.609311080572013e-06,0.6163013592506592,414,0.6652,-0.06223,0.4679927917842865,0.023209904124183424,0.4707326126982827,0.04759100383580976,0.6723650903746606,1.1701032592134606,7.012547316955844e-06,5.590448394803998e-06,1.25438011796578,2.557062096848927e-06,0.09578940044429055,359,73,0,0,0,0.6719,412,0.6140754856492856,-0.006797,-0.006797370464637353,102.0,372.0,-0.0090105,0.0532644,0.0451875,-0.0078896,-0.027073,-0.7514913,-0.2959244,-0.374526,-0.4554336,0.8304208,0.8483612,-0.1481211,-0.5082749,796.0,372.0,0.1783144,0.0539269,-0.0343763,0.0414835,-0.0023453,-0.410488,-0.186355,-0.8194544,0.3539292,0.8136725,-0.6374608,0.7692543,-0.0434908,256,3.580002858777434e-15,5.059723859579126e-16,7.773370763149818e-16,3.114762777404549e-13,1.7871424385005195e-08,1.191035874811367e-16,20.09307203526928,5.769165259637072,6.817568785079014,3.071714585365125,0.8132616214715629,1.129872695239052,0.1251602984240086,0.0,0.05124006440786426,0.6835399960066098,0.01987040675880023,2.0684481831235013,0.04062651241071791,621.4864636240171,289.7831330579992,0.60917028763433,0.6091702876813246,0.609170287691728,0.7614628596016557,4.600994881265415e-10,410,0.6041,0.6304,0.08313,0.01427,2,0.4034,0.9319,0.00314,7.973,3.9866,2.0,0.39149,0.68708,1.34496,0.18637,0.99,0.9753,0.9851,0.4912,3.6734,3.4285,1.3959,11.5448,24.8156,6.7555,57,0.1411,0.6366,53,0.1162,0.5238,4.0,0.0952879,0.0876246,0.0418958,0.0436162,0.0137221,0.0586448,0.0743631,186.0,186.0,0.072719,0.0529181,0.1576043,-0.0166874,0.0171181,-0.0337159,0.0413311,197.0,175.0
9,992,143752,0.0,2.378436094615167e-07,5.022510754547112e-08,2.378436094615167e-07,0.4461258041967292,4.798334244688347,3.9110356556960455,-9.402586287881292,9.413420103006382,-0.13458042724621966,9.413420103006382,3.339218422457787e-06,12.564312937229802,4.877099107123952,-1.1108970094104877,1.0483886126140747,0.003115030772315513,1.1108970094104877,0.05122712647404606,2.398686667775802,1.316293206072186,0.05,2.3853344533390497,1.0586703870575789,0.0,0.15729439916141094,0.06641108035945412,0.0130303231260126,1.4139501785399482,0.9570116073091905,4.2118727165436795e-12,-0.2695533917021508,0,0,0,6.9554352820820955e-06,0.602564169077234,454,0.5411,-0.06042,0.4666730836390465,0.01646043954550818,0.4719251633628531,0.07822082705728584,0.6487871008872925,1.2456674859332766,8.810616638927795e-06,6.924085321364604e-06,1.272459282346248,3.2162157327443655e-06,0.10453911313402464,362,111,2,2,0,0.5465,452,0.6005446786035595,-0.017789,-0.017788775755810393,438.0,373.0,-0.0148737,0.097879,-0.0671553,-0.060161,-0.0380936,0.3195751,0.0475393,-0.7594898,-0.5646123,0.8260032,-0.6861052,-0.6146462,-0.389191,796.0,372.0,0.1448076,0.0659446,0.0572503,-0.0128643,-0.0300933,0.2382742,0.0905449,-0.9155578,0.3110965,0.8066761,0.8681572,-0.1950776,-0.4563418,256,9.375399577050959e-15,6.017697516599061e-16,1.3445501067665953e-15,9.07532656577594e-13,3.002429189242844e-08,-1.531489968956891e-17,31.23665847149822,7.858230074738032,10.10760762390684,3.1340893882857452,1.129679988907541,1.5006694099391682,-0.06440220577025571,0.0,0.028402934594006807,1.1762154691682525,0.02282844487184966,1.8366169183811274,0.03748034900310327,621.4864986867576,289.7831494068521,0.6091702875893367,0.6091702876802179,0.609170287691728,0.7614628596002723,8.207641125729747e-10,458,0.4972,0.5191,0.07507,-0.00991,2,0.2704,0.9062,0.001883,7.953,3.9765,2.0,0.40217,0.68045,1.43284,0.1745,0.9906,0.9777,0.987,0.497,3.6504,3.2854,1.4602,13.2457,26.8102,7.3445,57,0.1726,0.4612,53,0.1757,0.2604,2.0,0.1653318,0.0426842,0.5896068,-0.0598599,-0.0192567,-0.0258397,0.0679832,187.0,186.0,0.0633429,0.0699305,-0.0494291,0.0052691,0.0034272,-0.005414,0.0082958,197.0,175.0
