# RUN_PARAMS {"alfanat":0.0,"batch":true,"bussola":1,"calore_scal":false,"calore_vett":false,"chi_basc":false,"chi_core":false,"chi_da_spinore":false,"coppia":1.0,"costanti_effettive":{"CS_M":2.0,"GAMMA":0.05,"K_C":2.0,"LAM":0.8,"PHI_CRIT":6.283185307179586,"SCALA_B":1.0},"cs_dinamico":false,"csv":"out_sync_spinore\\cond_on_s2.csv","da_libera":false,"db_cleanup":false,"db_ogni":200,"denoise":false,"diaglog":"out_sync_spinore\\on_s2.csv","diffres":0.0,"dpi":100,"elast_c":null,"fps":20,"frames":0,"gamma":0.05,"giri":1.0,"guscio_morbido":false,"ham":0.0,"kfrange":0.0,"lam":0.8,"leggi_attive":{"CHI_BASC":false,"CHI_CORE":false,"CS_DINAMICO":false,"LS_AZIM":false,"OLON_PART":false,"PAV_COM":false,"PLAST_DIN":false,"POLO_MATURO":false,"REGIME":"deterministico","SPINORE":true,"SPINORE_VIVO":true,"SPIN_FEEDBACK":false,"SPIN_LARMOR":false,"SYNC_UPDATE":true,"TAU_USA_D0":false,"VERLET":false,"VERSO_CHI":false,"VIRIALE":false,"ZETA_LOC":false,"ZETA_VIR":false},"ls_azim":false,"maxnodi":4000000,"mitmax":0,"mupsi":-0.05,"nmasse":2,"nmasse_effettive":2,"nodi":900,"ogni":10,"ogni_effettivo":10,"olon_part":false,"out":null,"passi":2000,"passi_effettivi":2000,"passi_per_frame":null,"pav_com":false,"plam":1.0,"plast_din":false,"plastmit":0.0,"polo_maturo":false,"regime":null,"scala":1.0,"seed":2,"seed_effettivo":2,"sep":6.0,"sep_effettivo":6.0,"size":null,"solo_materia":false,"spin_feedback":false,"spin_larmor":false,"spin_positivi":false,"spinore_corretto":true,"spinore_vivo":true,"sync":true,"sync_db":"out_sync_spinore\\db_on_s2.pkl","sync_spinore":true,"tau_d0":false,"tauloc":1.0,"tempo_proprio_orientato":false,"test":null,"tw_spinore":false,"verlet":false,"verso_chi":false,"viriale":false,"vista_rete":false,"zeta":0.75,"zeta_loc":false,"zeta_vir":false}
step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_spin_core,m0_spin_core_disp,m0_spin_axis_R,m0_omega_axis_R,m0_spin_core_cv,m0_Mdyn,m0_Mcoh,m0_Rinerzia,m0_Jrot,m0_Jshell_frac,m0_Ncore,m0_Nshell,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,m0_picco_picco,m0_picco_n_dominio,m0_picco_chi,m0_picco_spin,m0_picco_spin_x,m0_picco_spin_y,m0_picco_spin_z,m0_picco_spinor_alpha_re,m0_picco_spinor_alpha_im,m0_picco_spinor_beta_re,m0_picco_spinor_beta_im,m0_picco_coerenza,m0_picco_verso_x,m0_picco_verso_y,m0_picco_verso_z,m1_picco_picco,m1_picco_n_dominio,m1_picco_chi,m1_picco_spin,m1_picco_spin_x,m1_picco_spin_y,m1_picco_spin_z,m1_picco_spinor_alpha_re,m1_picco_spinor_alpha_im,m1_picco_spinor_beta_re,m1_picco_spinor_beta_im,m1_picco_coerenza,m1_picco_verso_x,m1_picco_verso_y,m1_picco_verso_z,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_feedback_arco,spin_cluster_modulo,spin_cluster_omega,spin_neel_modulo,spin_neel_omega,spin_axis_R,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ,m0_picco_spin_plus,m0_picco_spin_minus,m0_picco_contrasto,m0_picco_q_x,m0_picco_q_y,m0_picco_q_z,m0_picco_q_modulo,m0_picco_n_plus,m0_picco_n_minus,m1_picco_spin_plus,m1_picco_spin_minus,m1_picco_contrasto,m1_picco_q_x,m1_picco_q_y,m1_picco_q_z,m1_picco_q_modulo,m1_picco_n_plus,m1_picco_n_minus
0,824,138646,0.0,3.724569240464888e-12,4.5803394849509875e-14,3.724569240464888e-12,1.1567762348194455,6.782621082803078,5.733952882837915,-9.309180273631114,9.296501523180375,-0.0003804296801320156,9.309180273631114,3.3860492810529165e-05,12.566367523263565,6.002638838791763,-1.1025526988822223,1.039950782538913,-0.010892107326649983,1.1025526988822223,0.20659152205056627,2.3997973045135796,1.3519776889341066,0.20659152204532952,2.3997581042267093,1.3517664708300587,0.0,0.060284314806878014,0.004517994696810427,1.0,1.0,1.0,0.01466338322638869,-0.11974944251092964,0,0,0,0.0,0.593650528459895,372,0.9988,-0.01584,0.46081496787955406,0.0,0.0,0.0,0.06565099940386664,0.0,2.2891962316059627e-13,-1.2128127891018872e-13,0.00022891962316059627,2.1683012222645733e-12,0.0013541222389982723,373,3,0,0,0,0.9987,372,0.593650528459895,0.0,0.0,80.0,372.0,-0.0483017,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.0,372.0,-0.0270431,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,4.864726499076592e-18,1.8020588237890872e-18,2.8675801353023677e-18,4.637397261964886e-18,1.7660632600504951e-15,1.0083074547048049e-19,30.395289457919414,9.776392151454948,12.078443826063655,3.1406965242789378,1.3105741249497116,1.634858623790013,0.2114573290527415,0.0,0.8998064890674767,0.0,0.02711291638007477,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.2852967852785263e-14,372,0.9987,0.9988,-0.00886,0.0,2,0.9975,1.0,0.0,0.0,0.0,0.0,0.0019,1.0,1.27858,0.27248,0.9777,0.9793,1.0017,0.5182,1.9639,2.3805,1.0355,0.3316,14.1641,7.2122,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,191.0
1,824,138646,6.848204179965537e-35,3.610354251032923e-12,3.937467909804361e-14,3.610354251032923e-12,1.1509620477496219,6.782301686845269,5.733936787380464,-9.328698220961234,9.20895508616711,-0.14257353558228433,9.328698220961234,0.00011939971221059699,12.566019064913455,6.6338730142381745,-1.102552700748866,1.0399507844198668,-0.010892107397116588,1.102552700748866,0.206591522050721,2.3997973045135486,1.3519776889341073,0.2065915141101083,2.399797304513555,1.3513843859558679,1.4142115624116159e-08,0.06028432894899364,0.0045180088389260515,0.0009453705184797601,1.4141636097519883,0.9337614370030322,0.014697179656070885,-0.11974946888067992,0,0,0,1.8384194615571533e-26,0.5936505391361852,372,0.9481,-0.01535,0.4612580007706193,0.0,0.0,0.0,0.06565099940386662,0.0,1.512374115845966e-13,-8.331957063291376e-14,0.0001512374115845966,1.4460535250169815e-12,0.0011055223682115665,373,3,1,1,0,0.9509,372,0.5936505391361852,0.016767,0.016766726510226038,80.0,372.0,-0.0479122,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,452.0,372.0,-0.0407255,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,256,2.017058615546619e-18,7.4108475144527145e-19,1.1405272757787333e-18,1.81488243885577e-18,1.4754403736889149e-15,2.502013628125613e-20,24.951098313871597,7.76752232309464,9.842200226421193,3.1406326893726715,1.3105847879430996,1.6348772788240866,0.21146095437810283,0.0,0.8998061708961659,1.096020671631945e-06,0.027112699994697197,5.0619957392693306e-05,0.0,621.4857873344093,289.7828177215713,0.6091702876917265,0.609170287691728,0.609170287691728,0.76146285961466,1.2458827888483777e-14,372,0.9842,0.9855,-0.01435,0.020709,2,0.9335,0.9995,-3.124609,0.0,0.0,2.0,0.25535,0.39288,1.27858,0.27248,0.9777,0.9793,1.0017,0.5182,1.9639,2.3805,1.0355,0.3316,14.1641,7.2122,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,177.0,195.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,181.0,191.0
2,825,138647,0.0,3.118668899426559e-12,3.6521247922654966e-14,3.118668899426559e-12,1.1507495847067815,6.781423603490602,5.730669204108426,-9.328698217152596,9.332778952910722,-0.1399273114582049,9.332778952910722,0.0002072118038967119,12.566249986460267,4.566692002289698,-1.1025527059151508,1.039950785039699,-0.011209118358637696,1.1025527059151508,0.2065915220508758,2.3997973045135166,1.349298548355811,0.20659134040059335,2.3997973045135543,1.3478661069862437,0.0,0.06028434309110926,0.004512546589549503,0.19327932883606436,1.407860662334557,0.9432936808924746,0.014729547835273044,-0.11974949522688275,0,0,0,5.77904343079872e-26,0.5936505479020009,372,0.82,0.01329,0.4620781027342988,0.0,0.0,0.0,0.06565100098576014,0.0,8.94186046973971e-14,-5.251159863440968e-14,8.94186046973971e-05,8.808834811374668e-13,0.000825847575887266,373,3,0,0,0,0.8441,372,0.5936505479020009,0.004624,0.004623984077290144,80.0,372.0,0.0088741,1.0,-0.0,0.0,1.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,452.0,372.0,-0.1165757,1.0,0.0,-0.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,256,1.2645575666979239e-18,6.910832235819408e-20,1.922254281469778e-19,1.15463869682347e-18,1.2900477788709203e-15,-2.3620431134494838e-20,21.34284478873203,7.248197302643359,8.904145305236263,3.1155073375998557,1.1121954083003622,1.3999485969218886,-0.013233760600639542,0.0,0.8981192584410298,0.001174805532488546,0.026783200864456975,0.04359422017341301,0.0,621.4857873344093,289.7828177215713,0.6091702876917267,0.609170287691728,0.609170287691728,0.76146285961466,1.0762090464670109e-14,372,0.9079,0.9476,-0.04577,-0.003009,2,0.7907,0.9835,0.003887,0.0,0.0,2.0,0.26889,0.84422,1.2791,0.27248,0.9782,0.978,0.9998,0.5188,2.1425,2.3805,1.0355,0.3571,14.1442,6.6017,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,177.0,195.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,181.0,191.0
3,825,138647,1.604602993810636e-17,9.445353705151428e-11,1.8769978398574222e-11,9.445353705151428e-11,1.1507495584815883,6.781423601966299,5.730669203622965,-9.387633990417845,9.316660869793093,-0.11683541032116715,9.387633990417845,0.0005314622775998146,12.565996674689362,2.8689697011927335,-1.105983164041127,1.0396926504810768,-0.011361127277852478,1.105983164041127,0.20659790132044825,2.399798060913309,1.349298551811335,0.20701714608403443,2.399798060913311,1.3463583131269055,2.01414264351929e-05,0.0744200549042812,0.013752673259580088,0.001857302693857532,1.354349322222159,0.8882305437403849,0.014760571067188064,-0.13828775387369768,0,0,0,1.1153523796762222e-08,0.6048958518522535,372,0.7675,-0.03304,0.46285411784877006,-0.012233091774156825,0.4559638167807536,0.9999725556806609,0.1393506213458515,1.1291844786124292,1.4436504703653506e-08,1.1155072332318401e-08,1.2941650464989063,4.684177355034116e-09,0.004534504966079801,372,4,0,0,0,0.7675,372,0.6048958518522535,-0.606826,-0.6068256440002817,241.0,372.0,-0.1150745,0.9999732,-0.0001912,0.0021597,0.9999709,0.9999994,-0.0002056,-9.52e-05,0.00108,0.7739318,-0.0001912,0.0021597,0.9999976,767.0,372.0,-0.2649581,0.9999869,-0.0001224,8.46e-05,0.9999869,1.0,-0.0001839,-6.14e-05,4.22e-05,0.7404257,-0.0001224,8.46e-05,1.0,256,1.0866174242126206e-17,3.342422491578122e-19,1.6311101929097268e-18,1.0668970878726698e-17,1.2731142503744472e-11,1.8598277831959067e-19,21.645329906467914,6.181754886627585,7.402639065736621,3.112539171834873,1.2490557322043114,1.595505227210279,0.16178918699440797,0.0,0.9097803833178395,0.0018441481223178966,0.0372188100501557,0.24342519500984142,0.9952467287863467,621.4857981158567,289.7828227486826,0.6091702876916874,0.6091702876917253,0.609170287691728,0.7614628596146567,3.259459486093493e-13,372,0.782,0.782,-0.05446,-0.431242,2,0.6005,0.9045,-0.029259,11.757,5.8783,2.0,0.29384,0.86725,1.27742,0.27248,0.9782,0.978,0.9998,0.5188,2.1425,2.3805,1.0355,0.3571,14.1442,6.6017,81,0.0279,-0.7244,58,0.0284,-0.7824,-4.0,0.9999721,0.9999745,-1.2e-06,-0.0005589,-0.0001328,-0.1150727,0.1150741,177.0,195.0,0.9999859,0.999988,-1e-06,0.000692,-0.0003927,-0.2649557,0.2649569,181.0,191.0
4,825,138647,1.1334060075324297e-16,1.2370485989133675e-09,2.2263344771574231e-10,1.2370485989133675e-09,1.1507494777169043,6.7814236016426985,5.730669201666346,-9.328735468419461,9.315754493152474,0.02667875683809102,9.328735468419461,0.00025974411925488994,12.564370418222522,2.8625954141412153,-1.1091703487542093,1.0373568759155976,-0.011515425550662978,1.1091703487542093,0.20661623280527766,2.3997987576766895,1.34929864071944,0.20770338470798558,2.3997411479730424,1.3450261238954513,0.003781648706327816,0.08648793762104344,0.02256351081012099,0.0038365071189460087,1.362382909215877,0.961032345766697,0.014790325429392433,-0.15639336790785094,0,0,0,1.2008099280138616e-07,0.6011084270496762,372,0.698,-0.07697,0.4637807709797024,0.014292499028082087,0.4602689432692687,0.9635200780482991,0.8726465560008738,1.1282769247054922,1.752468702660283e-07,1.200873245267665e-07,1.4593286257032665,5.7699002067562405e-08,0.05946608027506482,362,14,0,0,0,0.698,372,0.6011084270496762,0.048626,0.04862574522832719,241.0,372.0,-0.1868705,0.9723343,0.0225805,-0.3048143,0.9230451,0.9873093,-0.0004426,0.0115765,-0.1583858,0.7003886,0.023223,-0.3134872,0.9493084,767.0,372.0,-0.2230281,0.9732213,0.0940183,0.0046949,0.9686579,0.998752,-0.000444,0.0498843,0.0023966,0.5696282,0.0966053,0.0048241,0.9953111,256,9.487221639465318e-18,5.101315123740278e-19,1.3052356123817131e-18,2.9797137470385e-16,1.3055241716795413e-10,-6.965326727697009e-20,32.50138907777318,6.896720393713226,8.629256396630156,3.13548146775903,1.1439198080851938,1.4622070089473909,-0.04993070240707552,0.0,0.8749062325386351,0.1375907802721641,0.039024398837828204,0.3183776790680618,0.9611727809165097,621.4858153871515,289.7828308018426,0.6091702876911955,0.6091702876917102,0.609170287691728,0.7614628596146378,4.268881615554643e-12,372,0.5706,0.5706,-0.08103,-0.06,2,0.3987,0.9539,0.004509,11.905,5.9523,2.0,0.31827,0.79268,1.27614,0.26398,0.9782,0.978,0.9998,0.5188,2.1425,2.3805,1.0355,0.3571,14.1442,6.6017,81,0.0556,0.9958,57,0.0998,0.953,-0.0,0.9623204,0.9804254,-0.0093193,-0.0314669,0.0835117,-0.1725529,0.194265,177.0,195.0,0.9568583,0.9861785,-0.0150899,0.0301956,-0.0105705,-0.2356796,0.2378411,181.0,191.0
5,825,138647,1.3971619776607997e-15,6.386427602919653e-09,9.652562087546925e-10,6.386427602919653e-09,1.1507493391021923,6.781423564046742,5.730669199926459,-9.320848645082592,9.018628134507749,0.1361406054642673,9.320848645082592,0.0011326786618968434,12.566277093362192,2.899891082631281,-1.1130144240810596,1.0351261499091609,-0.011781352465435867,1.1130144240810596,0.20664883681307578,2.399800018417487,1.3493019663618673,0.20895327308293576,2.3995338200991143,1.3417950243998722,0.00857011551632877,0.09908900206304466,0.0314342538612414,0.015330152832610744,1.407080422003607,1.039161485254247,0.014818718799274034,-0.17399901224038394,0,0,0,4.747670366777099e-07,0.6002753216432657,372,0.6703,-0.08251,0.46740906519822056,0.034393791976530017,0.46133462794841,0.055624204946331315,0.9670848599220317,1.1221118255598295,7.690236106279013e-07,4.748850374623297e-07,1.619389009890429,2.5499584151002045e-07,0.13438506604692926,349,27,0,0,0,0.6703,372,0.6002753216432657,0.09219,0.09219030976499654,241.0,372.0,-0.166292,0.0718691,0.0038334,-0.0008894,0.0717613,0.7233861,0.0193554,0.0166336,-0.6899719,0.6775808,0.0533392,-0.0123748,0.9984998,579.0,372.0,0.0164637,0.4156119,-0.4110233,-0.0595718,0.0156291,0.7750665,0.0126661,-0.6288371,-0.0606249,0.5034914,-0.9889595,-0.1433353,0.037605,256,9.024840568017224e-17,3.4438508105348832e-18,1.3691537109211277e-17,2.7198760252815558e-15,5.587477338738062e-10,-1.5437631772995524e-18,19.915901794823647,5.532962318299562,6.872115306915692,3.0981533438616804,1.048420811702893,1.4003895107826296,-0.05151716291531849,0.0,0.29026735377733554,1.2366184149029333,0.17141738943596538,3.0455869311499124,0.06031426070171994,621.4858311465135,289.7828381500272,0.6091702876889787,0.6091702876916845,0.609170287691728,0.7614628596146056,2.203866745073859e-11,372,0.3786,0.3786,-0.07883,0.013957,2,0.2541,0.9909,0.008566,11.862,5.9309,2.0,0.34015,0.77113,1.27496,0.24548,0.9782,0.978,0.9998,0.5188,2.1425,2.3805,1.0355,0.3571,14.1442,6.6017,81,0.0914,0.9419,58,0.1753,0.8504,-2.0,0.0432205,0.1333402,-0.5104176,-0.0122553,0.035243,-0.0786385,0.0870418,177.0,195.0,0.3887879,0.6188107,-0.2282881,0.1557904,-0.1153942,0.23017,0.3009397,181.0,191.0
6,825,138647,2.555215744271246e-14,1.6119976196643483e-08,2.585806304602271e-09,1.6119976196643483e-08,1.1507490326482286,6.781423325352005,5.730669201738242,-9.421957198760243,9.343986505308948,0.16799014226976838,9.421957198760243,0.0003576951269405681,12.561905633866557,2.8595097615366636,-1.1203328084542983,1.0338209304204742,-0.012102804198934392,1.1203328084542983,0.20672224519478774,2.3998101656584616,1.3493113871424212,0.21187627129193543,2.398808395609272,1.333777123156087,0.016263577557094573,0.1119935078808229,0.041599813356808284,0.0021780350232456502,1.4141418826235688,0.8774583771578957,0.014845527167335082,-0.19118063005098773,0,0,0,1.185680736318266e-06,0.5985120364426912,372,0.6667,-0.07905,0.47109869767467216,0.040925225401321104,0.4639179175670889,0.09929037758299154,0.9662932341986319,1.1185423876277643,2.0182936482928337e-06,1.1859554027070306e-06,1.7018292961825796,6.733548819778024e-07,0.15096619591546911,350,26,0,1,-1,0.6667,372,0.5985120364426912,0.032932,0.032931965725418566,140.0,372.0,-0.1501158,0.116601,0.0031317,-0.0908793,-0.0729859,0.6313097,0.0258468,-0.0466467,0.7736951,0.6702739,0.0268579,-0.779404,-0.6259458,579.0,372.0,0.2052554,0.0292329,0.0111779,-0.0136733,0.0232951,0.8632251,0.2502404,0.3772642,-0.2233695,0.4226884,0.382374,-0.4677346,0.7968779,256,1.585464635459678e-16,5.674214027640655e-18,2.3932217066885072e-17,1.4470354838230796e-14,1.434316007266435e-09,-2.344578726102876e-18,23.849681119951377,7.341479241177643,9.0535992322758,3.1257765716452046,1.418063755006647,1.6788006749311382,0.28786396657238333,0.0,0.05592214968072543,1.9722436681417317,0.03724082304436496,1.3473759585342822,0.0947205596813642,621.485888796394,289.7828650306818,0.6091702876847883,0.609170287691494,0.609170287691728,0.7614628596143674,5.562777562757799e-11,372,0.2596,0.2596,-0.0658,-0.062202,2,0.1852,0.9544,0.001897,11.912,5.9561,2.0,0.36711,0.75322,1.27342,0.21227,0.9782,0.978,0.9998,0.5188,2.1425,2.3805,1.0355,0.3571,14.1442,6.6017,81,0.0853,0.9541,58,0.1892,0.8601,-3.0,0.0941544,0.1338075,-0.1739459,0.001515,0.0341137,0.0167779,0.0380465,177.0,195.0,0.0894535,0.0824044,0.041017,0.0757299,-0.0136922,0.0343425,0.0842728,181.0,191.0
7,825,138647,6.081528642243254e-14,2.5798758711482732e-08,4.9077610544990394e-09,2.5798758711482732e-08,1.1507480594601882,6.781422139636443,5.730669188565835,-9.183238594955366,9.365050863510318,0.17129449128582594,9.365050863510318,0.00042976711726616657,12.563331315643584,2.8408030892464056,-1.1298391137946777,1.0328304941557263,-0.012796826845263762,1.1298391137946777,0.2068956327733754,2.399833687382324,1.3493256045450581,0.21855527938142905,2.3978945048890474,1.3148276933553087,0.020872167064634253,0.12610633136588684,0.05132334601213005,0.0008612958777050039,1.413273627097913,0.8512617445645813,0.014870755054353861,-0.2077606824510363,0,0,0,2.149397182489649e-06,0.5978735809166266,372,0.6676,-0.07505,0.474020020644297,0.022439229498075353,0.46747788317527406,0.027014445693320472,0.9670339941203019,1.1175763048667884,3.5477387848725566e-06,2.1493456487370215e-06,1.650613425977923,1.1818810538724448e-06,0.13975322383644817,350,26,0,0,0,0.6676,372,0.5978735809166266,-0.06311,-0.06311000162468217,140.0,372.0,-0.1646228,0.0434711,-0.0030899,0.0133011,-0.0412707,0.297247,-0.5593302,0.7600553,-0.1452921,0.6846233,-0.0710805,0.3059757,-0.9493821,579.0,372.0,-0.3412059,0.0913052,-0.090104,-0.0135808,0.0057854,0.7719332,0.357129,-0.117552,0.5126007,0.3589237,-0.9868441,-0.1487404,0.0633636,256,8.21229767650795e-17,7.498348982895254e-18,1.402343050887304e-17,2.7649133722665084e-14,2.6303483824813205e-09,1.1703200896188535e-18,36.431584926069135,10.811957087050837,14.322021603701364,3.1205933864170263,1.0096214308810452,1.3021718682071322,-0.14438635197214625,0.0,0.014129283740965207,0.46397975938525965,0.05359740286773169,1.6155912788766982,0.027038964051483195,621.4859952550274,289.78291466960104,0.6091702876806218,0.6091702876907448,0.609170287691728,0.761462859613431,8.902788054601994e-11,372,0.2821,0.2821,-0.2646,-0.173013,2,0.1898,0.845,-0.003333,11.934,5.9668,2.0,0.3881,0.73721,1.27151,0.16464,0.9782,0.978,0.9998,0.5188,2.1425,2.3805,1.0355,0.3571,14.1442,6.6017,81,0.0452,0.4376,58,0.053,0.9634,-3.0,0.0403315,0.0934113,-0.3968801,-0.0011257,-0.0455041,0.0502341,0.0677891,177.0,195.0,0.18107,0.0625865,0.4862728,-0.0139893,-0.022349,0.0400755,0.0479711,181.0,191.0
8,827,138649,0.0,3.7898252860711934e-08,8.373925992326415e-09,3.7898252860711934e-08,1.1381997684183314,6.767133378001584,5.731072059236025,-9.383796922398368,9.402863169596435,0.174965652029316,9.402863169596435,0.0008340836453807169,12.565333391918726,2.8417783142211968,-1.1397753039684169,1.0328455933172527,-0.013186932017043082,1.1397753039684169,0.20724586083509966,2.399889052692815,1.3479881087981702,0.1390813621768997,2.397879226669322,1.2794268935469848,0.0,0.14023910704521417,0.05992821010225047,0.0013670447825301357,1.4138360558741443,0.9165503977639354,0.014894753218578406,-0.22363994651830119,0,0,0,3.0850670309872054e-06,0.5988348752095309,372,0.6714,-0.06738,0.4768405954251765,0.003596636117119807,0.469197189458989,0.04786508039408606,0.9668154853029358,1.1183775251378816,5.045624297489609e-06,3.085745990391511e-06,1.6351392218286358,1.6643752150032531e-06,0.14475514089624764,346,30,1,0,1,0.6714,372,0.5988348752095309,0.029907,0.029907259486171345,140.0,372.0,-0.2115421,0.0532576,-0.0096677,-0.0208966,0.0480233,0.8867656,-0.0074517,0.0283577,0.4612885,0.6865716,-0.1815275,-0.3923677,0.901718,520.0,372.0,-0.326003,0.0720026,0.0076849,0.0233138,0.0676888,0.3535139,0.1349343,0.9230443,-0.0693535,0.417862,0.1067309,0.3237915,0.9400891,256,6.782486570653316e-17,1.289447460341139e-17,1.826426949068971e-17,5.723593601644096e-14,4.56587320769061e-09,-3.0796721611049486e-18,36.91384117069833,10.519949029051357,14.142075700697218,3.133673914826308,1.298191633612815,1.631404140196979,0.08073269851026965,0.0,0.045940326473392454,2.1327595727837183,0.022077902704579086,1.9772063092551613,0.049974359993156595,621.4861436417675,289.78298385851656,0.6091702876754129,0.6091702876888403,0.609170287691728,0.7614628596110503,1.3078149847202675e-10,374,0.3468,0.3468,-0.24522,0.006173,2,0.233,0.8567,-0.001064,11.964,5.9821,2.0,0.40818,0.73603,1.27141,0.17159,0.9784,0.978,0.9996,0.5175,2.145,2.3833,1.0367,0.332,14.2205,6.6296,81,0.1193,-0.4613,57,0.1745,-0.6424,-2.0,0.1475701,0.0835558,0.2769671,-0.0058777,0.0802243,0.050853,0.0951657,177.0,195.0,0.0993846,0.073936,0.1468296,-0.0348499,0.0154494,-0.0202921,0.0431853,181.0,191.0
9,840,138666,0.0,5.2068449460074436e-08,1.4901670563405736e-08,5.2068449460074436e-08,1.0687433614684065,6.816499310077304,5.735825168611072,-9.374495810481351,9.393734092784456,0.15984823915482171,9.393734092784456,0.0014198492774051043,12.562071984623639,2.8344235154110504,-1.1505466421502097,1.033959729053826,-0.014076026344596895,1.1505466421502097,0.20782010508591112,2.4000034642470474,1.3407295932528178,0.05,2.397585780521014,1.2081878853661525,0.0,0.1543283483085891,0.0677178189117164,0.008918609883118322,1.4136820881491121,0.8915529251540087,2.1741079078354732e-11,-0.23876952474728888,0,0,0,4.825641616855358e-06,0.6004036964255907,373,0.6782,-0.05813,0.48013713247689044,-0.016562771796331737,0.47087072508584665,0.04797417274503383,0.965603418362952,1.1227839924989993,7.460887526110521e-06,4.828576239277134e-06,1.5451526819482215,2.442040546713138e-06,0.11201090734239419,349,28,1,0,1,0.6782,373,0.6004036964255907,0.008882,0.008881992406928108,140.0,372.0,-0.2307895,0.0454193,0.0050179,-0.0420646,0.01638,-0.7443307,-0.397054,0.2014209,-0.4977444,0.7105708,0.1104787,-0.9261393,0.360639,501.0,372.0,-0.2717623,0.0296811,-0.0216028,0.0071962,0.0190394,0.8749869,0.0168948,-0.0739749,0.4781633,0.4839046,-0.7278321,0.2424519,0.6414651,256,4.034685426356485e-16,2.011761387660774e-17,4.318298031104617e-17,1.177290138386035e-13,7.826435720278669e-09,5.7993407469339605e-18,27.199847842303342,8.649130624687675,10.61515785944784,3.120767953638001,1.2120051411088026,1.532199636841198,0.14196777220605353,0.0,0.02801265925732404,1.490546307066373,0.032072349564843915,2.4195545889187873,0.03529866265164998,621.4863028755403,289.78305810512416,0.6091702876693126,0.6091702876856824,0.609170287691728,0.7614628596071029,1.7968079224695615e-10,386,0.3712,0.3712,-0.17649,-0.003623,2,0.2519,0.9232,0.003062,11.948,5.9741,2.0,0.42291,0.75145,1.28186,0.19374,0.9787,0.9781,0.9994,0.5155,1.9502,2.3638,1.0637,0.4306,14.2814,7.323,81,0.1272,-0.7986,56,0.2492,-0.7732,1.0,0.0580469,0.0543391,0.032992,-0.0091621,0.0228808,0.0237256,0.0342108,177.0,195.0,0.0875291,0.0957386,-0.044795,0.0586846,-0.0104162,-0.070785,0.092536,181.0,191.0
