forma	motivo	citazioni
BYTE-INERTE	locuzione del testo, non un identificatore	19
BYTE-IDENTICO	locuzione del testo, non un identificatore	14
NON-ABELIANO	locuzione del testo, non un identificatore	13
PURE-READ	locuzione del testo, non un identificatore	11
PRE-FORK	locuzione del testo, non un identificatore	9
PRE-CURA	locuzione del testo, non un identificatore	7
BYTE-INERTI	locuzione del testo, non un identificatore	6
NATO-NATO	locuzione del testo, non un identificatore	6
VERIFICATA-SPENTA	locuzione del testo, non un identificatore	6
BYTE-IDENTICI	locuzione del testo, non un identificatore	5
SENZA-FISICA	locuzione del testo, non un identificatore	5
PRE-TEMPO	locuzione del testo, non un identificatore	4
COLLO-DI-BOTTIGLIA	locuzione del testo, non un identificatore	4
NON-AB	locuzione del testo, non un identificatore	4
BYTE-IDENTIT	locuzione del testo, non un identificatore	4
SENZA-RELAZIONE	locuzione del testo, non un identificatore	3
NON-LOCALITA	locuzione del testo, non un identificatore	3
BYTE-INERZIA	locuzione del testo, non un identificatore	3
SOLO-MEM	locuzione del testo, non un identificatore	3
SOLO-SCRITTURA	locuzione del testo, non un identificatore	3
NON-MONOTONIA	locuzione del testo, non un identificatore	3
PRE-ARCHIVIO	locuzione del testo, non un identificatore	2
NATO-VUOTO	locuzione del testo, non un identificatore	2
BYTE-IDENTITA	locuzione del testo, non un identificatore	2
NON-ABELIANA	locuzione del testo, non un identificatore	2
PRE-REGISTRATA	locuzione del testo, non un identificatore	2
SENZA-INDICE	locuzione del testo, non un identificatore	1
NATO-NATO)	locuzione del testo, non un identificatore	1
NON-COERENZA	locuzione del testo, non un identificatore	1
SETTE-OTTO	numerale a parole, non un identificatore	1
NON-LOCALIT	locuzione del testo, non un identificatore	1
NON-ABELIANITA	locuzione del testo, non un identificatore	1
NON-ABELIANIT	locuzione del testo, non un identificatore	1
BYTE-IDENTICA	locuzione del testo, non un identificatore	1
NATO-VUOTO)	locuzione del testo, non un identificatore	1
NON-INTEGRABILITA	locuzione del testo, non un identificatore	1
BYTE-ESATTE	locuzione del testo, non un identificatore	1
OTTO-NOVE	numerale a parole, non un identificatore	1
NON-TEORICO	locuzione del testo, non un identificatore	1
NON-ADDITIVITA	locuzione del testo, non un identificatore	1
COLLO-DI	locuzione del testo, non un identificatore	1
