step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_media,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,207563,0.0,3.813489013084208e-12,2.689652940856391e-14,3.813489013084208e-12,0.4321400144875662,10.785981483275078,9.522162189467151,-9.220115167774765,9.230871620044105,-0.0001743488192658723,9.230871620044105,7.432171368947449e-06,12.566179721003962,6.452647723421143,-1.1159834046126322,1.017606027888999,-0.023185992658902563,1.1159834046126322,0.017045004924482805,2.3984126572140063,1.1569359691857053,0.017045004924482805,2.398388041482189,1.1561493353016676,0.0,0.05790533939017026,0.003032844706010993,1.0,1.0,1.0,0.007791639313596425,-0.12065228546601077,0,0,0,0.0,0.609380932133849,372,0.9989,-0.04378,0.44728238420512356,0,0,0,0.999,372,0.609380932133849,0.0,0.0,256,2.7918196698612843e-18,7.533369416282955e-20,1.0511235149013915e-20,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.315981755946717e-14,372,0.9987,0.9988,-0.05168,0.0,372,0.9988,0.9989,0.02626,0.0,3,0.9977,0.9999,0.0,0.0,0.9977,1.0,0.0,0.0,0.9975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,1.0,1.26041,0.27209,0.9796,0.9759,0.9962,0.5318,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,207563,5.459042306730854e-35,3.8818998253981115e-12,2.4799248170168845e-14,3.8818998253981115e-12,0.43860949820905604,10.77965600496498,9.522192020735599,-9.227388759916293,8.85922743872536,-0.10947928681937795,9.227388759916293,0.00021870379758759384,12.56627514429615,6.179050611852566,-1.1159834065219243,1.0176060296305511,-0.023185992678967565,1.1159834065219243,0.05,2.3984126572141484,1.156963523529413,0.05,2.398125988828311,1.1548947386946136,1.4142115624116159e-08,0.05790535353228588,0.0030328588481266174,0.0009826808641676399,1.4141442354398384,0.8638731757246854,0.00783163398820525,-0.12065230812127263,0,0,0,3.303658650633422e-32,0.6093809365602332,372,0.9141,-0.08418,0.4431797018581132,0,0,0,0.9201,372,0.6093809365602332,-0.003855,-0.0038548196760455067,256,2.7394936754808277e-18,8.896238234101894e-20,1.0715010079813838e-20,621.4857873344093,289.7828177215713,0.6091702876917263,0.609170287691728,0.609170287691728,0.76146285961466,1.3395893710744137e-14,372,0.8855,0.8888,-0.08356,-1.048496,372,0.9763,0.9552,0.02273,1.048438,3,0.8101,0.9997,2.615882,0.0,0.8924,0.9999,-2.550996,0.0,0.8651,0.9993,-1.639116,0.0,0.0,1.5858,1.7995,1.802,0.25372,0.99871,1.26041,0.27209,0.9796,0.9759,0.9962,0.5318,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
2,1196,207563,5.920567937477203e-20,9.81018697834074e-12,1.4603784632902742e-13,9.81018697834074e-12,0.43860947681931406,10.779656004147744,9.522192020289161,-9.212711696238047,9.187767321817613,-0.10553201919359292,9.212711696238047,0.003142858001189588,12.565895872086122,6.635495509004431,-1.116078016099864,1.022983146848295,-0.023501742476089275,1.116078016099864,0.05,2.3984141281804305,1.156963524020477,0.05,2.3975227968282677,1.1524231503373599,9.840950757300516e-06,0.07204596567086685,0.011671590605373471,0.00032311916192440115,1.177834251682197,0.7323954029902777,0.007868857813475903,-0.13667201011043745,0,0,0,8.931967116422531e-13,0.6093809400874783,372,0.0053,-0.07807,0.45201644317706674,16,16,0,0.0128,372,0.6093809400874783,-0.011809,-0.011808761668313128,256,9.60155780376333e-18,4.99867645209468e-19,3.794380262407509e-20,621.4857881145583,289.78281808533467,0.6091702876917239,0.609170287691728,0.609170287691728,0.76146285961466,3.385358401563979e-14,372,0.0234,-0.0843,-0.04087,0.004659,372,0.278,0.2824,0.05457,-0.009332,3,0.0002,0.9809,0.129153,0.579,0.0018,-0.8287,-0.558699,0.419,0.0097,-0.7041,0.51977,0.263,0.2538,2.2798,1.6513,1.0371,0.27435,0.93137,1.25892,0.27209,0.9796,0.9759,0.9962,0.5318,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
3,1205,207573,0.0,2.693437036984344e-11,2.8584025430407577e-12,2.693437036984344e-11,0.4375268110570496,10.816721630460862,9.52451842888211,-9.422354325644683,9.420787943934625,-0.13484706830108595,9.422354325644683,0.008631765818115866,12.556675079175504,6.8567060334485115,-1.1162927711321675,1.0280157592200017,-0.02287911183312803,1.1162927711321675,0.050000000066692474,2.398415742808429,1.1517556416329076,0.06847569533323256,2.39834305907977,1.1400096301532117,0.0,0.07842548439336772,0.018853669198166303,1.0,1.0,1.0,0.0,-0.1523557050477733,0,0,0,3.046558447521875e-10,0.627873345044834,372,0.0635,-0.05678,0.44550768282241254,0,0,0,0.0635,372,0.627873345044834,0.531856,0.5318559977044091,256,1.8363222149650842e-17,1.0478181005779335e-18,1.036837296691098e-19,621.4857922034256,289.7828199918682,0.6091702876917164,0.6091702876917275,0.609170287691728,0.7614628596146594,9.294674670706588e-14,372,0.0251,-0.0926,-0.03665,-0.007535,381,0.3054,0.3087,0.06205,0.02172,3,0.002,-0.8695,-0.06634,15.756,0.0197,-0.4734,0.038653,10.639,0.0096,0.8468,-0.030613,8.53,6.9458,2.2684,1.5318,1.2281,0.53801,0.58688,1.26615,0.26539,0.9795,0.9763,0.9967,0.5311,2.7228,0.9541,0.0,0.0,8.5329,3.1339,48,0.0804,-0.933,46,0.143,-0.1562,3.0
4,1215,207586,0.0,5.669243382892439e-11,7.094875140707212e-12,5.669243382892439e-11,0.4530396737932353,10.854147224895339,9.52714601865731,-9.42202378529957,9.419926975448657,-0.13583600008572566,9.42202378529957,0.0032082137363431684,12.537777253647352,6.891919341519649,-1.1162924055746513,1.0280175956830995,-0.022810975301099295,1.1162924055746513,0.05000000006670437,2.398415742928652,1.1467963299973205,0.06955091939219288,2.398415746079888,1.1206730642096034,0.0,0.07842989478793799,0.018700421529132455,1.0,1.0,1.0,0.0,-0.15235667946144513,0,0,0,1.0229354892252355e-09,0.6208377414804396,372,0.1171,-0.0639,0.4493266307217679,0,0,0,0.1171,372,0.6208377414804396,-0.67559,-0.6755897682572984,256,6.93941668518854e-17,1.2693200924021094e-18,4.0263733156884006e-19,621.4857963633714,289.7828219315438,0.6091702876917036,0.6091702876917262,0.609170287691728,0.7614628596146578,1.9563766220178847e-13,373,0.0699,0.0699,-0.03918,0.175405,390,0.2416,0.2513,0.04315,-0.003026,3,0.0084,-0.9237,-0.061136,17.407,0.0323,0.2916,0.002923,10.63,0.0195,0.0971,0.019279,10.49,7.6452,2.2768,1.3905,1.3721,0.54137,0.58433,1.27421,0.24806,0.9794,0.9766,0.9972,0.5309,2.7752,0.9251,0.0,0.0,8.5569,3.0833,54,0.0775,-0.9988,48,0.1078,-0.4913,-1.0
5,1217,207588,0.0,7.282011940301366e-11,1.0060059597538197e-11,7.282011940301366e-11,0.45635432153507216,10.862024197198329,9.527727557623097,-9.421837976322985,9.42200637187222,-0.16008697062415167,9.42200637187222,0.011442848488322888,12.5475451677935,6.818900436262896,-1.1162923874581316,1.0280183095187891,-0.02270338879996558,1.1162923874581316,0.050000000066944814,2.3984157433941435,1.1462019284690026,0.06954860434397651,2.3984157439314915,1.096176282727401,0.0,0.0784330491104527,0.01867059693585927,1.0,1.0,1.0,0.0,-0.15235763437251193,0,0,0,1.886804737328281e-09,0.6183167459333097,372,0.1474,-0.07209,0.45141072934199833,0,0,0,0.1474,372,0.6183167459333097,-0.136359,-0.1363590295348449,256,4.6444195600530705e-17,8.637458385042158e-19,1.645106614830877e-19,621.485797605824,289.78282251086745,0.6091702876916967,0.6091702876917258,0.609170287691728,0.7614628596146572,2.5129204958407346e-13,373,0.0817,0.0817,-0.03242,0.049167,392,0.2229,0.2257,0.02336,0.006086,3,0.0123,-0.9078,-0.000463,17.386,0.0429,0.9368,-0.006037,10.563,0.0237,-0.7037,0.006485,10.442,7.6222,2.2809,1.3858,1.37,0.54482,0.58169,1.27608,0.21468,0.9792,0.9768,0.9975,0.5316,2.7712,0.9237,0.0,0.0,8.5599,3.0889,50,0.0646,-0.7468,48,0.0405,-0.4153,-0.0
6,1222,207594,0.0,7.319146438206303e-11,9.924600259097537e-12,7.319146438206303e-11,0.4578151635574788,10.87706797540267,9.529500926239358,-9.421098430563168,9.421937409766798,-0.170471903680334,9.421937409766798,0.0019263401817088133,12.548996453032556,6.702930362802464,-1.1162921851744445,1.0280208665638115,-0.02257763934724194,1.1162921851744445,0.05000000006839745,2.3984157436296147,1.144864407732623,0.06954339915162591,2.3984157487201085,1.05133748927148,0.0,0.07843557539690987,0.01859602803011324,1.0,1.0,1.0,0.0,-0.15235947813857392,0,0,0,1.850078370732661e-09,0.6165115536595034,373,0.1456,-0.10188,0.45405929237221015,1,1,0,0.1456,373,0.6165115536595034,-0.049532,-0.04953190226285531,256,3.749011881060488e-17,5.777626236701526e-19,1.761481588965349e-19,621.4857963091138,289.78282190624486,0.6091702876916965,0.6091702876917262,0.609170287691728,0.7614628596146578,2.52573509708395e-13,373,0.0711,0.0711,-0.03032,0.24259,396,0.2172,0.2027,0.00071,0.003501,3,0.0107,-0.8723,-0.00157,17.358,0.0416,0.8436,-0.006365,10.501,0.0199,-0.9984,0.004262,10.396,7.5986,2.2844,1.3819,1.3681,0.54507,0.58152,1.27967,0.16127,0.979,0.9771,0.998,0.5327,2.7652,0.9217,0.0,0.0,8.5798,3.1028,49,0.1245,-0.7259,47,0.1054,-0.5868,2.0
7,1229,207602,0.0,6.287505441995831e-11,7.646617812777446e-12,6.287505441995831e-11,0.4788684953672404,10.905210275791543,9.530230347073328,-9.423290027907798,9.42477760823863,-0.17388388283434336,9.42477760823863,0.029685602664589084,12.559901184176116,6.684244153176174,-1.1162926188285236,1.0280230556609677,-0.022618846274267572,1.1162926188285236,0.050000000102004304,2.3984157436348017,1.141081829888377,0.05536906396210395,2.3984157626307017,1.0081818452599685,0.0,0.07843935775546351,0.01849385021311693,1.0,1.0,1.0,0.0,-0.15236307946007588,0,0,0,9.291719941893505e-10,0.6154094809352082,373,0.1177,-0.13685,0.4504335011951768,0,0,0,0.1177,373,0.6154094809352082,-0.041725,-0.04172511065636719,256,2.7631082587941873e-17,5.047306607607252e-19,1.6796213540477922e-19,621.4857947301384,289.78282117000936,0.6091702876917009,0.6091702876917268,0.609170287691728,0.7614628596146584,2.1697302195519336e-13,373,0.0545,0.0545,-0.03529,0.129795,403,0.1906,0.1909,-0.01246,-0.000425,3,0.0072,-0.8547,-0.001685,17.307,0.0331,-0.0144,0.004091,10.52,0.0152,-0.5068,-0.008379,10.403,7.5897,2.2803,1.3861,1.3706,0.54164,0.58492,1.28563,0.18629,0.9788,0.9774,0.9986,0.5313,2.8189,0.8938,0.0,0.0,8.5866,3.0461,49,0.1947,-0.9963,47,0.2078,-0.9795,-0.0
8,1237,207612,0.0,4.315992899128703e-11,4.3552633169311585e-12,4.315992899128703e-11,0.48355218635706665,10.93665088498863,9.530644151856919,-9.424789207103508,9.420031747598072,-0.1813839425737624,9.424789207103508,0.0012652744225238738,12.537220190782438,6.6502773864523475,-1.116292647882825,1.0280257276512832,-0.022703146659785588,1.116292647882825,0.050000000309727705,2.398415744565757,1.1374948432887555,0.05,2.3984157507225325,0.9834290504358602,0.0,0.07844062796976478,0.018379346468192344,1.0,1.0,1.0,0.0,-0.1523675615608526,0,0,0,4.1666523959495484e-10,0.6096603976844722,375,0.0937,-0.09367,0.444137198612452,1,1,0,0.0937,375,0.6096603976844722,-0.044598,-0.044597696001340115,256,1.1141489834200735e-17,3.472498226859888e-19,1.109437633475026e-19,621.4857924589522,289.7828201110137,0.6091702876917093,0.6091702876917274,0.609170287691728,0.7614628596146592,1.4893888110672943e-13,373,0.0314,0.0314,-0.07073,-0.099136,409,0.1573,0.2094,-0.01701,-0.000764,3,0.0035,-0.4657,-0.00021,17.091,0.023,-0.9902,0.001856,10.344,0.0085,0.3377,0.003102,10.309,7.4935,2.2808,1.3804,1.3758,0.53686,0.58977,1.29181,0.21048,0.9787,0.9778,0.9991,0.5311,2.9455,0.8448,0.0,0.0,8.6159,2.9251,49,0.1385,0.5607,48,0.2391,0.2848,-2.0
9,1247,207625,0.0,5.722467494268225e-11,5.044871783737711e-12,5.722467494268225e-11,0.5242037902090682,10.978275067496346,9.529795221068856,-12.566373261078558,9.42478100391601,-0.18287923434257067,12.566373261078558,0.00032355079360613104,12.559099643818287,6.395160893898878,-1.11629362532404,1.0280276291807429,-0.023035663583102228,1.11629362532404,0.05000000059309334,2.3984157640797856,1.133132004741188,0.05,2.398415764140987,0.9417297467733129,0.0,0.07844127014797508,0.018238305225813115,1.0,1.0,1.0,0.0,-0.15237298842077504,0,0,0,7.361169143345387e-10,0.6144302273038637,375,0.1327,-0.10378,0.443347784558081,1,1,0,0.1327,375,0.6144302273038637,0.126696,0.12669638993517118,256,6.96040035260278e-18,2.957040488421346e-19,8.191567707319174e-20,621.4857917954074,289.78281980161984,0.6091702876917034,0.6091702876917275,0.609170287691728,0.7614628596146594,1.9747435331693317e-13,373,-0.0108,-0.0104,-0.00721,-0.01544,419,0.1166,0.1883,-0.00066,0.002805,3,0.0018,0.5501,0.003962,17.02,0.0292,0.075,0.013893,10.406,0.0028,0.874,-0.009148,10.325,7.4874,2.2731,1.3898,1.3789,0.53203,0.59255,1.29844,0.18974,0.9783,0.9783,1.0,0.5317,2.9918,0.8159,0.0,0.0,8.6279,2.8838,51,0.0522,0.6489,49,0.1623,0.2796,-1.0
