step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,207563,0.0,1.0726295559493224e-11,4.5160140944356074e-14,1.0726295559493224e-11,0.43214001601210383,10.785981483275078,9.522162189534026,-29.468501291235484,32.31689869426317,0.0004903173659719902,32.31689869426317,7.432171368947449e-06,12.566179721003962,6.4469028472830185,-1.1159834046126322,1.017606027888999,-0.023172160938885314,1.1159834046126322,0.017045004924482805,2.3984125969187935,1.1569359709629794,0.017045004924482805,2.39836599782744,1.1568877309356687,0.0,0.05755054797094855,0.0030962212700109373,1.0,1.0,1.0,0.007791639313596425,-0.1206921397854668,0,0,0,0.0,0.609380932133849,372,0.9989,-0.04378,0.44728238420512356,0,0,0,0.999,372,0.609380932133849,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917234,0.609170287691728,0.609170287691728,0.76146285961466,3.7014946723995376e-14,372,0.9987,0.9988,-0.05168,0.0,372,0.9988,0.9989,0.02626,0.0,3,0.9977,0.9999,0.0,0.0,0.9977,1.0,0.0,0.0,0.9975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,1.0,0.00179,1.0,1.2621,0.27209,0.9738,0.981,1.0074,0.5284,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,207563,6.86790769362997e-35,1.6576086843751465e-11,6.011280831466608e-14,1.6576086843751465e-11,0.4386095006322193,10.779656004977124,9.52219202085713,-29.573768545807418,30.75479031278191,-0.14990245835050267,30.75479031278191,1.4784470982576181e-05,12.566131063874169,6.50758132583083,-1.1159834065240655,1.0176060296326723,-0.023172160965870388,1.1159834065240655,0.05,2.3984125969187935,1.1569635253066894,0.05124388279243602,2.3983152770770904,1.1567752441211006,1.4142115624116159e-08,0.057550562113064176,0.003096235412126562,0.0020061774731436888,1.414209102407183,0.8912324979260721,0.00783163398820525,-0.12069216244293955,0,0,0,4.2284990354680377e-32,0.6093809365602332,372,0.9963,-0.04452,0.44722907781752164,0,0,0,0.9984,372,0.6093809365602332,-0.003591,-0.0035914309490590046,621.4857873344093,289.7828177215713,0.6091702876917209,0.609170287691728,0.609170287691728,0.76146285961466,5.720175880019938e-14,372,0.9983,0.9982,-0.05172,-1.048537,372,0.9929,0.9861,0.0268,1.04847,3,0.9946,0.9999,2.594768,0.0,0.9893,0.9999,-2.589313,0.0,0.9912,1.0,-1.579805,0.0,0.0,1.694,1.7185,1.7825,1.0,1.0,0.25077,0.0301,1.2621,0.27209,0.2095,1.0327,4.9282,0.9331,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
2,1196,207563,2.434331143454694e-20,3.889443028998e-11,2.243993409743637e-13,3.889443028998e-11,0.43860949890231327,10.779656004469228,9.522192021095837,-29.415454135802193,30.322407576550205,-1.5700842862352582,30.322407576550205,0.0002679149063897768,12.562287840226741,6.355335354530552,-1.1180396012552576,1.020763793747986,-0.023165719249623414,1.1180396012552576,0.050000237154942846,2.398412591558341,1.1569635297149745,0.05124388279157873,2.3981822696775654,1.1564713802242823,2.0075916847061003e-05,0.07168981016291143,0.012008560391387283,0.0012143736894264512,1.3518847062288375,0.8799984402196173,0.007868858084689005,-0.13671342620869734,0,0,0,9.736582016346833e-13,0.6093809400849085,372,0.1106,-0.02451,0.45466225675876665,0,0,0,0.0182,372,0.6093809400849085,-0.006117,-0.006117135382250227,621.4857881876146,289.78281811939894,0.6091702876917112,0.609170287691728,0.609170287691728,0.76146285961466,1.3421924233601169e-13,372,0.0672,0.1624,-0.0557,0.003568,372,-0.0874,-0.102,0.02314,0.008383,3,0.0085,-0.6735,-0.379522,0.669,0.0148,0.9997,-0.088218,0.144,0.0079,-0.6562,0.436077,0.658,0.3165,2.113,0.456,2.0802,1.0,1.0,0.25205,0.0319,1.26164,0.27209,0.923,1.0322,1.1183,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
3,1196,207563,3.272026353664084e-17,5.758659526745952e-11,3.101281476003032e-12,5.758659526745952e-11,0.43860949750296935,10.779656003967625,9.522192020969497,-29.30596466149279,31.222288343344704,-0.020430666326741648,31.222288343344704,0.00194159467423205,12.564402006905668,6.266196021731957,-1.1195852716849617,1.0231546975907486,-0.023182247472282754,1.1195852716849617,0.05000105200942772,2.3984125875303515,1.1569635281624886,0.05248659499781773,2.397288409689225,1.1555579019083146,0.00012577655314043758,0.08064412578891672,0.02080854479358345,0.0017125728303581944,1.406332326919796,0.8894100486881807,0.007903510691906639,-0.15241670803720087,0,0,0,1.1108196662418985e-10,0.609380942872515,372,0.0597,-0.03373,0.43114718810523267,0,0,0,0.1702,372,0.609380942872515,0.005396,0.005395754534142538,621.4857930053203,289.78282036577104,0.6091702876917032,0.6091702876917273,0.609170287691728,0.7614628596146591,1.9872328937503022e-13,372,0.0642,0.0642,-0.04486,-0.019835,372,0.1015,0.0916,0.03495,-0.017921,3,0.0074,-0.9068,0.30792,14.924,0.0118,0.6692,-0.040526,10.613,0.0066,-0.2936,-0.238383,13.249,7.5343,1.9808,1.4086,1.7585,0.9956,1.0,0.51275,0.52104,1.26167,0.27203,0.9259,1.0294,1.1119,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1572,0.9366,47,0.1441,0.9905,-1.0
4,1196,207563,2.883982215461209e-16,2.2274184082408724e-10,1.256389799878617e-11,2.2274184082408724e-10,0.4386094807347686,10.779656003944005,9.522192019313252,-29.804786088727287,32.00612307495574,-0.0945660583608142,32.00612307495574,0.002662819249727777,12.547909983810907,6.403241825985406,-1.1229193695332838,1.0245230827237248,-0.02330097559520007,1.1229193695332838,0.05000294905424502,2.3984124633216104,1.1569635338684408,0.052442286852695384,2.395642095871382,1.1543947884648804,0.002701594714746628,0.09404699832033545,0.029702645280465276,0.00214163109948029,1.3789730568364709,0.8617379454913591,0.00793577354094958,-0.16781172152188212,0,0,0,4.2692372701318215e-10,0.6405591341253797,372,0.0897,-0.01159,0.44608943555020025,9,8,1,0.0773,363,0.6312649212631241,-0.751081,-0.7510809231224157,621.4857987302362,289.7828230351519,0.6091702876916322,0.6091702876917251,0.609170287691728,0.7614628596146563,7.686509451841032e-13,372,0.0721,0.0721,-0.05708,0.252182,372,-0.0047,0.004,0.00433,1.343491,3,0.0066,-0.8976,0.090573,17.121,0.0012,-0.2963,0.083638,17.011,0.001,0.6869,-0.193397,16.886,9.8186,1.7437,1.7326,1.7198,0.6243,1.0,0.54608,0.49033,1.26184,0.26628,0.9482,1.0071,1.0622,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1507,-0.5672,20,0.0053,-0.9512,1.0
5,1196,207563,3.645341419750581e-14,2.061171478957194e-09,1.207093113920756e-10,2.061171478957194e-09,0.43860937862609906,10.779655972261493,9.522192013315117,-29.838078789538592,32.7145209849593,0.15081722433562492,32.7145209849593,0.010727855422636878,12.532545768440839,6.29864019433878,-1.1299581278495658,1.0256730378691357,-0.023314536396845758,1.1299581278495658,0.05000402632494022,2.3984121512668257,1.1569637275198252,0.05179042595277936,2.39564517295619,1.1526256249731432,0.015559162333250033,0.10435826144257856,0.038320024735378856,0.0013529296484282582,1.3848257235181456,0.9031543094832486,0.007965812787234237,-0.18281182627079537,0,0,0,3.4799465107513403e-09,0.6380060256854797,372,0.0964,-0.02736,0.4508271084041762,22,22,0,0.0993,371,0.6370017356192107,-0.019117,-0.01911749955765596,621.4858129998319,289.7828296886969,0.6091702876908407,0.6091702876917131,0.609170287691728,0.7614628596146413,7.11281438300342e-12,372,0.0582,0.0582,-0.0632,-0.049805,372,0.1621,0.1621,-0.00536,-0.042213,3,0.006,0.3433,0.008637,17.451,0.0168,0.9013,-0.004233,17.27,0.0096,0.7163,0.005877,16.983,9.9511,1.7537,1.7355,1.7067,0.3811,1.0,0.5617,0.51798,1.26191,0.25075,0.9591,0.9961,1.0386,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1238,0.2523,17,0.1111,-0.8198,0.0
6,1196,207563,3.4136241849722315e-14,6.107441446785657e-09,4.491897614615392e-10,6.107441446785657e-09,0.4386091620697357,10.779655725865915,9.52219199482365,-32.90368146982298,32.982969819170044,0.16374463053652505,32.982969819170044,0.004529732169814268,12.54729298729287,6.253259515523334,-1.1315600899110163,1.026480960324187,-0.02343434218210085,1.1315600899110163,0.05000615124159708,2.3984113409805783,1.1569657832795184,0.051305879866937874,2.3956544860236852,1.1451392396905211,0.022010635190562722,0.11479568366383228,0.04735156783021126,0.0008868868010589726,1.4076041365217098,0.8853421894026907,0.00799384320124892,-0.19738951728141277,0,0,0,1.2591630844371208e-08,0.6348175788486424,372,0.1222,-0.03627,0.45494713866739245,2,2,0,0.1222,372,0.6348175788486424,-0.591209,-0.5912093294849285,621.485836899424,289.78284083246126,0.6091702876890989,0.6091702876916723,0.609170287691728,0.7614628596145903,2.1075925093565808e-11,372,0.047,0.047,-0.04944,-0.240405,372,0.209,0.209,-0.00982,-0.022752,3,0.0064,0.8482,-0.002579,17.472,0.0264,0.9976,0.002738,17.31,0.0109,0.8831,-0.000973,17.093,9.9836,1.75,1.7338,1.7121,0.3902,1.0,0.57733,0.54116,1.26188,0.22194,0.9573,0.998,1.0424,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.0958,0.9402,16,0.0374,-0.7386,0.0
7,1196,207563,1.152977496182802e-14,8.777360626048267e-09,9.640576353763643e-10,8.777360626048267e-09,0.4386088084352599,10.779654475050501,9.522191944076098,-42.60335589803671,32.97477140488232,0.29600284120391424,42.60335589803671,0.01053014910894845,12.555520777584556,6.269931875745468,-1.1316272544402604,1.0291388530566603,-0.023417154103115963,1.1316272544402604,0.05001239208732975,2.398409186747824,1.1569735943422959,0.051683821063987466,2.3956795828182065,1.131910732864865,0.03008747969241424,0.1277596274377502,0.056204989724237014,0.0020289838566989182,1.4118491373195416,0.8579259724755545,0.008019921726794386,-0.21138149586601437,0,0,0,8.325391357288716e-08,0.6217073030353216,372,0.1692,-0.02377,0.45568058504268205,0,0,0,0.1692,372,0.6217073030353216,0.122972,0.12297205716986981,621.4858929280123,289.78286695714905,0.6091702876879493,0.6091702876914744,0.609170287691728,0.761462859614343,3.0289439531793297e-11,372,0.0493,0.0493,-0.03144,0.11038,372,0.226,0.226,-0.01071,-0.062162,3,0.0087,0.9765,-0.002285,17.435,0.0386,0.9897,0.004733,17.274,0.0118,0.9356,0.001161,17.164,9.9832,1.7465,1.7303,1.7193,0.4449,1.0,0.58345,0.53351,1.26183,0.17357,0.9502,1.0051,1.0577,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1129,0.8607,17,0.104,-0.9951,-1.0
8,1196,207563,4.881573809794905e-15,1.4271898144364032e-08,1.9862300926277562e-09,1.4271898144364032e-08,0.43860807464672213,10.779650874347634,9.522191824766518,-46.36082103538422,32.973001182898635,0.32084233829269965,46.36082103538422,0.003043911272763822,12.555542262177228,6.28485471039724,-1.1317230382674999,1.031979592385847,-0.023476957210668274,1.1317230382674999,0.05002608755882359,2.398403117058911,1.1569927072896486,0.06903065925505877,2.395730174170421,1.1156197544167912,0.03401463971771697,0.14168726730615916,0.06478424944899372,0.00023905961356063266,1.4128747454508814,0.8735675133059305,0.008044299438560892,-0.2249886047955695,0,0,0,2.513580076417112e-07,0.6151056547034071,372,0.1979,-0.01769,0.45582456223378115,0,0,0,0.1979,372,0.6151056547034071,0.529958,0.5299578652654087,621.4859635504632,289.78289988657923,0.609170287685584,0.6091702876910217,0.609170287691728,0.761462859613777,4.9250311698689055e-11,372,0.0614,0.0614,-0.02078,0.096216,372,0.242,0.242,-0.00792,-0.037539,3,0.0131,0.9966,-0.001642,17.39,0.0484,0.9517,0.00304,17.248,0.016,0.9737,-0.000294,17.199,9.9761,1.7432,1.7289,1.724,0.455,1.0,0.5954,0.53628,1.26168,0.17575,0.947,1.0083,1.0648,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.11,0.4886,17,0.0634,-0.9837,-1.0
9,1196,207563,1.581838844857791e-13,2.7113481902244246e-08,3.726476086327931e-09,2.7113481902244246e-08,0.4386069207331791,10.779642583786385,9.52219157193693,-46.82749014316112,42.8707022843016,0.35827987060635363,46.82749014316112,0.0034860381171721855,12.566347850289736,6.2839653013117465,-1.1337244533029027,1.0337767681138113,-0.02352440931957246,1.1337244533029027,0.050046432224461423,2.3983894571075464,1.1570287855197017,0.0689913413124551,2.395888122959717,1.083897926355206,0.035854844407201714,0.15575869884735677,0.0735199245820532,0.0021860291498000395,1.4130426575580486,0.845182856580243,0.00806765372016343,-0.23843578987187097,0,0,0,5.032754745961218e-07,0.6121755582019636,372,0.2162,-0.00733,0.45641859914658983,0,0,0,0.2162,372,0.6121755582019636,0.089918,0.08991784445351048,621.4860249733217,289.7829285264763,0.6091702876800558,0.6091702876904436,0.609170287691728,0.7614628596130544,9.356480052194307e-11,372,0.0859,0.0859,-0.01193,0.045623,372,0.2572,0.2572,-0.00656,-0.003153,3,0.0192,0.9163,-0.001386,17.371,0.0557,0.9004,0.00285,17.225,0.0228,0.9993,0.000871,17.242,9.9764,1.7412,1.7266,1.7283,0.4364,1.0,0.60559,0.52171,1.26154,0.19852,0.9456,1.0096,1.0677,0.5,2.7211,0.9535,0.0,0.0,8.4656,3.1111,80,0.1057,-0.2772,17,0.0463,0.17,-1.0
