step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,213263,0.0,1.4133706976505143e-12,1.5186351780230612e-14,1.4133706976505143e-12,0.4288044847304907,4.77500594009329,3.959489666286512,-29.432307529524014,27.055243373193168,-0.00022761355720775367,29.432307529524014,4.5772365503182755e-05,12.566353702112698,6.110461640165206,-0.9013375840213644,0.9380518723187941,-0.015092295565728317,0.9380518723187941,0.028870973247514527,2.399987739685715,1.2278270514289953,0.028870973247514527,2.3986549373633723,1.2275531210903055,0.0,0.05863295558683457,0.0030271682845742303,1.0,1.0,1.0,0.009910210141066316,-0.12409929630582521,0,0,0,0.0,0.6017856753516517,372,0.9988,-0.02001,0.4517081221486849,1,2,-1,0.9989,372,0.6017856753516517,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917274,0.609170287691728,0.609170287691728,0.76146285961466,4.87734472583018e-15,372,0.9986,0.9987,0.00015,0.0,372,0.9988,0.9988,-0.03024,0.0,3,0.9974,1.0,0.0,0.0,0.9976,1.0,0.0,0.0,0.9974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0013,1.0,1.25789,0.2752,0.9898,0.9882,0.9984,0.5167,2.1672,1.9264,1.9505,16.2542,32.4282,14.9632,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,213263,1.5547503772032468e-29,8.3453309525407e-13,1.036477253878514e-14,8.3453309525407e-13,0.4320261420558372,4.776395367720413,3.9594883101136795,-28.65371266057907,25.497007815236163,-0.12185817989751487,28.65371266057907,4.447361505589874e-05,12.565938476101097,5.721561877029829,-0.9013375856051632,0.9380518783185764,-0.015092295603830795,0.9380518783185764,0.05,2.3999877396850544,1.2278447178393235,0.05213544532956699,2.39832416353795,1.2272276535185827,1.4142115624116159e-08,0.05863296972895019,0.0030271824266898542,0.0031684876403861306,1.4019334725563006,1.020324414208043,0.009947841849905156,-0.12409931928584714,0,0,0,4.3650439623444846e-24,0.6017856882352195,372,0.9938,-0.01971,0.4514884071240353,10,10,0,0.9965,372,0.6017856882352195,0.036728,0.03672829282375112,621.4857873344098,289.7828177215715,0.6091702876917278,0.609170287691728,0.609170287691728,0.76146285961466,2.8798570661146107e-15,372,0.9689,0.9027,-0.00271,-1.008538,372,0.9904,0.9888,-0.03047,1.138991,3,0.9708,0.9869,2.623603,0.0,0.9869,0.9998,-2.583589,0.0,0.9683,0.9837,-1.450531,0.0,0.0,1.8155,1.6099,1.7641,1.0,1.0,0.25676,0.03187,1.25789,0.27522,0.6128,1.016,1.6579,0.9331,2.1672,1.9264,1.9505,16.2542,32.4282,14.9632,0,0.0,0.0,0,0.0,0.0,0.0
2,1203,213271,0.0,3.1607535408030314e-09,4.7159386315505856e-11,3.1607535408030314e-09,0.4399839802730013,4.772450945426427,3.958102571131955,-29.7870376470066,25.987049358709566,-1.500910399324946,29.7870376470066,2.4003156729699403e-05,12.566348963827027,7.810780774510727,-0.9044956411336064,0.9421459956638446,-0.01546365150344935,0.9421459956638446,0.050000884045382284,2.399983227295383,1.2281768991616786,0.06933045545742353,2.398655112541569,1.2258023282239328,0.0,0.06959607933512224,0.013153441543016843,1.0,1.0,1.0,0.0,-0.14034825891563996,0,0,0,1.3715894879376627e-08,0.6201158521351854,376,0.9697,-0.01983,0.45301576519987824,0,0,0,0.9697,376,0.6201158521351854,1.350462,1.3504617110220476,621.4858082845649,289.78282749008935,0.6091702876903673,0.6091702876917181,0.609170287691728,0.7614628596146475,1.0907318312059502e-11,372,0.9595,0.9595,-0.00051,0.150336,375,0.9408,0.9408,-0.02862,-0.021966,3,0.9306,0.9865,-0.012381,6.94,0.9127,0.9933,-0.026926,6.764,0.903,0.9988,-0.098045,6.938,3.9726,1.7468,1.7026,1.7464,0.2548,1.0,0.26036,0.0533,1.26223,0.2668,0.9451,1.033,1.093,0.4996,2.1675,1.9267,1.9508,16.4114,32.5532,15.0188,48,0.1604,-0.5179,53,0.1274,-0.1641,1.0
3,1204,213272,0.0,3.167417129853417e-09,4.70299793321418e-11,3.167417129853417e-09,0.4413822787425406,4.773967450974648,3.9579255235525492,-29.46930630507442,32.748285160195636,-0.04693957709464689,32.748285160195636,0.00018275784994108363,12.566215477058405,7.905756043147535,-0.9044955956237918,0.942146215370439,-0.015436696015011868,0.942146215370439,0.050000885569405254,2.3999831932903963,1.2279908446498045,0.06933150531860796,2.3986551542921544,1.2234312208833817,0.0,0.06966454860963893,0.01315001472968177,1.0,1.0,1.0,1.3708960653459152e-12,-0.1403542701492537,0,0,0,1.3967800445433374e-08,0.6199550421365903,377,0.9632,-0.01964,0.45291018573137654,0,0,0,0.9632,377,0.6199550421365903,-0.011584,-0.011584006128122049,621.4858084125703,289.782827549775,0.6091702876903645,0.6091702876917179,0.609170287691728,0.7614628596146473,1.0930313423452812e-11,372,0.9509,0.9509,-0.00655,0.00126,375,0.9404,0.9404,-0.02923,-0.0119,3,0.916,0.9826,-0.000142,6.941,0.9062,0.9932,0.000699,6.763,0.8945,0.9975,0.000506,6.943,3.9736,1.7467,1.7019,1.7472,0.2434,1.0,0.25633,0.09053,1.26323,0.2478,0.9475,1.0304,1.0875,0.5008,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.1808,-0.601,53,0.0806,-0.3758,-1.0
4,1204,213272,1.0258926103892326e-25,3.1990186034932077e-09,4.629465020699068e-11,3.1990186034932077e-09,0.4413822688595168,4.773967448370421,3.9579255240375923,-29.539854942477096,31.85821971521616,-0.2050943703118475,31.85821971521616,5.0127954072110015e-05,12.5662083597055,7.455903594946595,-0.9044952809527657,0.9421464508441125,-0.015436753021825908,0.9421464508441125,0.050000886866709324,2.399983174196907,1.2279908444813745,0.0693350326678575,2.399584213007242,1.2181808920494985,1.4142115624116159e-08,0.06973301788415562,0.013157146271777465,0.0012745476810205325,1.4141377196040326,0.9019761347383001,3.65171835478872e-12,-0.1403592264457467,0,0,0,1.4207447245254217e-08,0.6205737880524815,377,0.9595,-0.01926,0.45260694485893194,0,0,0,0.9595,377,0.6205737880524815,0.00195,0.0019496979950817117,621.4858084411594,289.78282756310534,0.6091702876903509,0.6091702876917179,0.609170287691728,0.7614628596146473,1.1039365687728907e-11,372,0.9206,0.9206,-0.0102,0.000264,375,0.9343,0.9343,-0.03036,-0.011831,3,0.8836,0.9713,-0.001043,6.947,0.897,0.9929,-0.000282,6.758,0.8605,0.9927,0.000804,6.948,3.9751,1.7478,1.7,1.748,0.2409,1.0,0.25069,0.09695,1.26323,0.20833,0.9504,1.0276,1.0813,0.5,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.1285,-0.6049,53,0.0467,-0.7066,2.0
5,1204,213272,2.8909538472251903e-15,1.6197525110127738e-08,3.622219573590617e-10,1.6197525110127738e-08,0.4413820657706328,4.773966713714032,3.9579254928597405,-28.296198590964288,30.226255678268775,-0.09082340758588843,30.226255678268775,0.0005144685606115473,12.566059782176474,7.411469613283115,-0.906126565878681,0.9503560881800832,-0.015439909779144724,0.9503560881800832,0.050017574629661186,2.399999353599858,1.2279954931067338,0.06934302061272082,2.3999993908797954,1.206010454380218,0.005049124093743171,0.08343848206584957,0.022176907619160514,0.006296045035088738,1.4140151116389248,1.0096480947722846,2.4623877767095797e-10,-0.15581044403796923,0,0,0,1.9198705539080054e-07,0.606103535858742,377,0.9588,-0.01841,0.4532379250018966,1,1,0,0.9588,377,0.606103535858742,-0.083659,-0.08365917426207048,621.4858624356749,289.7828527393574,0.609170287684755,0.6091702876915996,0.609170287691728,0.7614628596144996,5.589538841587862e-11,372,0.826,0.826,-0.01437,-0.351202,375,0.9191,0.9191,-0.03025,-0.004571,3,0.7921,0.9272,-0.001299,6.909,0.8818,0.9939,0.006359,6.808,0.7596,0.9629,-0.008626,6.998,3.9868,1.7329,1.7076,1.7553,0.2605,1.0,0.26697,0.10092,1.26309,0.15506,0.9643,1.0138,1.0513,0.5,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.0031,-0.9973,52,0.0432,-0.5434,3.0
6,1205,213273,0.0,3.948173649144499e-08,1.8527978516870524e-09,3.948173649144499e-08,0.4427314062609908,4.775441487450312,3.95750106617997,-28.828122477096255,31.59555956444331,-0.17454769845383913,31.59555956444331,0.0005058963913537229,12.565279975988556,7.436369388049563,-0.9077661449071467,0.9582786570688167,-0.015231374872745581,0.9582786570688167,0.050079299197097436,2.400095811232104,1.2279008286197457,0.06942849373337906,2.400095852730479,1.1716563412515073,0.0,0.09756269207273965,0.03224660567180955,1.0,1.0,1.0,6.721221211051338e-10,-0.17103365060356426,0,0,0,8.459818206530964e-07,0.6055767636528208,378,0.9536,-0.01853,0.45406115818546233,2,1,1,0.9536,378,0.6055767636528208,-0.143709,-0.14370880760058924,621.4859676433028,289.7829017949649,0.6091702876747311,0.6091702876909886,0.609170287691728,0.7614628596137357,1.3624591460327148e-10,372,0.8157,0.8157,-0.01425,-0.46473,375,0.9125,0.9125,-0.03013,-0.315152,3,0.7781,0.9299,-0.002929,6.925,0.8718,0.9945,0.003013,6.816,0.7457,0.9633,0.000849,7.046,4.0008,1.7309,1.7038,1.7611,0.2402,1.0,0.2669,0.11878,1.26316,0.19784,0.9534,1.0246,1.0747,0.5004,2.168,1.9271,1.9512,16.3113,32.7201,15.0923,48,0.1073,0.6225,52,0.0907,0.5395,2.0
7,1208,213277,0.0,3.953477016742469e-08,1.8220172953673723e-09,3.953477016742469e-08,0.44709827522458334,4.780329906417519,3.9569687304472736,-28.91562037028349,31.076316954395853,0.04901002720974231,31.076316954395853,9.62849690164802e-05,12.566350514381016,7.446038099141197,-0.9078076194554238,0.958279902942955,-0.014829683851531906,0.958279902942955,0.05008120384743486,2.4000968608502733,1.2280604338936667,0.06943004602082496,2.4000969236351,1.0986260349163044,0.0,0.0975727547898434,0.0323147667647224,1.0,1.0,1.0,6.905953112992442e-15,-0.1711778073764764,0,0,0,8.560867334561937e-07,0.6037474575991469,381,0.9381,-0.01857,0.45404421144854773,2,1,1,0.9381,381,0.6037474575991469,-0.002878,-0.0028780356334834334,621.4859646971873,289.78290042126713,0.6091702876747084,0.6091702876910126,0.609170287691728,0.7614628596137657,1.364289270000116e-10,372,0.8009,0.8009,-0.01392,-0.085778,375,0.9111,0.9111,-0.03051,0.015875,3,0.7515,0.9339,-0.000569,6.935,0.8561,0.9953,-3.5e-05,6.82,0.7311,0.9641,0.000505,7.056,4.0056,1.7314,1.7026,1.7616,0.2327,1.0,0.26119,0.11872,1.26448,0.2239,0.9625,1.0155,1.055,0.5008,2.1643,1.9238,1.9478,16.438,32.6642,15.0923,48,0.1462,0.5895,53,0.0657,0.7458,0.0
8,1208,213277,2.024072426130942e-26,3.7000438930736936e-08,1.8427367010039292e-09,3.7000438930736936e-08,0.4470967709618367,4.780326639825732,3.9569686037999676,-28.971064803481237,32.647149975203135,-0.20884763568100473,32.647149975203135,0.0013054394786138346,12.565714721551885,7.3934960714078395,-0.9078644282733097,0.9582948200824013,-0.014832504596941633,0.9582948200824013,0.05008423475797754,2.4000981774330974,1.2280610674594157,0.06943190720267868,2.4000982455651254,1.0186392398257917,1.4142115624116159e-08,0.09784523278065035,0.03251007725205929,0.002355044371325943,1.4142044891679126,0.8188753216096907,5.334790284085784e-10,-0.17129124081007888,0,0,0,8.724788330101279e-07,0.6036241478047645,381,0.9401,-0.01856,0.4540490928338648,2,2,0,0.9401,381,0.6036241478047645,0.007751,0.007750788260933117,621.4859665804053,289.7829012993632,0.6091702876757994,0.6091702876909972,0.609170287691728,0.7614628596137465,1.2768330624350142e-10,372,0.7972,0.7972,-0.01444,0.126749,375,0.9128,0.9128,-0.03236,-0.001479,3,0.7499,0.9291,0.000916,6.932,0.8595,0.996,0.000164,6.824,0.7291,0.9585,-0.000289,7.052,4.005,1.7309,1.7039,1.7609,0.2368,1.0,0.26276,0.12062,1.26448,0.1821,0.9499,1.0282,1.0824,0.5,2.1643,1.9238,1.9478,16.438,32.6642,15.0923,48,0.047,0.8152,53,0.0495,0.3673,-2.0
9,1208,213277,1.0891615535415514e-14,4.3779899226093035e-08,4.489682611746139e-09,4.3779899226093035e-08,0.4470977574947242,4.780321224521096,3.956968356223577,-30.46561458156798,32.289322513137535,0.13744496724142016,32.289322513137535,0.00014235417299168773,12.565089770281828,7.337832991571616,-0.9086785963356919,0.9643799808406704,-0.01489180081902603,0.9643799808406704,0.05012630762224965,2.400613960934116,1.2280923983712744,0.06085177339838399,2.400614002423647,0.9733099845811513,0.014141799394746675,0.11198614689751525,0.04069883046815974,0.00019868988995708214,1.4141540360342995,0.8015413045601327,8.725918188080156e-10,-0.1850597555147743,0,0,0,1.211349639567014e-06,0.6058279004972454,381,0.9498,-0.01715,0.4536386775196768,0,1,-1,0.9498,381,0.6058279004972454,-0.032824,-0.03282380937150631,621.4860712075415,289.78295008430234,0.6091702876728808,0.609170287689895,0.609170287691728,0.7614628596123687,1.5107824395243676e-10,372,0.7824,0.7824,-0.01574,-0.116713,375,0.9103,0.9103,-0.0343,0.183918,3,0.7434,0.9217,-0.00246,6.93,0.8653,0.9973,-0.006253,6.822,0.7129,0.9475,-0.004218,7.028,3.9993,1.7329,1.7057,1.7572,0.2482,1.0,0.27973,0.12156,1.26422,0.16157,0.9583,1.0198,1.0641,0.5,2.1643,1.9238,1.9478,16.4381,32.6643,15.0923,48,0.1863,-0.161,53,0.144,-0.1388,2.0
