step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,213263,0.0,1.4155719693762227e-12,1.5180754606312526e-14,1.4155719693762227e-12,0.42880448470757837,4.77500594009329,3.959489666286378,-29.43226901112964,27.055022498556202,-0.00022761665349246474,29.43226901112964,1.0558636056146042e-05,12.566353702112698,6.110461367330437,-0.9013375840213644,0.9380670982738158,-0.015092533120098036,0.9380670982738158,0.028870973247514527,2.3999877426897687,1.2278270514200875,0.028870973247514527,2.3986549373846118,1.22755382937718,0.0,0.05864280444997561,0.0030281470897674913,1.0,1.0,1.0,0.009910210141066316,-0.12409767517711992,0,0,0,0.0,0.6017856753516517,372,0.9988,-0.02001,0.4517081221486849,1,2,-1,0.9989,372,0.6017856753516517,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917274,0.609170287691728,0.609170287691728,0.76146285961466,4.884941006876158e-15,372,0.9986,0.9987,0.00015,0.0,372,0.9988,0.9988,-0.03024,0.0,3,0.9974,1.0,0.0,0.0,0.9976,1.0,0.0,0.0,0.9974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0013,1.0,1.25789,0.2752,0.9898,0.9882,0.9984,0.5167,2.1672,1.9264,1.9505,16.2542,32.4282,14.9632,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,213263,1.598597632281176e-29,8.202569460628031e-13,1.0365084425652241e-14,8.202569460628031e-13,0.43202614201408546,4.77639536772036,3.9594883101133647,-28.653687542136023,25.49676081798787,-0.12185816868979071,28.653687542136023,4.4525390006181116e-05,12.565938690117457,5.721561094382469,-0.9013375856051422,0.9380671042740033,-0.015092533158186558,0.9380671042740033,0.05,2.399987742689115,1.2278447178304157,0.05213546651934587,2.3983227743732765,1.2272290924397318,1.4142115624116159e-08,0.058642818592091236,0.0030281612318831153,0.00016677760864425295,1.401918623100445,1.0194928272570039,0.009947841849905355,-0.12409769815718655,0,0,0,4.368587816403222e-24,0.6017856882352198,372,0.9938,-0.01971,0.45148840455622374,9,9,0,0.9965,372,0.6017856882352198,0.036915,0.036915144731177074,621.4857873344098,289.7828177215715,0.6091702876917278,0.609170287691728,0.609170287691728,0.76146285961466,2.8305920706828125e-15,372,0.9689,0.9027,-0.00271,-1.008527,372,0.9904,0.9888,-0.03047,1.138963,3,0.9708,0.9869,2.623803,0.0,0.9869,0.9998,-2.583651,0.0,0.9683,0.9837,-1.450507,0.0,0.0,1.8156,1.6101,1.7639,1.0,1.0,0.25676,0.03187,1.25789,0.27522,0.6128,1.016,1.6579,0.9331,2.1672,1.9264,1.9505,16.2542,32.4282,14.9632,0,0.0,0.0,0,0.0,0.0,0.0
2,1203,213271,0.0,3.1598732295645662e-09,4.709513086995818e-11,3.1598732295645662e-09,0.4399839802465481,4.772450945426356,3.958102571130954,-29.787018226428465,25.986573108143116,-1.5009104238587883,29.787018226428465,6.095936468142327e-05,12.566195796490874,7.810672112032743,-0.9044954827651132,0.9421540103103003,-0.015463894074106206,0.9421540103103003,0.05000088385401027,2.3999832312532163,1.228176899173545,0.06933044239623999,2.3986551121595507,1.2258131338719434,0.0,0.06974352705772718,0.013146147171509538,1.0,1.0,1.0,0.0,-0.14034675117752954,0,0,0,1.3691606662844853e-08,0.620128562133668,376,0.9698,-0.01983,0.45301424860811645,0,0,0,0.9698,376,0.620128562133668,1.350211,1.3502108874580196,621.4858082754264,289.7828274858283,0.6091702876903677,0.6091702876917181,0.609170287691728,0.7614628596146475,1.0904280481282481e-11,372,0.9594,0.9594,-0.00053,0.149636,375,0.9408,0.9408,-0.02862,-0.021847,3,0.9305,0.9863,-0.012463,6.94,0.9127,0.9933,-0.026804,6.764,0.9029,0.9988,-0.097966,6.937,3.9726,1.7469,1.7026,1.7463,0.255,1.0,0.26036,0.0533,1.26223,0.26681,0.9451,1.033,1.093,0.4996,2.1675,1.9267,1.9508,16.4114,32.5532,15.0188,48,0.1606,-0.5178,53,0.1276,-0.1646,1.0
3,1204,213272,0.0,3.166888077159637e-09,4.696588360000532e-11,3.166888077159637e-09,0.44138227872215363,4.773967450974561,3.9579255235509265,-29.468846900428424,32.74837640818302,-0.04705897799766346,32.74837640818302,0.00018638460876295102,12.566298063355031,7.895271220350579,-0.9044954377247156,0.942154450579577,-0.015436933008653295,0.942154450579577,0.05000088537773608,2.3999831977048744,1.227990844668052,0.06933149995287324,2.398655153834972,1.22345600440342,0.0,0.06981199633224387,0.013142741022190242,1.0,1.0,1.0,1.3756551291152315e-12,-0.1403527624257357,0,0,0,1.394389402139541e-08,0.6199690902719276,377,0.9632,-0.01964,0.45290796550376156,0,0,0,0.9632,377,0.6199690902719276,-0.011563,-0.011562566182085732,621.4858084233754,289.7828275548131,0.6091702876903646,0.6091702876917179,0.609170287691728,0.7614628596146473,1.0928487736426041e-11,372,0.9506,0.9506,-0.00658,0.001194,375,0.9404,0.9404,-0.02924,-0.011892,3,0.9158,0.9824,-0.00014,6.941,0.9062,0.9932,0.000698,6.763,0.8943,0.9975,0.000508,6.942,3.9736,1.7467,1.7019,1.7471,0.2436,1.0,0.25634,0.09055,1.26323,0.2478,0.9475,1.0304,1.0875,0.5008,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.1809,-0.6002,53,0.0807,-0.3744,-1.0
4,1204,213272,1.0247516127299361e-25,3.1983506273326498e-09,4.623334401464157e-11,3.1983506273326498e-09,0.4413822688410166,4.7739674483703105,3.9579255240353954,-29.539868984826164,31.858234347314827,-0.2051694124466132,31.858234347314827,0.0002738461087261612,12.565916477302116,7.44542396267837,-0.9044951235276351,0.9421546860396469,-0.01543699109980551,0.9421546860396469,0.05000088667477999,2.399983178618533,1.227990844500904,0.06933506054771794,2.3995719098696635,1.2182486641167654,1.4142115624116159e-08,0.06988046560676056,0.013149868913084983,0.0034933853500914713,1.41413625107246,0.9013286722210808,3.6645700899165254e-12,-0.14035771874093653,0,0,0,1.418283617203662e-08,0.6205889186325655,377,0.9595,-0.01927,0.45260282871396973,0,0,0,0.9595,377,0.6205889186325655,0.001948,0.0019481123882509888,621.4858084529759,289.78282756861506,0.6091702876903512,0.6091702876917179,0.609170287691728,0.7614628596146473,1.1037060595232618e-11,372,0.9205,0.9205,-0.01027,5.6e-05,375,0.9343,0.9343,-0.03037,-0.01183,3,0.8834,0.9711,-0.001041,6.948,0.8969,0.9929,-0.000282,6.758,0.8604,0.9926,0.000802,6.948,3.975,1.7478,1.7,1.7479,0.241,1.0,0.25069,0.097,1.26323,0.20834,0.95,1.028,1.0821,0.5,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.1284,-0.6037,53,0.0471,-0.7068,2.0
5,1204,213272,2.894966712840369e-15,1.6168273802162982e-08,3.610649658134341e-10,1.6168273802162982e-08,0.44138206462552065,4.773966711749742,3.957925492910159,-28.269401246439546,30.227622486960467,-0.08782275761121998,30.227622486960467,0.0013908427671420753,12.566223588993479,7.411685156847926,-0.9061224661798148,0.950363990021066,-0.015440433680777532,0.950363990021066,0.05001753914267531,2.3999993868997676,1.2279954947090825,0.06934246833921423,2.3999994240047835,1.2062585639342394,0.005035276694750977,0.08344592097758319,0.022163155635295823,0.0038431029900682923,1.4140147142548236,1.0093933988857577,2.483182075199698e-10,-0.15580896900927874,0,0,0,1.9123406040961945e-07,0.6061105683481038,377,0.9589,-0.01841,0.45323366810943266,1,1,0,0.9589,377,0.6061105683481038,-0.083925,-0.08392487018513695,621.4858623697903,289.7828527086371,0.6091702876847676,0.6091702876916,0.609170287691728,0.7614628596144999,5.5794446258762636e-11,372,0.8255,0.8255,-0.01433,-0.343693,375,0.9191,0.9191,-0.03025,-0.005422,3,0.7917,0.9269,-0.001377,6.909,0.8818,0.9938,0.006339,6.808,0.7592,0.9628,-0.008638,6.998,3.9869,1.733,1.7076,1.7553,0.2606,1.0,0.26689,0.10116,1.2631,0.15508,0.9644,1.0136,1.051,0.5,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.0029,-0.9987,52,0.0428,-0.55,3.0
6,1205,213273,0.0,3.944077981996204e-08,1.8484394134637524e-09,3.944077981996204e-08,0.44273139837182246,4.775441473680214,3.9575010663533785,-28.828104235950494,31.595530575986118,-0.17360481063606895,31.595530575986118,0.00034595113030674266,12.565788961201356,7.436757362405439,-0.9077745554110844,0.9582867255031462,-0.015231770294049206,0.9582867255031462,0.05007917719992696,2.4000959563392374,1.227900873245205,0.06942664664837335,2.400095997836957,1.1720635127351264,0.0,0.09757012341500385,0.03223032025517092,1.0,1.0,1.0,6.772405045172795e-10,-0.17103224151767593,0,0,0,8.438780574386553e-07,0.60557519752628,378,0.9537,-0.01853,0.45405289692051076,2,1,1,0.9537,378,0.60557519752628,-0.143943,-0.14394315261297974,621.4859672292457,289.78290160190073,0.6091702876747488,0.6091702876909919,0.609170287691728,0.7614628596137398,1.3610457898632395e-10,372,0.8156,0.8156,-0.01417,-0.468948,375,0.9125,0.9125,-0.03013,-0.31428,3,0.778,0.9294,-0.002934,6.925,0.8717,0.9945,0.003014,6.816,0.7456,0.963,0.000818,7.046,4.0008,1.7309,1.7037,1.7611,0.2402,1.0,0.26687,0.11879,1.26317,0.19775,0.954,1.024,1.0733,0.5004,2.168,1.9271,1.9512,16.3113,32.7201,15.0923,48,0.1074,0.6234,52,0.0902,0.5373,2.0
7,1208,213277,0.0,3.94960622517706e-08,1.8171689783518141e-09,3.94960622517706e-08,0.4470982579830707,4.780329881188108,3.9569687307341646,-28.905222420976255,31.076262298022844,0.053809956322278245,31.076262298022844,0.0006011925027724629,12.566304899500436,7.4569745365698505,-0.9078159992063003,0.9582879733252356,-0.014830091317535125,0.9582879733252356,0.050081076658761256,2.4000970071340486,1.2280604803056805,0.06943024490570701,2.4000970699323463,1.099032621535388,0.0,0.09758018613210759,0.03229852040368492,1.0,1.0,1.0,6.583631897091557e-15,-0.17117668822349133,0,0,0,8.54050679453216e-07,0.6037428860822747,381,0.9381,-0.01856,0.45403574374858624,2,1,1,0.9381,381,0.6037428860822747,-0.003729,-0.003729232527879933,621.4859645740532,289.7829003638529,0.609170287674725,0.6091702876910134,0.609170287691728,0.7614628596137668,1.3629535145855447e-10,372,0.8004,0.8004,-0.01388,-0.092941,375,0.9111,0.9111,-0.03051,0.015936,3,0.7511,0.9332,-0.000607,6.935,0.8562,0.9953,-4.2e-05,6.82,0.7306,0.9637,0.000487,7.056,4.0056,1.7314,1.7026,1.7616,0.2327,1.0,0.26115,0.11868,1.26448,0.22384,0.9621,1.0159,1.056,0.5008,2.1643,1.9238,1.9478,16.438,32.6642,15.0923,48,0.1462,0.5897,53,0.0652,0.7487,-0.0
8,1208,213277,2.0172052400572468e-26,3.696970519081347e-08,1.8349409830929905e-09,3.696970519081347e-08,0.44709674571830416,4.780326603286139,3.956968603907394,-28.971815446371647,32.64709618793292,-0.20813968103141084,32.64709618793292,0.0017628832923541893,12.565701300810773,7.394756727450274,-0.9078731954943436,0.9583025845412405,-0.014833264607325288,0.9583025845412405,0.050084098021613226,2.4000983321143474,1.228061102562017,0.0694315821734251,2.400098400304712,1.0186025402633576,1.4142115624116159e-08,0.09815001115324037,0.03249459955562971,0.0070198796298790445,1.4142045690471992,0.8221790631108022,1.1655770369718612e-09,-0.17129057613438242,0,0,0,8.702716480347218e-07,0.6036212135066316,381,0.9401,-0.01855,0.4540398439387638,2,2,0,0.9401,381,0.6036212135066316,0.008956,0.008955519523264233,621.4859663499893,289.78290119192616,0.6091702876758127,0.609170287690999,0.609170287691728,0.7614628596137487,1.2757724848067574e-10,372,0.795,0.795,-0.01371,0.118977,375,0.9126,0.9126,-0.03236,-0.001712,3,0.7478,0.9289,0.000814,6.933,0.8594,0.996,0.000173,6.824,0.7269,0.9584,-0.000284,7.053,4.0053,1.7309,1.7037,1.761,0.2367,1.0,0.26259,0.12056,1.26448,0.18213,0.9493,1.0288,1.0838,0.5,2.1643,1.9238,1.9478,16.438,32.6642,15.0923,48,0.047,0.8159,53,0.0495,0.3556,-2.0
9,1208,213277,1.087604635803202e-14,4.3906116309726015e-08,4.487024532534963e-09,4.3906116309726015e-08,0.4470976641985744,4.780321563343346,3.956968357209048,-30.454247945436155,32.321439319473,0.1440820958609748,32.321439319473,0.0011295701403888359,12.564906443644075,7.329089177980547,-0.9087003173986726,0.964387916104394,-0.014897273090086198,0.964387916104394,0.05012660050603695,2.4006145521894844,1.2280930872063078,0.06097260508286151,2.4006145937634513,0.9749367123999332,0.014141808279766124,0.11229203912848452,0.0407163901867427,0.0021185011855496816,1.4141638427627083,0.8106823465382863,1.63421900348361e-09,-0.18505533465969456,0,0,0,1.217509978331514e-06,0.6058224478490914,381,0.9499,-0.01716,0.4536504619963647,0,1,-1,0.9499,381,0.6058224478490914,-0.046715,-0.04671532344212026,621.4860712122573,289.7829500865012,0.6091702876728264,0.609170287689895,0.609170287691728,0.7614628596123687,1.5151380126615414e-10,372,0.7795,0.7795,-0.01603,-0.096348,375,0.9097,0.9097,-0.03434,0.183042,3,0.7407,0.9215,-0.002256,6.933,0.8647,0.9974,-0.006422,6.822,0.7098,0.9472,-0.004038,7.028,3.9999,1.7333,1.7055,1.757,0.2484,1.0,0.27978,0.12169,1.26425,0.16143,0.959,1.0191,1.0627,0.5,2.1643,1.9238,1.9478,16.4381,32.6643,15.0923,48,0.1862,-0.1602,53,0.1438,-0.1422,2.0
