step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,214854,0.0,2.8878040211786758e-12,2.5623625878937577e-14,2.8878040211786758e-12,1.1567762366450802,4.760898800742703,3.966424698136242,-23.44144296988344,31.925736177140188,0.0014733831822586203,31.925736177140188,0.00018070373801806273,12.566323383711568,6.1604372411369175,-0.9933683770135051,1.14962216572393,-0.0027225789034613103,1.14962216572393,0.0907852587594793,2.399797375641296,1.2074815046782896,0.0907852587594793,2.39979737574496,1.2071971794730278,0.0,0.06050901175887389,0.003098739828580772,1.0,1.0,1.0,0.010987826189493757,-0.11978803455363374,0,0,0,0.0,0.6007953539958085,372,0.9988,0.02662,0.4577152190568777,2,2,0,0.9988,372,0.6007953539958085,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917268,0.609170287691728,0.609170287691728,0.76146285961466,9.965408038627506e-15,372,0.9985,0.9984,-0.03429,0.0,372,0.9988,0.9989,-0.00159,0.0,3,0.9973,1.0,0.0,0.0,0.9976,1.0,0.0,0.0,0.9974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00151,1.0,1.27638,0.27691,0.9886,0.9886,1.0001,0.5025,1.454,2.7869,2.181,14.9556,33.4019,22.9724,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,214854,5.3527234872786776e-30,2.216694546485446e-12,2.378414464422916e-14,2.216694546485446e-12,1.1564084083396935,4.777485952555868,3.966369786955704,-25.0118940248654,32.463894650282725,-0.024927769621891645,32.463894650282725,0.0003079005231338874,12.565953751821645,5.483935666760606,-0.993368378696512,1.149622167677478,-0.0027225789098694417,1.149622167677478,0.0907852587594793,2.3997973756413518,1.2074815046782896,0.09077910671602245,2.3997973757545306,1.2066646640875747,1.4142115624116159e-08,0.06050902590098951,0.0030987539706963958,8.692520556174976e-05,1.115914510842815,0.7326893991961684,0.011024046483988106,-0.11978805871588125,0,0,0,3.752923597558704e-24,0.6007953632712014,372,0.9785,0.02549,0.4576808130699197,2,3,-1,0.9461,372,0.6007953632712014,0.027299,0.027298591382374005,621.4857873344098,289.7828177215715,0.6091702876917271,0.609170287691728,0.609170287691728,0.76146285961466,7.64950304477778e-15,372,0.9671,0.9495,-0.03538,-1.013317,372,0.8916,0.8672,-0.00064,1.024008,3,0.9639,0.9665,2.364048,0.0,0.9332,0.9662,-2.828873,0.0,0.9318,0.8676,-1.129647,0.0,0.0,2.1649,0.7528,1.9356,1.0,1.0,0.26019,0.0324,1.27638,0.27687,0.5709,1.0185,1.784,0.9331,1.454,2.7869,2.181,14.9556,33.4019,22.9724,0,0.0,0.0,0,0.0,0.0,0.0
2,1196,214854,4.194561731447351e-21,1.5982450908498915e-09,2.2188572245056557e-11,1.5982450908498915e-09,1.1564084013513012,4.777485950587848,3.9663697879955744,-28.865624765496374,31.924694906810576,-1.492818732697094,31.924694906810576,0.0002687627457560876,12.566129050520336,5.619589294953513,-0.994994037750219,1.1536237292786906,-0.002732769074039779,1.1536237292786906,0.09078527497803618,2.399797440213301,1.2074814915516032,0.09077371064307875,2.3997974402136775,1.205740229676934,8.83394171247165e-07,0.06998526337012789,0.010425647962658081,0.003100718206084263,1.154319846233014,0.8307891119140881,0.011058131255684596,-0.1368600877376092,0,0,0,8.943569506899772e-09,0.6015737551845323,372,0.9253,0.02863,0.4589198491236829,0,0,0,0.9253,372,0.6015737551845323,1.534873,1.534873257777578,621.4858075942782,289.7828271682264,0.6091702876910401,0.6091702876917187,0.609170287691728,0.7614628596146483,5.515320236426809e-12,372,0.9432,0.9432,-0.03285,-0.033719,372,0.7171,0.683,0.00572,0.092186,3,0.8728,0.8782,0.242886,6.95,0.6805,0.9092,-0.306779,4.037,0.6936,0.5992,0.057933,4.061,3.0017,2.3154,1.3448,1.3528,1.0,1.0,0.25667,0.11198,1.27613,0.27688,0.9388,1.0384,1.1061,0.5,1.454,2.7869,2.181,14.9556,33.4019,22.9724,21,0.4221,0.6746,24,0.2783,0.6956,-0.0
3,1196,214854,2.646977046197051e-15,1.0272705424091037e-08,3.519116702579988e-10,1.0272705424091037e-08,1.1564083797057205,4.777485946500235,3.9663697892658396,-27.792049843992185,32.838961038746696,-0.08979595485963333,32.838961038746696,0.004654362950449375,12.566181622515883,5.645074005897291,-0.9941411459104735,1.153533252380147,-0.002742744748246617,1.153533252380147,0.09078540875915263,2.3997975735183568,1.207481470637595,0.09074444316256677,2.399797619678133,1.2011220530480513,0.00036833074070545925,0.07917336716218562,0.01873353908179896,0.0010324903004805819,1.4142018571128865,0.89758834571522,0.011090217238535748,-0.15356532544375537,0,0,0,1.35076019527524e-07,0.6016886682970984,372,0.906,0.03276,0.4593768136679647,0,0,0,0.906,372,0.6016886682970984,0.029382,0.029382269269303762,621.485867539039,289.7828551189246,0.6091702876873056,0.6091702876915818,0.609170287691728,0.7614628596144771,3.544966599171369e-11,372,0.9399,0.9399,-0.03117,-0.023539,372,0.5539,0.3839,0.00034,-0.040597,3,0.8516,0.8839,0.00046,6.953,0.5019,0.6084,0.375635,5.549,0.5206,0.1665,-0.351335,5.668,3.516,1.9775,1.5782,1.6121,0.4224,1.0,0.24652,0.2339,1.27605,0.27,0.9589,1.0183,1.062,0.5,1.454,2.7869,2.181,14.9556,33.4019,22.9724,42,0.2744,0.8791,46,0.1461,0.9454,0.0
4,1196,214854,3.116707250765757e-14,2.5967951229809547e-08,1.020239322576042e-09,2.5967951229809547e-08,1.1564080638984215,4.777485847164138,3.966369789276964,-29.345803866666994,31.88389584469393,-0.308031152196588,31.88389584469393,0.0004271080857097165,12.565062753381959,5.481103842376509,-0.9933688413728786,1.1535538133513468,-0.002815625465708321,1.1535538133513468,0.0907868387138068,2.3998001211567317,1.207481649432418,0.09075666534693123,2.3998001427507707,1.1930139150949555,0.014508405850951627,0.09326665054617721,0.027709422538950403,0.001127365685259507,1.4141925375561997,0.9258266719683557,0.011120417822756723,-0.16983600239027832,0,0,0,3.0557090391516526e-07,0.6020804786395823,372,0.9016,0.0325,0.459412783057238,0,0,0,0.9016,372,0.6020804786395823,0.34691,0.3469098707575149,621.4859069941024,289.7828735158046,0.6091702876805489,0.6091702876914022,0.609170287691728,0.7614628596142528,8.961175280910198e-11,372,0.9414,0.9414,-0.03119,-0.35421,372,0.4396,0.4396,-0.00237,1.555952,3,0.8488,0.8827,-0.000725,6.84,0.3964,0.2553,0.148674,6.943,0.4138,-0.229,-0.162806,6.999,3.9997,1.7101,1.7359,1.7499,0.4249,1.0,0.26024,0.25103,1.27588,0.25485,0.954,1.0231,1.0725,0.5,1.454,2.7869,2.181,14.9556,33.4019,22.9724,56,0.2327,0.6336,61,0.1089,0.7423,-1.0
5,1196,214854,2.4749652540100105e-14,3.636531667039154e-08,2.4479035400626844e-09,3.636531667039154e-08,1.1564068774011924,4.777485509498285,3.966369782948525,-29.179971603753817,31.874739266610952,0.0047011122970414205,31.874739266610952,0.000800607072537248,12.56500002275339,5.440727911849076,-0.9962954165018559,1.1542327908602734,-0.0029492780462592695,1.1542327908602734,0.09079676962187308,2.3998080557336214,1.2074841102477691,0.09079480639875878,2.399808099190343,1.1792644584213348,0.020289140373665738,0.10727085539987413,0.036967689258639504,0.0013441538026032207,1.4141998092078552,0.9135878232147465,0.01114882252186442,-0.18568903312504093,0,0,0,1.0117843331196845e-06,0.6025890703107082,372,0.8989,0.03219,0.46006376233326973,1,1,0,0.8989,372,0.6025890703107082,-0.171044,-0.17104423401463853,621.4859877403425,289.78291116569693,0.6091702876760728,0.6091702876908145,0.609170287691728,0.7614628596135181,1.2549158445577893e-10,372,0.9438,0.9438,-0.03155,0.067741,372,0.4699,0.4699,0.00818,0.034775,3,0.8485,0.8812,0.001196,6.826,0.4227,-0.0667,-0.00153,6.945,0.4438,-0.5305,-0.002147,6.977,3.9929,1.7094,1.7392,1.7472,0.3411,1.0,0.28145,0.25477,1.27563,0.22178,0.9534,1.0238,1.0738,0.5,1.454,2.7869,2.181,14.9556,33.4019,22.9724,56,0.1924,0.1718,61,0.0637,-0.5236,-1.0
6,1196,214854,9.507864744894057e-14,5.626548815077739e-08,5.540020639361066e-09,5.626548815077739e-08,1.1564040256735364,4.777485182810337,3.96636978712859,-29.56896145856018,30.271995520103737,0.01481491963219344,30.271995520103737,0.0014367142435212088,12.564624066614307,5.447776103628491,-0.996664134796105,1.1557947965426951,-0.0030619867750418034,1.1557947965426951,0.09082024182336916,2.399827483803817,1.2074905161588028,0.09082018562450296,2.3998274841666847,1.1537823741718705,0.023501713104682253,0.12119437533423723,0.04610356749078655,0.0004985956656127222,1.4142008526587435,0.902082491759498,0.011175482669047866,-0.20086821300066915,0,0,0,1.9295178464700305e-06,0.6032468831973345,372,0.8921,0.03073,0.46053255505885177,3,3,0,0.8921,372,0.6032468831973345,-0.042424,-0.04242433592911388,621.4860889156862,289.7829583411542,0.6091702876675058,0.6091702876896592,0.609170287691728,0.7614628596120739,1.9416424096456854e-10,372,0.9453,0.9453,-0.03175,0.023831,372,0.4972,0.4972,0.00962,0.27168,3,0.8433,0.8792,0.00182,6.811,0.444,-0.1524,0.005565,6.945,0.4704,-0.605,0.001921,6.992,3.9932,1.7057,1.7392,1.7509,0.2501,1.0,0.27286,0.25523,1.27546,0.17575,0.9549,1.0222,1.0705,0.5,1.454,2.7869,2.181,14.9556,33.4019,22.9724,56,0.1512,-0.6555,61,0.146,-0.969,-2.0
7,1196,214854,5.993221066789763e-14,8.345925590400886e-08,1.1730405511761014e-08,8.345925590400886e-08,1.1563980871502895,4.7774869518360985,3.9663698869561643,-29.41442726876385,30.52733753658536,-0.013888118308604785,30.52733753658536,0.00012666882182443828,12.56431921058182,5.4186100818476755,-0.9973483814326267,1.1566958907429585,-0.0030446843742432924,1.1566958907429585,0.09086826996355775,2.3998705751742495,1.207505104236068,0.09086821224144465,2.3998705752825744,1.1034976185425338,0.025541662125920454,0.1312418846259498,0.05512439240836739,0.0056745818406201964,1.4142015752876995,0.9364942614754246,0.011200509134458471,-0.21541735856640454,0,0,0,3.2589927968914346e-06,0.6041693229932519,372,0.8871,0.02981,0.46089336327784963,2,3,-1,0.8871,372,0.6041693229932519,-0.158441,-0.158440719085716,621.486230657688,289.7830244317994,0.609170287655799,0.6091702876872576,0.609170287691728,0.7614628596090719,2.8800602129008094e-10,372,0.9456,0.9456,-0.03167,-0.043911,372,0.508,0.508,0.01193,0.119286,3,0.8389,0.8762,0.00166,6.811,0.4515,-0.1794,0.002918,6.941,0.4812,-0.6313,0.002869,6.997,3.9934,1.7057,1.738,1.7522,0.2518,1.0,0.28533,0.24832,1.27523,0.19113,0.9591,1.0181,1.0616,0.5,1.454,2.7869,2.181,14.9556,33.4019,22.9724,56,0.165,-0.9975,61,0.1828,-0.6278,-3.0
8,1198,214857,0.0,1.2535748837757076e-07,2.2150905744789417e-08,1.2535748837757076e-07,1.1571278313690876,4.770290303665304,3.967040709476263,-29.77032977069075,32.11581200034168,0.2964938722793053,32.11581200034168,0.007015283904300027,12.566287636132904,5.347216283375481,-0.9966854731453652,1.1574549214831582,-0.0026796436243400846,1.1574549214831582,0.09101862081776949,2.3999675160864653,1.2061123941040837,0.07416634455824034,2.3999675161253298,1.0168552134247884,0.0,0.14461719882860408,0.06438167336199004,1.0,1.0,1.0,3.2792530524042614e-10,-0.2293674456021482,0,0,0,6.166716677720711e-06,0.6039541141164111,372,0.8799,0.02927,0.46155780947438346,0,1,-1,0.8799,372,0.6039541141164111,-0.001391,-0.0013909622505070551,621.486410377998,289.7831082307517,0.6091702876377618,0.6091702876828984,0.609170287691728,0.7614628596036229,4.3259073706169827e-10,372,0.9401,0.9401,-0.03142,0.052174,374,0.5061,0.5061,0.01567,0.041326,3,0.8272,0.8724,-0.001936,6.825,0.4461,-0.2074,0.000324,6.94,0.4767,-0.6591,0.000976,7.017,3.9996,1.7063,1.7351,1.7543,0.2476,1.0,0.28547,0.25406,1.27549,0.20395,0.9637,1.0135,1.0517,0.5,1.4526,2.7841,2.1789,15.0447,33.3692,22.9721,56,0.1736,-0.871,61,0.2057,-0.2723,-2.0
9,1198,214857,3.721041388464742e-25,1.2878171235264063e-07,2.3373948617193953e-08,1.2878171235264063e-07,1.1571153531967977,4.7703007588316195,3.9670411420604346,-29.27060221865366,30.13141218857418,0.10732248138166176,30.13141218857418,0.00038503193727379426,12.565919092649654,5.359758086541605,-0.9966864550631198,1.1575769608547721,-0.0027101285377700577,1.1575769608547721,0.09103625267880237,2.399975935599765,1.2061168390452541,0.05007655973743679,2.399975935612414,0.9244287122355332,1.4142115624116159e-08,0.14622684747345668,0.06555201208767425,0.0026488102686909043,1.4141711296604813,0.9045487538391815,1.9776206103605425e-06,-0.230156368222698,0,0,0,6.196466749700878e-06,0.6039500082976993,372,0.8693,0.02864,0.4616814975026527,0,1,-1,0.8693,372,0.6039500082976993,0.050924,0.05092399361982203,621.4864242922129,289.7831147185917,0.6091702876362877,0.6091702876824996,0.609170287691728,0.7614628596031244,4.444072335881285e-10,372,0.9352,0.9352,-0.03077,0.001752,374,0.4962,0.4962,0.02032,0.089985,3,0.813,0.8655,0.000202,6.825,0.4323,-0.2572,0.001563,6.937,0.4651,-0.7067,0.001269,7.023,4.0002,1.7061,1.7341,1.7557,0.2442,1.0,0.28065,0.25354,1.27546,0.18938,0.9542,1.023,1.0721,0.5,1.4526,2.7841,2.1789,15.0446,33.369,22.9719,56,0.091,-0.5089,61,0.1869,0.1829,-2.0
