step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,213405,0.0,3.812207958224681e-12,2.6919550912248605e-14,3.812207958224681e-12,0.4321400136831172,4.785992988201315,3.9409437724247525,-9.220100924262681,9.230866364528545,-0.0001695813042989877,9.230866364528545,7.432171368947449e-06,12.566179721003962,6.4526471443514675,-1.1159834046126322,1.017606027888999,-0.023186228820729477,1.1159834046126322,0.017045004924483624,2.3984127028471267,1.286144709345222,0.017045004924483624,2.3983879244657285,1.2853579417296972,0.0,0.0579614414462059,0.003033872507859383,1.0,1.0,1.0,0.007791639313596211,-0.12065084149924471,0,0,0,0.0,0.609380932133849,372,0.9989,-0.04378,0.44728238420512356,4,4,0,0.999,372,0.609380932133849,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.3155396818204458e-14,372,0.9987,0.9988,-0.05168,0.0,372,0.9988,0.9988,0.02626,0.0,3,0.9977,0.9999,0.0,0.0,0.9977,1.0,0.0,0.0,0.9975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145,1.0,1.26248,0.27634,0.9869,0.9854,0.9984,0.5318,3.6291,3.3871,1.379,15.8642,32.6213,8.9888,0,0.0,0.0,0,0.0,0.0,0.0
1,1214,213429,0.0,2.667486255889299e-12,2.111734642150522e-14,2.667486255889299e-12,0.436894279797269,4.791760652488668,3.9338675181693232,-9.423879042408279,9.088699277410093,-0.09491173652725737,9.423879042408279,0.0005377144822187319,12.566113441023704,5.124653850648345,-1.1159834065219036,1.0176060296305325,-0.023598595447557682,1.1159834065219036,0.05,2.3984127028472724,1.2719307110794469,0.05,2.3981092896913117,1.2693733607230886,0.0,0.057961455588321525,0.002988903157636004,1.0,1.0,1.0,0.0,-0.1206508676529974,0,0,0,9.888227712731028e-25,0.6110320230704316,382,0.872,-0.07957,0.4443005471190649,29,29,0,0.719,381,0.6099900522058408,-0.04134,-0.041339669433125836,621.4857873344095,289.78281772157135,0.609170287691727,0.609170287691728,0.609170287691728,0.76146285961466,9.205122225197868e-15,380,0.8132,0.7162,-0.02741,-0.984065,372,0.9318,0.931,0.01723,1.005786,3,0.7213,0.9698,2.727987,0.0,0.838,0.9998,-2.902901,0.0,0.7734,0.965,-1.394192,0.0,0.0,2.0888,1.7387,1.2704,0.26512,0.82265,1.27748,0.27629,0.9872,0.9852,0.9979,0.5313,4.3693,3.1556,1.3108,16.489,33.0127,7.5556,0,0.0,0.0,0,0.0,0.0,0.0
2,1224,213442,0.0,2.5886850833669965e-12,2.5564589826151933e-14,2.5886850833669965e-12,0.45461717417324793,4.805792449909905,3.930892554189959,-9.381317547959506,9.422239444837846,-0.07705477845337357,9.422239444837846,0.0003460365288349143,12.566335128715002,6.803291029090073,-1.1159834099313906,1.0176065457726795,-0.02355152351153556,1.1159834099313906,0.05,2.398412702850625,1.2643437170258283,0.05,2.398224955066984,1.2587093701952616,0.0,0.05796146973043715,0.0029652066335680506,1.0,1.0,1.0,0.0,-0.1206508935392553,0,0,0,7.372663729522813e-20,0.6128290589298016,384,0.7115,-0.14953,0.4296409067410586,7,7,0,0.5203,382,0.6106814990654275,0.17135,0.1713500458440047,621.4857873344139,289.78281772157345,0.609170287691727,0.609170287691728,0.609170287691728,0.76146285961466,8.933190393138609e-15,388,0.5576,0.3831,0.00931,-0.075422,372,0.8556,0.7883,0.02314,0.01653,3,0.4091,0.9703,0.494037,0.0,0.6581,0.7008,-0.100256,0.0,0.519,0.8525,0.177285,0.0,0.0,2.1347,2.104,0.1267,0.30809,0.90143,1.28633,0.27626,0.9872,0.9852,0.998,0.531,4.0036,3.2757,1.3103,16.9505,33.0401,8.2526,0,0.0,0.0,0,0.0,0.0,0.0
3,1224,213442,6.01458456215501e-32,3.382139890521744e-12,2.9751854048465443e-14,3.382139890521744e-12,0.4546171727118462,4.805792448568524,3.9308925550975617,-9.368500310115389,9.419967684394047,-0.08054278239535748,9.419967684394047,0.02145360899093518,12.556607231840013,5.987589832848137,-1.1159834215739295,1.017606811000083,-0.023551492168568146,1.1159834215739295,0.05,2.3984127028539803,1.2643437170253513,0.05,2.3984127028836437,1.252462932916297,1.4142115624116159e-08,0.057961483872552774,0.002965666660748013,0.000323274441464072,1.3833384708765983,0.8482253576041515,0.0,-0.12065091908333057,0,0,0,-1.3955976100553932e-20,0.6128290605899883,384,0.4634,-0.05922,0.44649296645041797,2,2,0,0.1344,382,0.6106815007309825,-0.052826,-0.05282563214947755,621.4857873344217,289.7828177215771,0.6091702876917267,0.609170287691728,0.609170287691728,0.76146285961466,1.1671292028678177e-14,388,0.3091,0.0865,-0.02038,0.023534,372,0.4703,0.3046,-0.05232,0.028809,3,0.255,1.0,-0.0781,0.0,0.3896,-0.3671,-0.048335,0.0,0.455,-0.3609,0.022215,0.0,0.0,2.1484,2.0847,0.1963,0.33368,0.80709,1.28633,0.27624,0.9872,0.9852,0.998,0.531,4.0036,3.2757,1.3103,16.9505,33.0401,8.2526,0,0.0,0.0,0,0.0,0.0,0.0
4,1224,213442,2.336120921236867e-19,6.314141814172183e-11,1.0384815994557036e-11,6.314141814172183e-11,0.45461715377780243,4.80579246139835,3.9308925551315883,-9.404689898544929,9.947649055347952,-0.05715233118187829,9.947649055347952,0.0002334830848127467,12.565756798361878,5.496076624061043,-1.1198012531275088,1.0210055658815653,-0.02336593906105787,1.1198012531275088,0.05,2.398414178390386,1.2643429154313652,0.05,2.3984141784149795,1.2402312384593424,4.531242950865932e-06,0.06976649753648549,0.011447920236789528,0.0054451016809257125,1.3446938900155097,0.8429508126734794,7.400640155179109e-10,-0.13862528603119256,0,0,0,5.283322124522868e-10,0.6128290519757923,384,0.4052,-0.02992,0.4474772226713954,4,3,1,0.3796,382,0.610681492216428,-0.160786,-0.1607862710525365,621.4857983587605,289.78282286194235,0.6091702876917009,0.6091702876917253,0.609170287691728,0.7614628596146567,2.1789220464528194e-13,388,0.5373,0.5449,0.02891,0.008297,372,0.7447,0.7447,0.07191,1.125555,3,0.2218,0.9964,-0.580987,6.687,0.306,-0.829,0.446859,6.289,0.402,-0.8733,-0.347778,6.877,3.8235,1.7491,1.6449,1.7987,0.35498,0.70823,1.28522,0.27619,0.9872,0.9852,0.998,0.531,4.0036,3.2757,1.3103,16.9505,33.0401,8.2526,55,0.0587,0.938,50,0.0703,0.9976,-4.0
5,1227,213445,0.0,3.832800693111258e-10,8.740729379430159e-11,3.832800693111258e-10,0.4582920961999306,4.809587335380302,3.9302652721488633,-10.143729533835607,9.362040882374458,-0.06202791058788278,10.143729533835607,0.008534926279077482,12.559650079874077,5.121291293157385,-1.1203338401777496,1.0256480020168544,-0.0230007466762035,1.1203338401777496,0.05,2.3984147067423263,1.26229558670012,0.0687417358756796,2.395660037818163,1.216491857966835,0.0,0.07620630020051515,0.019828828294175854,1.0,1.0,1.0,1.4147135611687305e-08,-0.15608220359360675,0,0,0,1.695954386559502e-08,0.6436871534608863,385,0.3418,-0.08639,0.44646444787870543,5,5,0,0.3425,379,0.6368505503429622,-0.0052,-0.005200348360907325,621.4858231021215,289.78283439913434,0.6091702876915631,0.6091702876916989,0.609170287691728,0.7614628596146236,1.3226458706771168e-12,390,0.5082,0.516,0.00971,0.051834,372,0.6987,0.6987,0.09307,0.059479,3,0.1768,0.9997,0.037796,7.169,0.2425,-0.7431,-0.033512,6.797,0.356,-0.7265,-0.000739,6.973,4.0308,1.7787,1.6863,1.73,0.36674,0.69821,1.28657,0.26843,0.9875,0.9851,0.9976,0.5322,4.0031,3.2753,1.3101,16.9482,33.1569,8.2828,58,0.0449,0.8927,51,0.2042,0.9524,-1.0
6,1228,213446,0.0,4.221081256161186e-10,6.936049209501359e-11,4.221081256161186e-10,0.4614030660064905,4.810857831572729,3.930294379974584,-9.701404811039406,9.39617291340302,-0.08627372522768045,9.701404811039406,0.0025736094179507063,12.538942812602023,5.141701056089657,-1.120334699289489,1.02565766780121,-0.022877569780816866,1.120334699289489,0.05000000005730243,2.3984147457195335,1.261545528246458,0.06546483378328027,2.3956601326568094,1.1741940861866913,0.0,0.07620757041481642,0.01982704161221186,1.0,1.0,1.0,1.2898109925339501e-08,-0.15609476740710942,0,0,0,1.217730423207574e-08,0.6479279783119865,385,0.2955,-0.08368,0.44408864303143175,8,9,-1,0.2967,377,0.6389421669323859,-0.002088,-0.002087895575048515,621.4858177962501,289.78283192514317,0.6091702876915462,0.609170287691707,0.609170287691728,0.7614628596146337,1.4566360705770096e-12,391,0.4657,0.4699,-0.00473,-0.039075,372,0.6093,0.6093,0.09816,0.020962,3,0.1502,0.9903,0.001043,7.207,0.1959,-0.6539,-0.005232,6.824,0.2846,-0.5423,-0.000646,6.967,4.0421,1.7829,1.6882,1.7237,0.37599,0.68731,1.28728,0.24812,0.9875,0.9851,0.9975,0.5326,4.0001,3.2728,1.3091,16.9355,33.1727,8.293,58,0.0186,-0.8783,51,0.1831,0.7506,2.0
7,1236,213456,0.0,4.0198036259839133e-10,5.453454307842207e-11,4.0198036259839133e-10,0.464766738891771,4.79523677319801,3.9294145428027862,-12.462253677116776,9.414703222718511,-0.10115161083425243,12.462253677116776,0.05068150452800069,12.551360408992556,5.201478250736142,-1.1203322478854072,1.0256631180715814,-0.023114919083786028,1.1203322478854072,0.050000000360769306,2.398414876179137,1.2559327489050456,0.050000000360769306,2.395660227908626,1.122687731893725,0.0,0.07620946866520122,0.019712514924585797,1.0,1.0,1.0,0.0,-0.15610659395517903,0,0,0,9.04601062573131e-09,0.6437995137824355,385,0.3026,-0.10164,0.43937732416501896,8,8,0,0.2985,379,0.6368502514802133,-0.070222,-0.07022220978789195,621.4858128323314,289.78282961059574,0.6091702876915549,0.6091702876917132,0.609170287691728,0.7614628596146414,1.3871779882147067e-12,393,0.4057,0.4082,-0.00202,-0.047943,378,0.469,0.4729,0.09357,0.03114,3,0.1421,0.9993,0.000739,7.21,0.1621,-0.3098,0.001022,6.834,0.1928,-0.2734,-2.7e-05,6.976,4.0464,1.7819,1.689,1.724,0.38821,0.66236,1.29397,0.21168,0.9878,0.9849,0.997,0.5332,4.0011,3.2736,1.455,16.9918,33.3831,8.3435,60,0.0495,-0.8698,52,0.1199,-0.0852,2.0
8,1244,213467,0.0,3.376630520413981e-10,4.261364876602399e-11,3.376630520413981e-10,0.4736706033737381,4.7936254641427505,3.9297774751773695,-11.676827605937309,9.421463554457954,-0.08096462603867464,11.676827605937309,0.05097701388775644,12.544027535909379,5.319544027906209,-1.1203312679616058,1.0256681576611728,-0.022514105935656805,1.1203312679616058,0.05000000077350675,2.3984150271819895,1.2506415721694986,0.05,2.3956602410508925,1.0750208144150788,0.0,0.0762119949516584,0.019606308741185987,1.0,1.0,1.0,0.0,-0.15611509153590633,0,0,0,5.225522984832315e-09,0.6359555175068469,386,0.3183,-0.13734,0.434006976446443,5,5,0,0.3135,383,0.632229735746102,-0.043988,-0.043987744731018186,621.4858080505808,289.7828273809886,0.6091702876915828,0.6091702876917182,0.609170287691728,0.7614628596146478,1.1652279574091516e-12,397,0.3261,0.3231,0.00855,-0.051214,381,0.3467,0.3502,0.07205,0.029909,3,0.1199,0.9934,-0.000683,7.191,0.1224,0.4532,0.003678,6.813,0.1177,0.3478,0.001671,6.982,4.0398,1.7801,1.6864,1.7284,0.40268,0.64463,1.29985,0.19716,0.9879,0.985,0.997,0.533,3.999,3.1507,1.5269,16.9309,33.729,8.4344,59,0.0696,-0.6365,52,0.1632,-0.8753,-1.0
9,1245,213468,0.0,2.1861681553311467e-10,2.7426062585268994e-11,2.1861681553311467e-10,0.47119651056773815,4.795350684096546,3.929896459320903,-10.891219297168796,9.421732560914336,-0.06880320470308592,10.891219297168796,0.018975165979567166,12.555859127038763,5.427502108785593,-1.1203304123346707,1.0256746768359357,-0.022534274526688262,1.1203304123346707,0.05000000170365774,2.3984150863139324,1.2499056441392313,0.05,2.3956602554154323,1.0119799081366707,0.0,0.0762126371298687,0.019607608315007706,1.0,1.0,1.0,5.468975410105057e-16,-0.15613098258544197,0,0,0,1.0762080257250285e-09,0.6288185109909403,387,0.3061,-0.12715,0.4377298411741646,2,3,-1,0.3012,384,0.6253783456233245,-0.064562,-0.0645620024886302,621.4858033595285,289.7828251936717,0.6091702876916338,0.6091702876917222,0.609170287691728,0.7614628596146528,7.544160541157179e-13,397,0.2427,0.2315,-0.00147,-0.019416,381,0.2368,0.2392,0.04045,0.026935,3,0.0813,0.9981,0.000311,7.143,0.0733,0.9962,0.006724,6.767,0.0622,0.9889,0.003152,6.974,4.02,1.7768,1.6833,1.7348,0.42141,0.64846,1.30077,0.21921,0.988,0.9849,0.9969,0.5325,4.0035,3.1543,1.5286,16.8458,33.888,8.4646,58,0.1136,-0.8509,53,0.238,-0.9969,-4.0
10,1254,213479,0.0,1.2480790404861448e-10,1.6040802888524076e-11,1.2480790404861448e-10,0.47419363191198355,4.794038590025377,3.9294654608792934,-10.105669254612511,9.420617078276994,-0.03879005753117178,10.105669254612511,0.04509044941414686,12.560089687256779,5.6904452749528245,-1.1203298234301733,1.0256838048486294,-0.02150524798055992,1.1203298234301733,0.050000002335617105,2.398415143733702,1.2436511238815007,0.05,2.395660261433729,0.9494346961799164,0.0,0.076213279308079,0.01948408042559526,1.0,1.0,1.0,0.0,-0.1561390011703538,0,0,0,7.539341004362964e-10,0.6219042640841512,389,0.2096,0.00057,0.4511120444602823,6,6,0,0.2056,387,0.6199452764105003,-0.119043,-0.11904254559194571,621.48580061036,289.7828239118052,0.6091702876916743,0.609170287691724,0.609170287691728,0.761462859614655,4.3069462283451103e-13,400,0.1573,0.1405,-0.05522,0.104021,385,0.2077,0.2076,0.00211,-0.032958,3,0.0469,0.9562,0.000187,7.034,0.0541,0.3367,0.015531,6.714,0.0374,0.0464,0.000622,6.982,3.9903,1.7627,1.6827,1.7497,0.44034,0.64159,1.30714,0.20452,0.9879,0.9852,0.9973,0.5327,3.998,3.15,1.5265,17.1345,33.9228,8.4849,58,0.0501,-0.6406,53,0.1205,-0.6747,1.0
