step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,207563,0.0,1.0711544085055178e-11,4.5168650606421676e-14,1.0711544085055178e-11,0.4321400131115999,10.785981483275078,9.522162189455083,-29.468103121144424,32.31762241234883,0.000490296936692925,32.31762241234883,7.432171368947449e-06,12.566179721003962,6.4468895177174215,-1.1159834046126322,1.017606027888999,-0.02317474649469357,1.1159834046126322,0.017045004924482805,2.398412699317118,1.15693597169367,0.017045004924482805,2.398392285538358,1.1558656748761769,0.0,0.0575562233994355,0.00309616587767084,1.0,1.0,1.0,0.007791639313596425,-0.12065697917050502,0,0,0,0.0,0.609380932133849,372,0.9989,-0.04378,0.44728238420512356,0,0,0,0.999,372,0.609380932133849,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917234,0.609170287691728,0.609170287691728,0.76146285961466,3.696404144757481e-14,372,0.9987,0.9988,-0.05168,0.0,372,0.9988,0.9989,0.02626,0.0,3,0.9977,0.9999,0.0,0.0,0.9977,1.0,0.0,0.0,0.9975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,1.0,0.00179,1.0,1.2615,0.27209,0.9738,0.981,1.0074,0.5284,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,207563,6.867907693629975e-35,1.656277295181302e-11,6.01456991186584e-14,1.656277295181302e-11,0.4386094951375175,10.779656004957841,9.522192020715066,-29.57380962989364,30.755358373901725,-0.14990232878296744,30.755358373901725,1.4784470982576181e-05,12.56613106387417,6.507584468265273,-1.1159834101638673,1.0176060336346524,-0.023174746513538215,1.1159834101638673,0.05,2.398412699317349,1.1569635260373807,0.05124388279243602,2.3983922849510457,1.1539115365494985,1.4142115624116159e-08,0.05755623754155113,0.0030961800197864646,0.0020061774731436888,1.4142091015234826,0.891233666637892,0.00783163398820525,-0.12065700182788876,0,0,0,4.228499035468038e-32,0.6093809365602332,372,0.9963,-0.04452,0.44722908100691844,0,0,0,0.9984,372,0.6093809365602332,-0.003591,-0.0035914309511633213,621.4857873344093,289.7828177215713,0.6091702876917209,0.609170287691728,0.609170287691728,0.76146285961466,5.715581442004902e-14,372,0.9983,0.9982,-0.05172,-1.048537,372,0.9929,0.9861,0.0268,1.04847,3,0.9946,0.9999,2.594768,0.0,0.9893,0.9999,-2.589313,0.0,0.9912,1.0,-1.579805,0.0,0.0,1.694,1.7185,1.7825,1.0,1.0,0.25077,0.0301,1.2615,0.27209,0.2095,1.0327,4.9282,0.9331,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
2,1196,207563,2.4347021554827714e-20,3.8891417090390353e-11,2.2473271038470822e-13,3.8891417090390353e-11,0.438609389806205,10.779656004220994,9.522192019442064,-29.414541792576646,30.325753370540408,-1.5700829226421484,30.325753370540408,0.00026807765817338236,12.562323937467843,6.355384035165227,-1.1167933772333836,1.0191597605534335,-0.02320288761036039,1.1167933772333836,0.050000237154942846,2.398416239326583,1.1569635314532036,0.05124387642141093,2.39614306857451,1.1497331810969547,2.0075916847061003e-05,0.07169546123411895,0.012008516686165385,0.001262752785784138,1.3511450803395197,0.8782428358189183,0.007868858084689005,-0.13667820263312533,0,0,0,9.736210211313595e-13,0.6093809400849084,372,0.1106,-0.0246,0.4539353451824964,0,0,0,0.0182,372,0.6093809400849084,-0.006116,-0.006116359396315163,621.4857881876013,289.78281811939274,0.6091702876917112,0.609170287691728,0.609170287691728,0.76146285961466,1.342088442054104e-13,372,0.0672,0.1624,-0.05566,0.003568,372,-0.0874,-0.102,0.02316,0.008384,3,0.0085,-0.6735,-0.37952,0.669,0.0148,0.9997,-0.088155,0.144,0.0079,-0.6562,0.436056,0.658,0.3165,2.113,0.4561,2.0802,1.0,1.0,0.25205,0.0319,1.26144,0.27208,0.923,1.0322,1.1183,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,0,0.0,0.0,0,0.0,0.0,0.0
3,1196,207563,3.1625919603425125e-17,5.746716247030308e-11,3.0997530112232634e-12,5.746716247030308e-11,0.43860920388951924,10.779656002976987,9.522192014940813,-29.30774826763077,31.23504329092523,-0.020425193301836096,31.23504329092523,0.00913546933690057,12.564478696489747,6.266232881389892,-1.1184655261603211,1.0248413892559443,-0.023217231994084674,1.1184655261603211,0.05000104919721329,2.3984180248676945,1.1569634541988205,0.05248359550710648,2.3956442699584146,1.1412452542393612,0.00012379557008978194,0.08064369685831754,0.020790945044354567,0.00038807842971755324,1.406283591066066,0.8884502808351993,0.007903510690814469,-0.15238551957960986,0,0,0,1.1038036460527012e-10,0.6093809428725222,372,0.0597,-0.03383,0.43073641326396994,0,0,0,0.1702,372,0.6093809428725222,0.005418,0.005417692047409162,621.4857929928344,289.7828203599492,0.6091702876917033,0.6091702876917273,0.609170287691728,0.7614628596146591,1.9831114349332768e-13,372,0.0643,0.0643,-0.04498,-0.019182,372,0.1015,0.0915,0.03506,-0.017915,3,0.0074,-0.9065,0.306279,14.89,0.0118,0.6691,-0.040191,10.556,0.0067,-0.2927,-0.237265,13.232,7.5146,1.9814,1.4047,1.7608,0.9956,1.0,0.51274,0.52105,1.26153,0.26975,0.9259,1.0294,1.1118,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.157,0.9359,47,0.1441,0.9906,-1.0
4,1196,207563,3.0158497653445477e-16,2.261488983951314e-10,1.2691185393936153e-11,2.261488983951314e-10,0.43860873860587996,10.779655995520919,9.522191998976076,-29.800401133421964,32.026674086934605,-0.09623651947904116,32.026674086934605,0.00022019342490042781,12.547480327784104,6.392730898759245,-1.1228289269106009,1.0293995522937085,-0.02325064351536108,1.1228289269106009,0.05000346412474066,2.3984398595450953,1.156963621867505,0.05214236140182475,2.39566066163333,1.1252177934929595,0.002650819616883007,0.09402767964828002,0.02967544785270658,0.005449301269471518,1.3783472311239933,0.8612341492073609,0.007935780672771486,-0.16773664642931277,0,0,0,4.275960908898867e-10,0.6405698455459892,372,0.09,-0.01202,0.44599444354558887,9,8,1,0.0776,363,0.6312741205480772,-0.74938,-0.7493795904944193,621.485798818953,289.78282307651824,0.6091702876916307,0.6091702876917251,0.609170287691728,0.7614628596146563,7.80408224318444e-13,372,0.0726,0.0726,-0.05705,0.24203,372,-0.0041,0.0032,0.00075,1.342082,3,0.0067,-0.8986,0.092057,17.123,0.0013,-0.2886,0.083062,17.012,0.0011,0.6794,-0.194551,16.887,9.8193,1.7438,1.7325,1.7198,0.625,1.0,0.54609,0.49022,1.26133,0.26055,0.9482,1.0071,1.0622,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1503,-0.5586,20,0.0055,-0.9263,1.0
5,1196,207563,3.652862356945092e-14,2.06826095614702e-09,1.201882167007508e-10,2.06826095614702e-09,0.43860754397924173,10.779655926446168,9.522191961761628,-29.838232546581942,32.720299681608815,0.1508164975404357,32.720299681608815,0.019902391677536713,12.553847913660098,6.2977329194813105,-1.1280199505014594,1.0319910715605143,-0.023339384107073508,1.1280199505014594,0.05000494386135518,2.3984810122429376,1.156964480280998,0.051549903959218754,2.3956828033033566,1.0919964055536673,0.015511746471750052,0.10430664105795102,0.03828778934478018,0.0030138928587534197,1.3853993780506912,0.8993279017016136,0.007965858351966107,-0.18264922950934107,0,0,0,3.4984626294174166e-09,0.6382581422169885,372,0.0972,-0.02877,0.4504189516928309,21,21,0,0.1001,371,0.637251909150897,-0.022274,-0.02227352350835221,621.4858130204907,289.7828296983296,0.6091702876908376,0.609170287691713,0.609170287691728,0.7614628596146412,7.137279176616938e-12,372,0.0594,0.0594,-0.06316,-0.039146,372,0.1622,0.1622,-0.00426,-0.042703,3,0.0061,0.3254,0.008747,17.455,0.017,0.8991,-0.004126,17.27,0.0098,0.7065,0.006028,16.985,9.9522,1.7538,1.7353,1.7067,0.3811,1.0,0.5616,0.51776,1.26145,0.2402,0.9592,0.9961,1.0384,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1237,0.2575,17,0.1114,-0.8165,-0.0
6,1196,207563,6.5733540357054155e-15,6.130003523555541e-09,4.4842810996753107e-10,6.130003523555541e-09,0.43860558802197697,10.779655482096548,9.522191878695688,-32.908638584520055,32.979460588230396,0.1649155637383282,32.979460588230396,0.0002642623757684523,12.558478710568581,6.250808376400709,-1.127946575106705,1.0340778299660853,-0.023357487324449176,1.127946575106705,0.05000779545345804,2.3985883026918913,1.1569681828338603,0.05111839005271776,2.3957384821556107,1.035493466942551,0.021981323616008908,0.11481288748228043,0.04728106836179634,0.0009005199057217084,1.407985047804117,0.8818373581155899,0.007993979289876286,-0.19698710342452055,0,0,0,1.3084632721544327e-08,0.6345151428128283,372,0.1237,-0.04029,0.45473783596937195,2,2,0,0.1237,372,0.6345151428128283,-0.591987,-0.5919867900953566,621.4858371996601,289.7828409724536,0.6091702876890892,0.6091702876916714,0.609170287691728,0.7614628596145891,2.1153783650489685e-11,372,0.0478,0.0478,-0.05051,-0.216924,372,0.209,0.209,-0.0092,-0.026453,3,0.0064,0.8384,-0.002091,17.47,0.0267,0.9977,0.002793,17.309,0.0108,0.8733,-0.000894,17.085,9.9815,1.7502,1.7341,1.7117,0.39,1.0,0.57733,0.54097,1.26152,0.20388,0.9572,0.998,1.0426,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.0953,0.9452,16,0.0377,-0.73,-0.0
7,1196,207563,6.9637135570475e-14,8.762031620761164e-09,9.606513091512887e-10,8.762031620761164e-09,0.4386023542306369,10.77965351830415,9.522191657646758,-42.621388510260346,32.959060674899966,0.2938088733621307,42.621388510260346,0.009202190395196652,12.556560575533178,6.275740851770532,-1.127910557546308,1.0330006488111736,-0.023408015352447572,1.127910557546308,0.05001721286177812,2.3988420951317133,1.156978170116079,0.05093352448460023,2.395868649942634,0.9856572055460092,0.029547815450811844,0.12779701257259768,0.056099441942951994,0.0015738464107245553,1.412036185550338,0.8613546836562073,0.00802052367157691,-0.21061771566341034,0,0,0,8.600622128732312e-08,0.6219020036227701,372,0.1699,-0.02917,0.4551488044003869,0,0,0,0.1699,372,0.6219020036227701,0.107079,0.10707863252502037,621.4858934176265,289.78286718544354,0.6091702876879559,0.609170287691472,0.609170287691728,0.7614628596143399,3.0236541262303105e-11,372,0.0475,0.0475,-0.03144,0.089142,372,0.2256,0.2256,-0.01036,-0.061854,3,0.0084,0.9704,-0.00242,17.442,0.0387,0.9903,0.004625,17.275,0.0113,0.9275,0.001377,17.161,9.9843,1.747,1.7302,1.7188,0.4511,1.0,0.58308,0.53363,1.26157,0.16236,0.9502,1.005,1.0577,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1157,0.8725,16,0.1212,-0.9036,-1.0
8,1196,207563,4.998798597409691e-15,1.4350554615690294e-08,1.9645005658830425e-09,1.4350554615690294e-08,0.43859536903035984,10.779647654451905,9.522191173491173,-43.257294530251556,32.91577004297827,0.32396168462039987,43.257294530251556,0.002043129437621971,12.564998487485523,6.285547062824469,-1.1280808347218614,1.0396563861691641,-0.023443028424206404,1.1280808347218614,0.05003766683518832,2.399353437615374,1.1570068653371401,0.05066170416491002,2.396065498859782,0.9456063784928922,0.033833868212162985,0.14172696566749318,0.06471298877951484,0.0017472259220503439,1.4126062363552654,0.8744629357124069,0.008046292340765903,-0.22379370208310964,0,0,0,2.5833996264875825e-07,0.6156022547396709,372,0.1976,-0.02487,0.4546239670477431,0,0,0,0.1976,372,0.6156022547396709,0.542349,0.5423490280878713,621.4859629802481,289.7828996207026,0.6091702876855501,0.6091702876910263,0.609170287691728,0.7614628596137829,4.9521744155620506e-11,372,0.0587,0.0587,-0.02559,0.063591,372,0.2414,0.2414,-0.00751,-0.036855,3,0.0123,0.9992,-0.00112,17.402,0.0482,0.9564,0.002953,17.252,0.015,0.9674,4.8e-05,17.191,9.9778,1.7441,1.729,1.723,0.4661,1.0,0.59448,0.53711,1.26152,0.16875,0.9467,1.0086,1.0654,0.5,2.7211,0.9535,0.0,0.0,8.4655,3.1111,80,0.1099,0.6098,16,0.0573,-0.3612,0.0
9,1196,207563,1.5690331307675538e-13,2.6953942397716918e-08,3.588257965250107e-09,2.6953942397716918e-08,0.4385837925886514,10.779634033530854,9.522190232350065,-46.73160201931415,42.90555397709728,0.3510313959254945,46.73160201931415,0.018918955196903335,12.565655551495494,6.282895409676869,-1.1311889883836126,1.0458132642044087,-0.023546384632473844,1.1311889883836126,0.05005598157079273,2.4001222496322643,1.1570511963440684,0.050306690182792,2.396362562653597,0.9125625925825536,0.03669010437074288,0.15580300139068082,0.07345761813663264,0.001163810145824118,1.4129788694116256,0.8666970941130689,0.008072346497805137,-0.23662133647878134,0,0,0,4.962869301189e-07,0.6124910673735903,372,0.215,-0.01406,0.45432925168512217,0,0,0,0.215,372,0.6124910673735903,0.092171,0.09217080058989113,621.4860216402056,289.78292697233013,0.6091702876801244,0.6091702876904792,0.609170287691728,0.761462859613099,9.301425270057614e-11,372,0.0791,0.0791,-0.01913,0.034759,372,0.2545,0.2545,-0.00778,0.001058,3,0.0175,0.9422,-0.000862,17.388,0.0549,0.9105,0.002741,17.23,0.0208,0.9964,0.001253,17.228,9.9779,1.7426,1.7269,1.7266,0.4451,1.0,0.60431,0.52354,1.26147,0.18604,0.9456,1.0097,1.0677,0.5,2.7211,0.9535,0.0,0.0,8.4656,3.1111,80,0.0954,-0.0388,16,0.0846,0.8391,-1.0
