step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_cluster_modulo,spin_cluster_omega,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,824,138557,0.0,3.813418250330184e-12,3.9037250290007597e-14,3.813418250330184e-12,0.4321400122672423,10.788571750685083,9.308187847648002,-9.220115149455587,9.230871283558114,-0.00026117360553339997,9.230871283558114,0.00016920300822390326,12.566347903676304,6.453881714652557,-0.928090934077479,1.0879596805795027,-0.005229460560761163,1.0879596805795027,0.281477967574225,2.3984126251739126,1.433821740753306,0.281477967574225,2.398273958705535,1.4332706486994689,0.0,0.057905346320721834,0.0044020430608458245,1.0,1.0,1.0,0.013072801179503695,-0.12065323325560733,0,0,0,0.0,0.6008518713893629,372,0.9988,0.01293,0.4375928106028945,0,0,0,0.9987,372,0.6008518713893629,0.0,0.0,256,2.7917819129596103e-18,7.53277962427452e-20,2.1569342161810258e-19,2.7027875451625853e-18,2.53518448149966e-15,1.0512586022662602e-20,24.72678733170674,7.493625544136435,9.175305382428778,0.0,0.0,0.0,0.0,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.315957336709379e-14,372,0.9989,0.9989,-0.01902,0.0,2,0.9976,1.0,0.0,0.0,0.0,0.0,0.00224,1.0,1.25468,0.27079,0.9729,0.9629,0.9897,0.5158,2.7531,0.9648,0.0,0.0,5.7024,2.0713,0,0.0,0.0,0,0.0,0.0,0.0
1,824,138557,7.229098893374009e-35,3.882259236449075e-12,3.599730690350422e-14,3.882259236449075e-12,0.43917220141804886,10.783132696001779,9.308218464924867,-9.227388756186064,8.859207401616004,0.005155924357387164,9.227388756186064,4.739451079385196e-05,12.566363011211672,7.181171726737351,-0.9280909356555083,1.087959682436754,-0.005229460545869736,1.087959682436754,0.281477967574225,2.3984126251739872,1.4338217407533054,0.281477967574225,2.3983805483556875,1.432382078659374,1.4142115624116159e-08,0.05790536046283746,0.004402057202961449,0.001888094815113095,1.4142019721276715,0.9025683561382455,0.013108017683846614,-0.12065326092952242,0,0,0,4.2639049592920456e-32,0.6008518879347857,372,0.9876,0.01385,0.43785542726384136,0,0,0,0.9941,372,0.6008518879347857,0.001796,0.0017964533456078513,256,1.0404407026901742e-18,5.172013584974905e-20,1.1176676946796087e-19,1.0771384465072135e-18,2.3733647421196364e-15,2.87867902132826e-21,18.737909807726655,5.720489050834445,6.849234787329304,3.0309702170431985,0.9065180361276821,1.2565566206686616,-0.07416315589889719,0.8957198182063218,0.0,621.4857873344093,289.7828177215713,0.6091702876917263,0.609170287691728,0.609170287691728,0.76146285961466,1.3397133988044873e-14,372,0.9793,0.9707,-0.02532,0.001968,2,0.9673,0.9999,-3.13975,0.0,0.0,2.0,0.25601,0.29229,1.25468,0.27079,0.9729,0.9629,0.9897,0.5158,2.7531,0.9648,0.0,0.0,5.7024,2.0713,0,0.0,0.0,0,0.0,0.0,0.0
2,824,138557,2.903383258955054e-19,9.79068442721492e-12,2.2575580521190009e-13,9.79068442721492e-12,0.43917213648153114,10.783132694743468,9.308218464786753,-9.212674488529164,9.187759965007281,0.00037502731806725493,9.212674488529164,0.001656985349702822,12.565509933229265,5.987218689039738,-0.9304624385127388,1.0893225105631499,-0.005188611901468022,1.0893225105631499,0.281477967574225,2.3984133706539454,1.4338217401071232,0.281477967574225,2.39822541240665,1.4307961138958947,1.8895090266755067e-05,0.0720472471793871,0.013427740764343905,0.01607810619853023,1.313109226369152,0.9425749739256706,0.01314144395447897,-0.14021467024696233,0,0,0,5.593659398150181e-14,0.6008519018511318,372,0.1664,-0.00359,0.44244619591635653,2,1,1,0.2892,372,0.6008519018511318,-0.005272,-0.005272136713019515,256,3.820847068032799e-18,2.495765272607417e-19,6.007671789914772e-19,3.853413212718559e-18,1.131346622142063e-13,-3.7290889920647015e-20,18.726125067352726,5.541774617544544,6.743717171628262,3.0826626454597457,1.146334772028335,1.441559582892748,0.04634313492439139,0.9061209388896003,0.0028316341721349057,621.4857883535406,289.78281819676596,0.6091702876917239,0.609170287691728,0.609170287691728,0.76146285961466,3.378628342473683e-14,372,0.0497,0.1391,0.00449,0.023474,2,0.01,0.1021,0.018751,0.792,0.3962,2.0,0.26202,0.66318,1.25303,0.27079,0.9729,0.9629,0.9897,0.5158,2.7531,0.9648,0.0,0.0,5.7024,2.0713,0,0.0,0.0,0,0.0,0.0,0.0
3,830,138565,0.0,3.355395996591246e-11,5.5184420133025025e-12,3.355395996591246e-11,0.3827775386864869,10.855038103137563,9.312267585482227,-9.418010438098555,9.41934690449576,0.024556807091360263,9.41934690449576,0.016544563814493263,12.56335596870698,6.059974100657608,-0.9349552581011604,1.093746524836572,-0.005151379612048792,1.093746524836572,0.2814779676708358,2.3984144989605514,1.428756139937198,0.28147410388532057,2.397479372039003,1.4186937651385998,0.0,0.08115868354309191,0.022688284548152894,1.0,1.0,1.0,0.0,-0.15929629069710216,0,0,0,3.4699873965995113e-10,0.5972054213426993,378,0.1818,0.02966,0.4559831347687251,0,0,0,0.1818,378,0.5972054213426993,-1.497303,-1.4973031818804143,256,1.198270827888473e-17,8.1614653813392535e-19,1.8362326295796006e-18,1.2425085648100214e-17,4.844345046333558e-12,2.672627531763767e-20,19.129247664624422,5.308226422713592,6.538403239208905,0.0,0.0,0.0,0.0,0.9088796175069273,0.16655418323981844,621.4857962498612,289.7828218786169,0.6091702876917137,0.6091702876917262,0.609170287691728,0.7614628596146578,1.157900242270655e-13,372,0.0623,0.0623,0.00249,0.144461,2,0.0113,-0.1019,-0.010909,20.006,10.0029,2.0,0.5343,0.58398,1.25882,0.26304,0.9731,0.9631,0.9897,0.5157,2.7438,0.9615,0.0,0.0,5.7299,2.0883,80,0.1482,-0.9988,16,0.1484,-0.9456,1.0
4,832,138568,0.0,4.9226900691041484e-11,6.268359784595595e-12,4.9226900691041484e-11,0.3653343679942557,10.878404731080314,9.313041044983708,-9.419854527018765,9.422254006452599,0.0047192899228705,9.422254006452599,0.012947314382012076,12.551996738271134,6.21904401176057,-0.9349555956674979,1.0937467730019081,-0.004713258988972132,1.0937467730019081,0.2814779676708613,2.3984144990210763,1.426321536865077,0.2814740756074299,2.3956316562655204,1.40280072395316,0.0,0.08116372197365283,0.022635189198614743,1.0,1.0,1.0,0.0,-0.15929863882811754,0,0,0,4.729359565675612e-10,0.5999051311576135,380,0.1716,0.09311,0.4528098361963935,0,0,0,0.1716,380,0.5999051311576135,0.012257,0.012257214885923462,256,3.595852453094188e-17,9.964711957920453e-19,2.8809422861243456e-18,3.592494125414669e-17,5.7027405228806945e-12,2.9035045386251754e-19,16.911677555286115,5.30688553247926,6.470245831540582,0.0,0.0,0.0,0.0,0.9091625324489461,0.00039459206099393286,621.4857965776703,289.78282203146586,0.6091702876917068,0.6091702876917261,0.609170287691728,0.7614628596146575,1.698751511423138e-13,372,0.0425,0.0436,-0.04138,0.037104,2,0.0075,-0.5697,0.00594,19.958,9.9788,2.0,0.5338,0.58142,1.26052,0.24373,0.9731,0.9631,0.9898,0.5156,2.8029,0.9343,0.0,0.0,5.7227,2.0417,80,0.0898,-0.9995,17,0.0924,-1.0,1.0
5,840,138578,0.0,4.3327597323062383e-11,6.709005165246492e-12,4.3327597323062383e-11,0.3050854847779823,10.973110762823303,9.317456401674235,-9.419898120241003,9.42225454162346,-0.012460763024547811,9.42225454162346,0.0014900575527812474,12.553385583560994,6.2348577617666034,-0.9349553281135188,1.0937472175327478,-0.003901402852100897,1.0937472175327478,0.19406659235598478,2.3984144992554017,1.416846515287336,0.2552780366799134,2.395631711746817,1.3689079031844862,0.0,0.08116687629616753,0.022423872935769813,1.0,1.0,1.0,2.4939894443226933e-15,-0.1593009752362766,0,0,0,5.823963596157693e-10,0.6023331936767464,388,0.1341,0.15117,0.44136351033127325,0,0,0,0.1341,388,0.6023331936767464,-0.0113,-0.011299759129093534,256,2.47831006637379e-17,7.419538972284506e-19,1.9765881789410998e-18,2.47161467933542e-17,5.891082875531165e-12,1.0911810192190674e-19,17.775339946543685,5.253255198565514,6.3686568503414405,0.0,0.0,0.0,0.0,0.9100213549178557,0.0007839604103731755,621.4857964591356,289.7828219761962,0.6091702876917093,0.6091702876917261,0.609170287691728,0.7614628596146575,1.4951748011695968e-13,372,0.0501,0.0501,-0.08796,0.147577,2,0.0075,-0.7189,-0.00063,19.98,9.9899,2.0,0.53502,0.5832,1.26806,0.20508,0.9733,0.9633,0.9897,0.5155,2.7539,0.918,0.0,0.0,5.6837,2.0639,80,0.0398,-0.9999,15,0.1834,-0.895,1.0
6,843,138581,0.0,3.304432322977649e-11,8.068628567752657e-12,3.304432322977649e-11,0.29891258320692454,10.983311612285206,9.320026035503934,-9.417786271123832,9.426939330097088,-0.0050764895695418494,9.426939330097088,0.006706121117105113,12.54035625661885,6.149797502562714,-0.934960006578018,1.093747781572386,-0.0038675249911681005,1.093747781572386,0.19406659235604568,2.3984144993159577,1.4145128722930003,0.2814741888020162,2.395631700543885,1.3241713776419466,0.0,0.08117191472672845,0.022347118177772927,1.0,1.0,1.0,1.0095401486273912e-14,-0.15930550893386541,0,0,0,4.6562606590924936e-10,0.6049996840897742,390,0.0933,0.14667,0.4339201913082007,2,2,0,0.0933,390,0.6049996840897742,-0.057399,-0.057399057869859105,256,1.821019297379055e-17,4.344256395347354e-19,1.3820403978170463e-18,1.8072109347698473e-17,6.27441789470093e-12,1.0452286252996753e-19,18.82608919105016,5.84227496397798,7.04659486561094,0.0,0.0,0.0,0.0,0.9102937716805052,0.0005941325311984299,621.4857984802911,289.782822918609,0.6091702876917138,0.6091702876917252,0.609170287691728,0.7614628596146564,1.140313387003536e-13,373,0.1248,0.1248,-0.10271,0.849104,2,0.0125,-0.6533,-0.005555,20.036,10.018,2.0,0.54164,0.59411,1.27178,0.15516,0.9731,0.9637,0.9904,0.5172,2.748,0.916,0.0,0.0,5.6944,2.0722,80,0.1521,-0.6978,18,0.4805,-0.7799,1.0
7,845,138584,0.0,4.082134150784369e-11,7.604905322097684e-12,4.082134150784369e-11,0.28716644086378285,11.006619938991951,9.320850114577995,-9.417812036744873,9.422251760511582,0.015345315380775396,9.422251760511582,0.0002534951639753258,12.56293688135412,6.229485062899674,-0.9349607423327324,1.0937489703469816,-0.0031054222998581162,1.0937489703469816,0.19406659235746976,2.398414499318567,1.4127912268317364,0.08908873088389724,2.395631694757247,1.256974326638501,0.0,0.08117820922917775,0.0222962464248065,1.0,1.0,1.0,0.0,-0.15930771358267204,0,0,0,9.161639136491539e-11,0.5864980509056985,392,0.0437,0.09804,0.44504957150336316,2,2,0,0.0437,392,0.5864980509056985,-0.096385,-0.09638527301099575,256,1.4617105539780562e-17,3.98587219912649e-19,1.1884049376180874e-18,1.4431678406292466e-17,5.102630272478728e-12,1.2106659271003828e-19,34.30710464516101,8.772386271165718,10.975923908199464,0.0,0.0,0.0,0.0,0.9116432579092586,0.0007078498163094085,621.485796671798,289.78282207535517,0.6091702876917104,0.6091702876917261,0.609170287691728,0.7614628596146575,1.4086874168555272e-13,373,0.1635,0.1635,-0.12331,-0.200294,2,0.0073,-0.958,-0.00451,19.942,9.9712,2.0,0.54456,0.62192,1.27237,0.18802,0.9731,0.9638,0.9904,0.5172,2.8046,0.8893,0.0,0.0,5.6851,2.0271,80,0.2081,-0.5677,16,0.4676,-0.5129,-1.0
8,848,138587,0.0,4.7538040402490154e-11,7.263831094766867e-12,4.7538040402490154e-11,0.2718734235483284,11.041356449469298,9.321906074248535,-9.41888421173567,9.422250250567203,-0.0057501238868590465,9.422250250567203,0.031717659557568376,12.541528060133222,6.296176263213721,-0.9349603909365484,1.0937502883571748,-0.0027355451713554566,1.0937502883571748,0.194066592362167,2.3984144999617834,1.409768730488018,0.06020471676676031,2.3956316931210626,1.1576573412494722,0.0,0.08117947944347902,0.02221960929626892,1.0,1.0,1.0,2.7755575615628914e-17,-0.15930982142418854,0,0,0,2.0559899090554187e-11,0.5852017643049857,395,-0.0175,0.22249,0.38305454610276324,45,44,1,0.09,395,0.5852017643049857,-1.466005,-1.466005009953282,256,9.016336053136912e-18,3.063648893562637e-19,7.344714717325496e-19,1.5511503802608892e-17,4.918032947085002e-12,9.075024065618058e-20,20.16993587450549,5.406264770702926,6.523203038910299,0.0,0.0,0.0,0.0,0.9118480486634518,0.0006258566378309013,621.4857939603252,289.7828208110652,0.6091702876917076,0.6091702876917271,0.609170287691728,0.7614628596146589,1.6404713112198035e-13,373,0.1703,0.1703,-0.15645,-0.292017,2,0.0046,0.9758,0.000363,14.479,7.2396,2.0,0.54468,0.65,1.2744,0.21154,0.9732,0.9637,0.9903,0.5165,2.8547,0.8609,0.0,0.0,5.6715,1.9867,70,0.166,-0.6499,56,0.0835,-0.9956,-1.0
9,850,138590,0.0,5.047036202656161e-11,9.924991496760202e-12,5.047036202656161e-11,0.2653899655808151,11.063566099138237,9.321695789830773,-9.418841355154182,9.424471545824215,-0.008408697534422202,9.424471545824215,0.03597910097113299,12.553761365228986,6.386439496697154,-0.9349608807007903,1.093750424721175,-0.003078262072374763,1.093750424721175,0.19406659241098864,2.39841450442781,1.4079046238282933,0.05,2.3956316571177005,1.092221105033431,0.0,0.08118514591000084,0.022171626642785207,1.0,1.0,1.0,0.0,-0.15931379850598854,0,0,0,2.2967117319141377e-10,0.6213022914597496,397,0.0794,0.09392,0.41683338454281676,3,3,0,0.0813,396,0.620294416509005,-1.265806,-1.2658064084898506,256,4.68553712233991e-18,1.9463716906010811e-19,3.8463847437636355e-19,1.8103206138016005e-17,7.099228418418068e-12,2.9102828276826776e-20,18.599138487268124,5.512245903568772,6.599994209939331,0.0,0.0,0.0,0.0,0.9119872040604601,0.0005235684090681819,621.485799483369,289.78282338631834,0.6091702876917063,0.6091702876917247,0.609170287691728,0.7614628596146558,1.741661615301402e-13,373,0.1762,0.1762,-0.19941,-0.312859,2,0.0151,0.9963,0.003958,20.054,10.0272,2.0,0.54745,0.66375,1.27628,0.18184,0.9732,0.9638,0.9903,0.5165,2.8431,0.8574,0.0,0.0,5.6636,1.9921,80,0.058,0.4705,17,0.0794,0.7246,-1.0
