step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_cluster_modulo,spin_cluster_omega,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,824,138465,0.0,3.724556328936531e-12,4.580595278936743e-14,3.724556328936531e-12,1.156776237566002,10.737289765161446,9.3276585001427,-9.309214186964992,9.29643458876204,-0.000380917177782568,9.309214186964992,3.3860492810529165e-05,12.566367523263565,6.291547068972055,-1.00331135093879,1.0399507467293068,0.009771307997504957,1.0399507467293068,0.07438831199587517,2.3997973160337023,1.2720848830584297,0.07438831199587517,2.3997564929328288,1.271870830890854,0.0,0.060284309220470164,0.004517994616362467,1.0,1.0,1.0,0.0075216870168442465,-0.1197494395438471,0,0,0,0.0,0.59523911280085,372,0.9988,-0.00978,0.4518362355271397,0,0,0,0.9991,372,0.59523911280085,0.0,0.0,256,6.364886297869101e-18,1.9016261206441093e-18,2.972972639589552e-18,5.96613419328389e-18,1.696882149287414e-15,2.1036258045287446e-19,30.39521953046189,9.776365255077973,12.078430089197848,0.0,0.0,0.0,0.0,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.2852923296905594e-14,372,0.9987,0.9989,0.03091,0.0,2,0.9975,1.0,0.0,0.0,0.0,0.0,0.0019,1.0,1.28173,0.27149,0.9714,0.968,0.9965,0.5012,2.7309,0.957,0.0,0.0,5.6563,2.0712,0,0.0,0.0,0,0.0,0.0,0.0
1,824,138465,6.485197719996912e-35,3.6104483449154105e-12,3.964589838366312e-14,3.6104483449154105e-12,1.156780077266256,10.748145865483862,9.327637763320423,-9.328555430671104,9.208868498449771,0.004159726011229017,9.328555430671104,0.000756623509499636,12.565595211035465,6.499463798615863,-1.003311352635837,1.0399507580513685,0.009771307986196803,1.0399507580513685,0.07438831199587517,2.3997973160336667,1.2720848830584304,0.07438831199587517,2.3997973160336725,1.2714886668142993,1.4142115624116159e-08,0.06028432336258579,0.004518008758478091,0.006457818802786175,1.4141017578977773,0.8961278221012154,0.007561970493836317,-0.11974946428960696,0,0,0,3.843769130442272e-32,0.5952391247077389,372,0.9436,0.0126,0.4521041121990284,0,0,0,0.8998,372,0.5952391247077389,0.001368,0.0013675601566431883,256,5.723022906062795e-18,7.701781067069177e-19,1.3166217597608976e-18,5.568970259086107e-18,1.4125363428581659e-15,1.2850504282237592e-19,24.95116432801975,7.7117343233177404,9.771792959291462,3.122500332192448,1.151261596839146,1.5084439096618576,0.11654326951863181,0.8983279130982094,0.0,621.4857873344093,289.7828177215713,0.6091702876917265,0.609170287691728,0.609170287691728,0.76146285961466,1.245915259332041e-14,372,0.9565,0.9453,0.04954,0.000589,2,0.9033,0.9986,-3.140596,0.0,0.0,2.0,0.25628,0.42707,1.28173,0.27149,0.9714,0.968,0.9965,0.5012,2.7309,0.957,0.0,0.0,5.6563,2.0712,0,0.0,0.0,0,0.0,0.0,0.0
2,824,138465,3.753257437342416e-18,8.093637917038623e-12,2.4005127967338916e-13,8.093637917038623e-12,1.1567800730578828,10.748147122022495,9.327637763445006,-9.317643884186692,9.335429103966655,-0.016004200976738794,9.335429103966655,0.0004732771633939592,12.565333724406685,6.023183731227727,-1.0056368333296446,1.0487133125820334,0.009915428017317837,1.0487133125820334,0.07438831199587517,2.399797454909017,1.2720848838066539,0.07438831199587517,2.399797454909017,1.2707726451659482,6.459233014348587e-05,0.07440325696267515,0.013479286979490246,0.0033922092495365375,1.3563418581334987,0.9131837230347752,0.007599586812903733,-0.13724771400130134,0,0,0,6.06385047089992e-12,0.5952391343996377,372,0.0777,-0.00931,0.4365563456106715,0,0,0,0.1707,372,0.5952391343996377,0.001303,0.0013027324640693116,256,8.959198731919591e-18,1.0540869296998564e-18,1.8507691949976385e-18,8.607747827795865e-18,1.6387744517540347e-13,3.9242930728647196e-20,30.939593992961775,7.631853962528597,9.78618948357094,3.1403843357580623,0.9261237925182837,1.2471360224103911,-0.057138790415488985,0.9064857869469375,0.010682119972168504,621.4857888624273,289.78281843404676,0.6091702876917245,0.609170287691728,0.609170287691728,0.76146285961466,2.7930013106973412e-14,372,0.1456,0.0623,0.03385,-0.006437,2,0.015,0.7113,-0.001297,1.196,0.5978,2.0,0.27514,0.69766,1.28012,0.27149,0.9714,0.968,0.9965,0.5012,2.7309,0.957,0.0,0.0,5.6563,2.0712,0,0.0,0.0,0,0.0,0.0,0.0
3,825,138466,0.0,3.9481855265267943e-11,6.252419369017139e-12,3.9481855265267943e-11,1.1461673638125038,10.735803904634132,9.328659045381265,-9.418747461785582,9.422177463053453,-0.051472144750439035,9.422177463053453,0.017855684294217716,12.550291833662348,6.129328683639724,-1.0076999582109274,1.0572388656675928,0.009820643182284967,1.0572388656675928,0.0743883141421621,2.399797548423091,1.271498363091668,0.07433093191439417,2.3997975484609397,1.269544083313826,0.0,0.08539514035847817,0.022583716786553347,1.0,1.0,1.0,0.007634769683609463,-0.15436606574238967,0,0,0,4.4406944738046544e-10,0.6220755943116006,372,0.0949,-0.02153,0.4477557431296273,0,0,0,0.0949,372,0.6220755943116006,-0.739576,-0.7395761977293784,256,4.5180874788182944e-17,1.9074339777046822e-18,6.735755805253868e-18,4.2803970886333225e-17,6.257682231317201e-12,7.610393393178058e-19,20.683011754966266,5.784364090307306,6.878687129597758,0.0,0.0,0.0,0.0,0.9101541848434848,0.1731960840344917,621.4857960288467,289.78282177556355,0.6091702876917111,0.6091702876917263,0.609170287691728,0.7614628596146579,1.3624636209749726e-13,373,0.1406,0.1406,0.02166,-1.395009,2,0.0141,0.5502,-0.007841,19.921,9.9605,2.0,0.5542,0.57569,1.2802,0.2633,0.9715,0.9679,0.9964,0.5006,2.8043,0.9348,0.0,0.0,5.6708,2.0222,80,0.0827,-0.9953,18,0.2343,-0.9995,1.0
4,825,138466,5.1620560713345266e-27,5.1494929613916716e-11,5.115735545078078e-12,5.1494929613916716e-11,1.1461673674755162,10.735804912693947,9.328659044807697,-9.420666178484113,9.420956934569766,-0.06441246392636547,9.420956934569766,0.014871646094440139,12.553161320804964,5.95123197110409,-1.0077002435033948,1.0572393079417646,0.009820592274882453,1.0572393079417646,0.07438831414297666,2.39979754850791,1.2714983630651162,0.07434193342085854,2.399797548508019,1.2689419445420753,1.4142115624116159e-08,0.08539578253668847,0.022586347363666267,0.00915996870566338,1.3977560775001778,0.9181034011972403,0.007667729914704559,-0.15436818236502356,0,0,0,6.140845850568093e-10,0.6380065710604842,372,0.0738,0.01022,0.45716020070781443,0,0,0,0.0796,368,0.6339622162608058,-0.308915,-0.3089148422232355,256,3.616296507807987e-17,1.1262352153236465e-18,5.316780697808016e-18,3.4318062237142604e-17,5.99034542179116e-12,5.612895329977688e-19,24.93237767638376,5.721578739428715,6.807403531455752,0.1006757783890893,0.014144507779631159,0.025511291505688715,0.004882145107544471,0.9105361027539256,0.00027747274015309557,621.4857928766107,289.7828203057571,0.6091702876917059,0.6091702876917273,0.609170287691728,0.7614628596146591,1.7770180288666914e-13,373,0.022,0.0798,0.106,1.380245,2,0.0038,0.0207,0.00507,14.398,7.1992,2.0,0.55414,0.57683,1.2802,0.24313,0.9715,0.9679,0.9964,0.5006,2.8043,0.9348,0.0,0.0,5.6708,2.0222,71,0.0394,-0.713,58,0.0693,-0.4646,-2.0
5,825,138466,1.8559855043916956e-15,2.798204943275011e-10,2.8517751410482785e-11,2.798204943275011e-10,1.1461673318357597,10.735805467469671,9.328659034807567,-9.41736287955403,9.420664990315105,-0.06117769368387027,9.420664990315105,0.00047329162801845737,12.563455988159168,5.85020079914663,-1.0137724143926392,1.0674688242753674,0.009611542574710785,1.0674688242753674,0.0743890682766154,2.3998001890136007,1.2714996758010078,0.09731771683063664,2.3988078856961135,1.2664213199489192,0.005846071112741212,0.09741743049874291,0.03176738137563865,0.0019753801463960885,1.3625947657868078,0.8918286657222212,0.007698695009775628,-0.17101986067972502,0,0,0,3.327901402177262e-09,0.6088352990650823,372,0.1031,0.07135,0.4698256430743805,0,0,0,0.1031,372,0.6088352990650823,0.799251,0.7992514431826958,256,3.246314230722424e-17,2.3004649637382974e-18,4.817633966365278e-18,2.2221340418232703e-16,2.4647417630526883e-11,1.9787094418258465e-19,21.775377589821215,6.390270440822819,7.593424637366691,3.130604327223846,1.0131851109054193,1.3149040905353482,-0.1919862179662341,0.03723092893535855,1.5664568134565533,621.4858009505629,289.78282407043304,0.6091702876916076,0.6091702876917239,0.609170287691728,0.7614628596146548,9.656213932799876e-13,373,0.0604,0.0604,0.10061,-1.450387,2,0.0065,0.825,0.011846,19.982,9.991,2.0,0.55264,0.58558,1.27886,0.21045,0.9715,0.9679,0.9964,0.5006,2.8043,0.9348,0.0,0.0,5.6708,2.0222,80,0.1139,-0.8988,17,0.2074,-0.8902,0.0
6,825,138466,3.2974814899247733e-15,5.875644851690627e-10,9.848547648798846e-11,5.875644851690627e-10,1.146167117099417,10.735804503409646,9.328658998621393,-9.420995893713513,9.426785743453797,-0.029834502696289518,9.426785743453797,0.017819073423220755,12.550484767225486,6.14057143200341,-1.020659873680121,1.0699407101615548,0.009707097257756455,1.0699407101615548,0.07439022178304976,2.399802461455845,1.271501601478694,0.11762581354538931,2.3978623642686263,1.2603794627569116,0.017000516086261214,0.10582961056990457,0.040685668032860806,0.002727584707718056,1.4017088181808646,0.9343375588773887,0.0077276774074219465,-0.18716197579968058,0,0,0,8.445284412928537e-09,0.5979069412956474,372,0.1168,0.13978,0.4517132529839122,0,0,0,0.1168,372,0.5979069412956474,-0.111247,-0.11124685651449706,256,6.565502325825445e-17,1.2178272994089945e-17,1.821175512466644e-17,5.215086500131752e-16,7.657068245096472e-11,1.3880764793872297e-18,31.183383360358764,6.662943005364599,8.136724669991713,3.1258557822118003,1.0884747718745191,1.439636191022931,0.03642542374507207,0.024810301307771267,2.0732848437398705,621.4858267062764,289.782836079659,0.6091702876914751,0.6091702876916928,0.609170287691728,0.7614628596146159,2.0276027839259117e-12,373,0.1169,0.1169,0.09222,0.502221,2,0.0142,0.9988,-0.003068,20.091,10.0457,2.0,0.55321,0.60076,1.27771,0.15362,0.9715,0.9679,0.9964,0.5006,2.8043,0.9348,0.0,0.0,5.6708,2.0222,80,0.1474,-0.9145,15,0.1613,-0.9385,1.0
7,827,138469,0.0,1.548338114873301e-09,3.1601206470042473e-10,1.548338114873301e-09,1.1666374648694855,10.759898275090956,9.330230314605913,-9.429086160406968,9.426507869562816,-0.016533596895897586,9.429086160406968,0.021330746878306148,12.553600050484938,6.168198688316136,-1.0248888652064492,1.0789296278750562,0.009669259182832802,1.0789296278750562,0.07440611960499448,2.3998077791461014,1.2700749413702408,0.12935093995663183,2.3978714652179187,1.235478366182443,0.0,0.11864136440977731,0.04990805439884978,1.0,1.0,1.0,1.3311716761599673e-11,-0.20272524673676093,0,0,0,2.60007242688525e-08,0.5965110545192548,374,0.1272,0.15532,0.45025862580109927,0,0,0,0.1272,374,0.5965110545192548,-0.132285,-0.1322845659252021,256,4.46555578007232e-16,8.184974133925277e-17,1.2920944034029885e-16,2.295348424693433e-15,2.37098648520889e-10,1.326873369170093e-18,28.036882313774193,6.365796152487803,7.9353362467251625,0.0,0.0,0.0,0.0,0.695890374938679,1.0810544031555427,621.4858594186815,289.782851332611,0.6091702876910614,0.6091702876916099,0.609170287691728,0.7614628596145123,5.3430977980685535e-12,373,0.1175,0.1175,0.10957,0.041577,2,0.0155,0.9723,-0.000887,20.107,10.0537,2.0,0.55318,0.62007,1.27855,0.15668,0.9717,0.9679,0.9961,0.5006,2.734,0.9581,0.0,0.0,5.6862,2.0798,80,0.082,-0.9287,15,0.0669,-0.8537,1.0
8,827,138469,1.7422943614381528e-25,1.6960106308616512e-09,3.2519969629281005e-10,1.6960106308616512e-09,1.166637205446843,10.759896080196,9.330230223987993,-9.430101841495347,9.430263916554155,-0.019707430542824814,9.430263916554155,0.028644626498593558,12.56628935766723,6.116759608888068,-1.0249075166389556,1.0789335685510555,0.009672378712615665,1.0789335685510555,0.0744068469550549,2.3998077855854647,1.270075154111915,0.13156123102403822,2.3977879551376624,1.187038913261678,1.4142115624116159e-08,0.11865142712688105,0.04998807810468473,0.0001764010745828326,1.4063879279810543,0.6983908013484528,6.344088302569624e-09,-0.20284460406600457,0,0,0,2.7704574166636503e-08,0.5961083934982931,374,0.1358,0.17263,0.4436087923107759,0,0,0,0.1358,374,0.5961083934982931,-0.050052,-0.05005168355619194,256,4.781901414047636e-16,9.077346306063316e-17,1.4231942121553777e-16,2.6420884574717392e-15,2.5552633738733517e-10,1.7257302402036921e-18,29.48210117150567,9.029689294398715,10.935225675705114,2.8811296644648032,0.02988695226163415,0.18222511612307085,-0.01518674927054793,0.6887074068305109,0.06206389376301766,621.4858591343534,289.7828512000362,0.6091702876909979,0.6091702876916107,0.609170287691728,0.7614628596145134,5.852694953611663e-12,373,0.0969,0.0969,0.12438,-0.087051,2,0.0152,0.7811,-9e-06,20.113,10.0565,2.0,0.55238,0.62592,1.27855,0.18632,0.9717,0.9679,0.9961,0.5006,2.734,0.9581,0.0,0.0,5.6862,2.0798,80,0.0408,0.9456,15,0.1784,0.701,1.0
9,829,138471,0.0,4.131339042566035e-09,5.737742150449425e-10,4.131339042566035e-09,1.1670870953509662,10.760284557095003,9.331618347621808,-9.427995784921766,9.427823689543223,-0.021692983342597557,9.427995784921766,0.017553187299073313,12.507792545177237,6.109222227520006,-1.031050661894593,1.0881386532125035,0.009965610891840405,1.0881386532125035,0.0744314579323533,2.399826971767386,1.2679626546781018,0.08165169191315547,2.397653777378438,1.112494643085838,0.0,0.13170428184000563,0.05683453862451883,1.0,1.0,1.0,1.474871816407885e-06,-0.21744415592296604,0,0,0,3.318068101300797e-08,0.5954811830361634,375,0.1359,0.18205,0.43859818039625403,0,0,0,0.1359,375,0.5954811830361634,0.087486,0.08748623280271306,256,1.0109860912996026e-15,1.9718965195935935e-16,3.1208605797676123e-16,8.381768805516329e-15,4.819255319460626e-10,-1.7696520656841268e-18,24.5154045666368,6.585328471553396,8.160250335881804,0.0,0.0,0.0,0.0,0.6808760741914045,0.027507370122236287,621.4858786705316,289.782860309253,0.6091702876899494,0.6091702876915382,0.609170287691728,0.7614628596144227,1.4256671488980115e-11,374,0.1026,0.1026,0.14882,0.004675,2,0.016,0.6656,-0.000112,20.113,10.0563,2.0,0.54936,0.63744,1.27897,0.17301,0.9718,0.968,0.9961,0.5006,2.7341,0.9581,0.0,0.0,5.7018,2.0854,80,0.0985,0.4833,16,0.3631,0.8169,2.0
