# RUN_PARAMS {"alfanat":0.0,"batch":true,"bussola":1,"calore_scal":false,"calore_vett":false,"chi_basc":false,"chi_core":false,"chi_da_spinore":false,"coppia":1.0,"costanti_effettive":{"CS_M":2.0,"GAMMA":0.05,"K_C":2.0,"LAM":0.8,"PHI_CRIT":6.283185307179586,"SCALA_B":1.0},"cs_dinamico":false,"csv":"out_sync_spinore\\cond_off_s3.csv","da_libera":false,"db_cleanup":false,"db_ogni":200,"denoise":false,"diaglog":"out_sync_spinore\\off_s3.csv","diffres":0.0,"dpi":100,"elast_c":null,"fps":20,"frames":0,"gamma":0.05,"giri":1.0,"guscio_morbido":false,"ham":0.0,"kfrange":0.0,"lam":0.8,"leggi_attive":{"CHI_BASC":false,"CHI_CORE":false,"CS_DINAMICO":false,"LS_AZIM":false,"OLON_PART":false,"PAV_COM":false,"PLAST_DIN":false,"POLO_MATURO":false,"REGIME":"deterministico","SPINORE":true,"SPINORE_VIVO":true,"SPIN_FEEDBACK":false,"SPIN_LARMOR":false,"SYNC_UPDATE":true,"TAU_USA_D0":false,"VERLET":false,"VERSO_CHI":false,"VIRIALE":false,"ZETA_LOC":false,"ZETA_VIR":false},"ls_azim":false,"maxnodi":4000000,"mitmax":0,"mupsi":-0.05,"nmasse":2,"nmasse_effettive":2,"nodi":900,"ogni":10,"ogni_effettivo":10,"olon_part":false,"out":null,"passi":2000,"passi_effettivi":2000,"passi_per_frame":null,"pav_com":false,"plam":1.0,"plast_din":false,"plastmit":0.0,"polo_maturo":false,"regime":null,"scala":1.0,"seed":3,"seed_effettivo":3,"sep":6.0,"sep_effettivo":6.0,"size":null,"solo_materia":false,"spin_feedback":false,"spin_larmor":false,"spin_positivi":false,"spinore_corretto":true,"spinore_vivo":true,"sync":true,"sync_db":"out_sync_spinore\\db_off_s3.pkl","sync_spinore":false,"tau_d0":false,"tauloc":1.0,"tempo_proprio_orientato":false,"test":null,"tw_spinore":false,"verlet":false,"verso_chi":false,"viriale":false,"vista_rete":false,"zeta":0.75,"zeta_loc":false,"zeta_vir":false}
step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_spin_core,m0_spin_core_disp,m0_spin_axis_R,m0_omega_axis_R,m0_spin_core_cv,m0_Mdyn,m0_Mcoh,m0_Rinerzia,m0_Jrot,m0_Jshell_frac,m0_Ncore,m0_Nshell,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,m0_picco_picco,m0_picco_n_dominio,m0_picco_chi,m0_picco_spin,m0_picco_spin_x,m0_picco_spin_y,m0_picco_spin_z,m0_picco_spinor_alpha_re,m0_picco_spinor_alpha_im,m0_picco_spinor_beta_re,m0_picco_spinor_beta_im,m0_picco_coerenza,m0_picco_verso_x,m0_picco_verso_y,m0_picco_verso_z,m1_picco_picco,m1_picco_n_dominio,m1_picco_chi,m1_picco_spin,m1_picco_spin_x,m1_picco_spin_y,m1_picco_spin_z,m1_picco_spinor_alpha_re,m1_picco_spinor_alpha_im,m1_picco_spinor_beta_re,m1_picco_spinor_beta_im,m1_picco_coerenza,m1_picco_verso_x,m1_picco_verso_y,m1_picco_verso_z,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_feedback_arco,spin_cluster_modulo,spin_cluster_omega,spin_neel_modulo,spin_neel_omega,spin_axis_R,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ,m0_picco_spin_plus,m0_picco_spin_minus,m0_picco_contrasto,m0_picco_q_x,m0_picco_q_y,m0_picco_q_z,m0_picco_q_modulo,m0_picco_n_plus,m0_picco_n_minus,m1_picco_spin_plus,m1_picco_spin_minus,m1_picco_contrasto,m1_picco_q_x,m1_picco_q_y,m1_picco_q_z,m1_picco_q_modulo,m1_picco_n_plus,m1_picco_n_minus
0,824,138716,0.0,3.4175186790644446e-12,3.3086267386445474e-14,3.4175186790644446e-12,0.4288044861616822,6.773734556314035,5.754666906156844,-9.415890629703352,8.866864234946055,-0.0018445116585141207,9.415890629703352,2.8647273934035136e-05,12.566294799170857,6.492864937839063,-0.9715781507593705,0.9873516369626008,-0.011109385328191805,0.9873516369626008,0.13420368559705714,2.3999880544059473,1.2740103276092074,0.13420368559705714,2.3999880544138645,1.2738449504376004,0.0,0.05936919940752528,0.004476475127289097,1.0,1.0,1.0,0.016658550925325488,-0.1240595099530827,0,0,0,0.0,0.5958967458515685,372,0.9987,0.00677,0.4278139856051089,0.0,0.0,0.0,0.05226517201025643,0.0,1.8066924432126883e-13,1.4698044770811613e-13,0.0001806692443212688,1.1306381790029104e-12,9.121199919875396e-05,373,1,0,0,0,0.9985,372,0.5958967458515685,0.0,0.0,80.0,372.0,-0.0001713,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.0,372.0,-0.0807037,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,5.437871254427858e-18,5.955174082635931e-20,3.45489017226311e-19,5.407739290796926e-18,2.953222340879981e-15,1.607605021329225e-20,31.731512924817856,8.109011132125676,10.030178183762755,3.135372597880847,1.2144374376123417,1.527864081343122,-0.23963794693459228,0.0,0.9113628866745132,0.0,0.04260695369666195,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917265,0.609170287691728,0.609170287691728,0.76146285961466,1.1793379282922357e-14,372,0.9987,0.9989,-0.03299,0.0,2,0.9974,1.0,0.0,0.0,0.0,0.0,0.00167,1.0,1.27209,0.26953,0.9781,0.9813,1.0032,0.5206,2.8464,1.7197,1.2097,0.3558,14.1134,4.9583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,201.0
1,824,138716,5.58014271522438e-35,2.322393185439223e-12,2.726099172760419e-14,2.322393185439223e-12,0.42883696767011076,6.771503828193548,5.754662859216292,-9.331087395072618,9.083695031404291,-0.12791365374549027,9.331087395072618,0.0002924493461780031,12.566212842601614,6.122446350502251,-0.9715781524774049,0.987351638709063,-0.011109385347849382,0.987351638709063,0.13420368559705714,2.399988054406029,1.2740103276092078,0.13420342053947557,2.3999880544259895,1.2735182693305738,1.4142115624116159e-08,0.059369213549640906,0.004476489269404721,0.02337290120437141,1.4139313596662333,0.9775742320605207,0.01669032692751238,-0.12405953443533034,0,0,0,5.923120622364516e-26,0.5958967527677632,372,0.9851,0.00796,0.42825423592217937,0.0,0.0,0.0,0.052265172010256426,0.0,1.3348847018493008e-13,6.668250851298359e-14,0.00013348847018493007,9.796315026702137e-13,0.0,374,0,0,1,-1,0.9572,372,0.5958967527677632,0.007374,0.007374405423774988,80.0,372.0,0.0021343,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,452.0,372.0,-0.002619,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,2.696415649888909e-18,3.70966123665464e-20,1.737974043875555e-19,2.6818233169858326e-18,1.978631121007159e-15,4.726147767433887e-21,22.68212814225638,5.915707172978428,7.337369506243383,3.135322625116616,1.2144437933901795,1.5278757498769764,-0.2396180520177825,0.0,0.9113629841621266,6.440336342148388e-07,0.04260628989975537,1.4465320937040813e-05,0.0,621.4857873344093,289.7828177215713,0.6091702876917271,0.609170287691728,0.609170287691728,0.76146285961466,8.014254273939117e-15,372,0.8799,0.8456,-0.00143,0.039815,2,0.8687,0.9957,-3.126577,0.0,0.0,2.0,0.25633,0.81518,1.27209,0.26957,0.9781,0.9813,1.0032,0.5206,2.8464,1.7197,1.2097,0.3558,14.1134,4.9583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,171.0,201.0
2,824,138716,7.4659270267898376e-34,1.8371903002989013e-12,2.546969037694538e-14,1.8371903002989013e-12,0.42883696888952655,6.771503827423925,5.75466285964937,-9.413159181338592,9.384338147132254,-0.1060060767333105,9.413159181338592,0.000204853688902773,12.566307569696894,4.111206276514748,-0.9715781584349215,0.9873516461096558,-0.011109385328264861,0.9873516461096558,0.13420368559705714,2.3999880544061116,1.2740103276092085,0.13420335279773266,2.398715986862744,1.2728946375008479,2.8284231248232317e-08,0.05936922769175653,0.0044765034115203444,0.11781242713928264,1.3944017373774469,0.8557945445995188,0.016720429679330264,-0.1240595589065539,0,0,0,1.5076057138875465e-25,0.595896758109994,372,0.9265,0.01312,0.4286453434240512,0.0,0.0,0.0,0.05226518887397039,0.0,1.5494720280656509e-13,1.2072943505694017e-13,0.00015494720280656509,1.17620415706183e-12,0.0,374,0,0,0,0,0.839,372,0.595896758109994,-0.002473,-0.002473170419510451,80.0,372.0,0.0131188,1.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,452.0,372.0,0.0267072,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,2.308348946371644e-18,1.1296999828251945e-19,2.283336333612546e-19,2.2948694950238433e-18,1.6283247216783068e-15,5.5402804347652924e-21,24.36705591664466,6.487631348908862,8.453600974143392,3.1352722367208092,1.2144500595516303,1.5278873381731477,-0.23959807323350166,0.0,0.9113630826145878,6.505513177199203e-07,0.04260562768044724,1.4571590979928817e-05,0.0,621.4857873344093,289.7828177215713,0.6091702876917272,0.609170287691728,0.609170287691728,0.76146285961466,6.339886935822771e-15,372,0.7116,0.6521,0.00976,-0.000133,2,0.7666,0.9104,-0.004259,0.0,0.0,2.0,0.27583,0.91096,1.27209,0.26958,0.9781,0.9813,1.0032,0.5206,2.8464,1.7197,1.2097,0.3558,14.1134,4.9583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,171.0,201.0
3,825,138717,0.0,8.290645842234462e-11,1.789429274719657e-11,8.290645842234462e-11,0.42718145022715454,6.773324596176437,5.751606815916638,-9.399767708891709,8.85404367745744,-0.09005549709970602,9.399767708891709,0.0004616981710725554,12.565947787197612,3.57148742907792,-0.9767055464011266,0.9928141440413305,-0.010650994990027283,0.9928141440413305,0.13420368341061556,2.399988426052081,1.2735956125043353,0.14475696085295195,2.395599025233651,1.271746024837625,0.0,0.07284402915673133,0.01423497028275328,0.0002883567643080509,1.3754372357573608,0.6829294743631054,0.01674897733722183,-0.14134913063678226,0,0,0,7.572112075186354e-09,0.6094494098556101,372,0.8918,0.01207,0.4313607759751802,0.05254317144480113,0.43239138449703096,0.999978901862913,0.09205248063895287,1.0921126530392713,8.689397712244715e-09,7.573962146609813e-09,1.1472723977283388,2.7654258850236497e-09,0.07294211316003313,358,17,0,0,0,0.8918,372,0.6094494098556101,-1.275243,-1.2752434189491486,414.0,372.0,0.1016276,0.9999793,0.0006572,0.0005502,0.9999789,0.9999999,-5.8e-06,0.0003286,0.0002755,0.8952931,0.0006572,0.0005502,0.9999996,760.0,372.0,0.0578518,0.9999812,-0.0004645,-0.0001932,0.9999811,1.0,-0.0001212,-0.0002316,-9.64e-05,0.8090572,-0.0004645,-0.0001932,0.9999999,256,1.1167610869932059e-17,2.5003839774419673e-18,4.644195793030375e-18,1.1288734716144169e-17,1.5616701659663067e-11,5.968244220096206e-20,22.554401743092185,5.792661291235993,7.012172849444178,3.122516408607283,1.2532583860424924,1.5925771385896959,-0.08558921179129134,0.0,0.9079906214893477,0.008673907742037608,0.04080410784892076,0.1299601286952721,0.9967395087193228,621.4858042460763,289.7828256070461,0.6091702876916923,0.6091702876917215,0.609170287691728,0.7614628596146519,2.860985921048619e-13,372,0.7423,0.7423,0.01114,-0.306825,2,0.6641,0.7224,-0.024072,11.937,5.9687,2.0,0.27791,0.85411,1.27094,0.26137,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0385,0.9249,61,0.0582,0.9372,0.0,0.9999783,0.9999815,-1.6e-06,0.0003703,-0.0008434,0.1016243,0.1016285,186.0,186.0,0.9999794,0.9999834,-2e-06,0.0001441,-0.0003232,0.0578487,0.0578498,171.0,201.0
4,825,138717,6.0767372297666714e-15,7.936586518222302e-10,1.5532525091745236e-10,7.936586518222302e-10,0.42718132371076784,6.773324543874607,5.751606811625441,-9.21783060219782,8.864717477679777,-0.10984471276810445,9.21783060219782,0.0016734544824908023,12.566243071002594,3.330858416592361,-0.9790448269490664,0.998102878856376,-0.010665940497004025,0.998102878856376,0.1342071164672839,2.399986252476762,1.2735958025075205,0.16304707685708913,2.3956014130818515,1.2702318245028406,0.005009205581054619,0.08370220435968806,0.021842556611968187,4.872305124936638e-05,1.3659163781398693,0.5971272744776506,0.0167758573682438,-0.15820491392176356,0,0,0,2.0023585432279795e-08,0.6190904279669575,372,0.8334,0.01702,0.4313916751736636,0.0604888499668514,0.43443202571630224,0.9969511604729318,0.5399230494346601,1.092860393823935,2.6502573145372243e-08,2.002498866622167e-08,1.3234750634379644,8.192274868727155e-09,0.12212979519031286,352,23,0,0,0,0.8334,372,0.6190904279669575,-0.189844,-0.18984433354775532,414.0,372.0,0.0824607,0.9972878,-0.0539872,0.0288087,0.9954087,0.9995285,1.4e-06,-0.0270867,0.014462,0.8413189,-0.054134,0.028887,0.9981157,760.0,372.0,0.0102168,0.9831743,0.0513996,-0.0004445,0.9818297,0.9996634,-0.0003415,0.0259372,-0.0005355,0.7389208,0.0522792,-0.0004521,0.9986324,256,7.054199596973388e-18,1.5442177059498777e-18,2.7269104899588915e-18,1.5331811546697747e-16,1.125429932077535e-10,-3.1803971622472184e-20,20.163680642584914,5.732313660765465,6.94880638021927,3.107935592856248,1.1600905902117322,1.427173635545441,-0.07325335823261081,0.0,0.8998496680033033,0.015450205473754532,0.03710295500961472,0.42106652929318816,0.9816883149083468,621.4858321080512,289.7828385983675,0.6091702876913865,0.6091702876916825,0.609170287691728,0.761462859614603,2.7388048776836756e-12,372,0.6798,0.6798,0.01338,0.106144,2,0.5674,0.2011,0.003856,11.887,5.9437,2.0,0.27578,0.81597,1.26966,0.24118,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0565,0.7236,61,0.0685,0.9748,1.0,0.9972967,0.9973442,-2.38e-05,-0.0097743,-0.0033202,0.0819398,0.0825874,186.0,186.0,0.9810512,0.9857725,-0.0024005,0.0015169,-0.0204604,0.0076102,0.0218825,171.0,201.0
5,825,138717,1.5454333180859665e-14,3.709770706825087e-09,5.806918114446787e-10,3.709770706825087e-09,0.4271808607870596,6.773324426806156,5.751606798617555,-9.016528109181891,9.384995020056675,-0.1127034979904541,9.384995020056675,0.0004546643579275804,12.565858825378264,3.3325493836819047,-0.9791876407576466,1.0030168615920076,-0.010678873328176372,1.0030168615920076,0.13420751465840497,2.3999754940124083,1.273595749945861,0.15959485930692616,2.3816161743892463,1.2664930002077681,0.0057640692577779545,0.09531180084487449,0.02795190205787576,0.00016491153386188895,1.3867403919270398,0.6488200016174893,0.016800629463318072,-0.1746580633497146,0,0,0,2.0257436890020396e-08,0.6189219132182757,372,0.7974,0.02071,0.43181297445171,0.06220419950396694,0.4335046378334071,0.9965299694069119,0.6771268351021691,1.0878639652684323,2.8572562952631274e-08,2.0257103882091085e-08,1.4104959484307984,8.90211279720752e-09,0.1700921216801524,338,37,2,2,0,0.7974,372,0.6189219132182757,-0.082946,-0.0829464099586461,413.0,372.0,0.07794,0.9968657,-0.0469696,0.0253673,0.9954354,0.9996409,-2.9e-05,-0.0235754,0.0127403,0.8114415,-0.0471173,0.025447,0.9985652,760.0,372.0,0.0323056,0.1394573,0.0387202,0.0080357,0.133733,-0.9735611,-0.0018227,-0.2280317,-0.0133036,0.7175455,0.2776489,0.0576211,0.958953,256,5.919194626987743e-17,1.3496016058174935e-18,4.339324039668639e-18,1.1092361202780486e-15,3.363710730648979e-10,4.689452823882326e-19,23.86802240038392,5.751116419196548,7.270454032756787,3.1341031432847735,1.221995296337639,1.570275735600007,0.20009733800800733,0.0,0.5434784981913849,0.041195309318509385,0.04699755476557796,0.6036516864295092,0.17290466467710222,621.4858462368344,289.7828451862552,0.609170287690131,0.6091702876916492,0.609170287691728,0.7614628596145614,1.2801898968314245e-11,372,0.6393,0.6393,0.01289,0.165803,2,0.5104,0.1378,0.001968,11.9,5.9499,2.0,0.28097,0.80091,1.26844,0.20384,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0595,0.4416,61,0.054,0.9515,1.0,0.9970746,0.9966921,0.0001919,-0.0077967,-0.0049015,0.0777599,0.0783033,186.0,186.0,0.0926279,0.2468422,-0.4542794,-0.0933418,0.0284711,-0.0642565,0.1168426,171.0,201.0
6,825,138717,4.48710172878675e-14,1.1899844767718607e-08,1.7136995612697056e-09,1.1899844767718607e-08,0.4271802216744606,6.773324499004403,5.751606780312962,-9.416968848663014,9.12853396840025,-0.13101468537324223,9.416968848663014,0.0011449419500857343,12.565939956452672,3.5498306270379563,-0.979533979620251,1.0074747165184734,-0.010722102746096819,1.0074747165184734,0.1342078914471742,2.399968891389479,1.2735958139155126,0.15034493668735957,2.3805359861733457,1.2597679465653637,0.0066937505957052395,0.10752621032614665,0.03384736550534238,0.0072385972093742534,1.4137442743988764,0.936321011246497,0.016822631959918753,-0.1905320599366991,0,0,0,2.4772680415836797e-08,0.6223175996358172,372,0.7791,0.02141,0.4326536546533093,0.06070834727166354,0.4342617184500143,0.9953319947190888,0.9104737598185139,1.08188447497755,3.4148224259787944e-08,2.4838364239929954e-08,1.3748177589284054,1.0573044933517998e-08,0.16380233281253095,334,41,0,0,0,0.7791,372,0.6223175996358172,-0.044987,-0.044987096541071026,413.0,372.0,0.0589916,0.9954722,-0.0260235,0.016651,0.9949926,0.9998793,-8.8e-06,-0.0130859,0.0083754,0.7870231,-0.0261419,0.0167267,0.9995183,760.0,372.0,0.0418981,0.0649643,0.0247571,-0.0271654,-0.0535676,0.992318,0.0636954,-0.0695763,0.0800436,0.7085215,0.3810879,-0.4181596,-0.8245693,256,1.0256358047080817e-16,9.452762915990144e-18,1.668267767982599e-17,7.758498705583668e-15,8.922913194568115e-10,-3.671475495201009e-19,24.45351594638572,6.757820890403796,8.396836965935448,3.1411734487200746,1.2941535890595928,1.6326085149840857,-0.0017736644050253478,0.0,0.4368556326582712,0.025038045832616554,0.03080824742133813,1.4265812663710562,0.028433389076351914,621.485852123264,289.78284793094576,0.6091702876866052,0.6091702876916325,0.609170287691728,0.7614628596145406,4.106469672958111e-11,372,0.6312,0.6312,0.01419,0.137434,2,0.4932,0.1334,0.001247,11.89,5.9449,2.0,0.29341,0.77523,1.26738,0.15389,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0458,-0.934,61,0.0384,-0.9128,-1.0,0.9969704,0.9939313,0.0015265,-0.0101879,-0.0068219,0.0601236,0.061361,186.0,186.0,0.0696835,0.0874882,-0.1132824,0.0365434,0.001534,0.024302,0.0439131,171.0,201.0
7,827,138719,0.0,2.7395144550915127e-08,4.2285047768013544e-09,2.7395144550915127e-08,0.43231002140661506,6.786819563932297,5.75119068754183,-9.270487110770128,8.954267630932986,-0.14918975584496458,9.270487110770128,0.0007958261559970481,12.565728104005148,3.6848540002153345,-0.9837981144794109,1.0116256123546297,-0.010878864466102317,1.0116256123546297,0.13422816824051773,2.3999654860231296,1.2724483170969754,0.15545596926421748,2.3797082126417504,1.237389085511599,0.0,0.12166278244088385,0.04292481572856314,0.001848000287965501,1.4141419763713299,0.9238570480275531,0.01684085768257044,-0.2058834178122157,0,0,0,1.6648989681224676e-07,0.6292826619189944,374,0.7769,0.02211,0.4349366338507834,0.04852042924936448,0.4396828083316007,0.413956995691859,0.904944160786799,1.0911245534890555,2.063962150175191e-07,1.669228449927021e-07,1.2364767388582598,6.14483151553249e-08,0.0656234725570776,343,34,0,0,0,0.7769,374,0.6292826619189944,-0.07875,-0.07875031954087497,413.0,372.0,0.0558244,0.3739389,0.2757825,-0.2393996,-0.0803874,0.5936572,-0.0026945,0.6786352,-0.4324559,0.8340029,0.7375069,-0.6402105,-0.2149746,760.0,372.0,0.0417449,0.0753458,0.0441153,-0.0512223,-0.0332732,0.5160262,-0.2033501,0.6054009,0.5708375,0.7044406,0.5855042,-0.6798298,-0.4416065,256,7.091449377714713e-16,5.593407407370956e-18,4.482574040947221e-17,2.4693688167772693e-14,2.1512433370736423e-09,-2.6939760769329247e-18,32.72757096287247,8.384803809996235,10.810385569955248,3.126868387233156,1.1481588844762767,1.521829587429905,-0.007640090695427579,0.0,0.23335304007727603,0.9341049414089672,0.05558833005137972,1.1842614914528544,0.09248328561016404,621.4859408690705,289.7828893108299,0.6091702876799345,0.6091702876911919,0.609170287691728,0.7614628596139897,9.453679137531915e-11,372,0.6311,0.6311,0.01499,0.083666,2,0.4931,0.152,0.000459,11.862,5.9309,2.0,0.30583,0.75586,1.26833,0.18413,0.9775,0.9818,1.0044,0.5212,3.0285,1.7221,1.2114,0.2799,14.2321,4.6994,80,0.1668,-0.9291,61,0.1574,-0.9127,2.0,0.530915,0.2016348,0.4494988,0.1566609,-0.0972073,-0.0375455,0.1881531,186.0,186.0,0.121201,0.098672,0.102464,-0.0217521,-0.0013923,-0.0793027,0.0822436,171.0,201.0
8,840,138735,0.0,5.2494944201841417e-08,8.33468351005379e-09,5.2494944201841417e-08,0.48096939958390617,6.879329192450083,5.753527272718191,-9.378525751653555,9.065974209729873,-0.16959423986637148,9.378525751653555,0.0010172582018169226,12.565229753091861,3.8594452281079157,-0.9892345249927563,1.016183131113372,-0.010786051896056834,1.016183131113372,0.13429165806677493,2.3999741192925614,1.266560517956575,0.16022002660244725,2.3780462692196673,1.1841120712239794,0.0,0.1356753958314948,0.05179821147945221,0.004510329876588726,1.414151107497192,0.9076885147072313,5.2099848870144114e-12,-0.2208968077328069,0,0,0,9.066967818858516e-07,0.6160015322172572,387,0.7496,0.02027,0.43699006888431247,0.046787912149187906,0.4414972337185052,0.01674788492968188,0.2749893538973727,1.1036419023691797,1.060129900243229e-06,9.07783750292712e-07,1.1678220720533865,3.2369520149069236e-07,0.06361080674724985,345,45,0,0,0,0.7496,387,0.6160015322172572,0.068481,0.06848075275494603,413.0,372.0,0.0857315,0.0443122,-0.0246798,0.0357372,0.0087935,0.4728045,0.1112814,0.2137616,0.847572,0.8750814,-0.5569533,0.8064879,0.1984449,777.0,372.0,0.0079232,0.0860546,0.0317193,0.0339762,0.0724217,0.0782921,0.2300052,0.9302962,-0.2748034,0.7031117,0.3685953,0.3948211,0.8415782,256,1.274053066229933e-16,1.0349197793555676e-17,1.6556484191301285e-17,8.8144419825363e-14,4.848444926050982e-09,-1.7938103616884666e-18,24.610944079351036,6.957687717417038,8.56793330933211,3.118015364196687,1.148415926745672,1.4835393713331106,-0.05205771288426423,0.0,0.02978491283857349,1.0915979989206568,0.023594116457173294,1.316456373897858,0.04801466506889399,621.4861052070258,289.78296593738634,0.6091702876691291,0.6091702876894297,0.609170287691728,0.7614628596117871,1.811526223842434e-10,372,0.631,0.631,0.01552,0.123686,2,0.4751,0.1742,-0.002092,11.9,5.95,2.0,0.31739,0.74617,1.28193,0.21203,0.9769,0.9826,1.0058,0.5238,2.6457,1.8814,1.1994,0.6299,14.0519,5.3112,81,0.2016,-0.945,61,0.1912,-0.8667,-1.0,0.0587709,0.0331525,0.2786928,-0.0177219,0.0065683,0.0132062,0.0230567,186.0,186.0,0.1086732,0.1073169,0.0062792,0.0520616,-0.0393239,-0.0020662,0.0652767,171.0,201.0
9,879,138786,0.0,9.073815424842009e-08,1.3975535737246723e-08,9.073815424842009e-08,0.6651443559929366,7.137276735887111,5.7426024752068,-9.407445490979127,9.406382011959476,-0.1624619336257162,9.407445490979127,0.0023572192834302036,12.56590073065837,4.069336415632728,-0.9916406226350416,1.0197748372795734,-0.011666946789786354,1.0197748372795734,0.13432848496595812,2.4000000274087436,1.2594623507466478,0.11790072921476857,2.377376231742281,1.1156524921337339,0.0,0.1498168759960094,0.05816438872175111,0.0003043517825153108,1.4139497519765374,0.868813799790901,7.513416513381905e-13,-0.2350609712068958,0,0,0,2.173284605636635e-06,0.5824102578824838,426,0.6471,0.01467,0.4353602905937758,0.022934208439286542,0.4401868491472939,0.06539250289400654,0.28145006598786454,1.1259448384486792,2.5620082951221577e-06,2.173435862828399e-06,1.1787825621815635,8.343947220050226e-07,0.060223353250365284,362,67,0,0,0,0.6471,426,0.5824102578824838,0.062657,0.06265696749694705,414.0,374.0,0.0490713,0.0619892,0.0390894,-0.0061969,-0.0477104,-0.6293718,0.1250063,-0.709877,0.2904122,0.8667017,0.6305833,-0.0999669,-0.7696566,777.0,372.0,0.0443761,0.0602396,-0.040899,-0.0230192,-0.037765,-0.4390216,0.07938,0.8884383,0.1078715,0.6906718,-0.6789392,-0.3821278,-0.626913,256,9.364602694721353e-17,2.1585587131027096e-17,3.117234014698854e-17,1.9513610165307308e-13,7.722874541899875e-09,-2.532486461094573e-18,16.658198880531284,5.520878610772948,6.751466510819532,3.0632672574108755,1.0287899202576503,1.3511729421240155,0.10115347152369762,0.0,0.04327189329261796,2.691472722966016,0.02427325910533049,2.045545956319104,0.046935124065924164,621.4862134426269,289.7830164048597,0.6091702876526653,0.6091702876875981,0.609170287691728,0.7614628596094976,3.131244728353873e-10,372,0.6337,0.6337,0.01639,-0.033414,2,0.4108,0.1905,0.000354,11.989,5.9943,2.0,0.32415,0.73931,1.31996,0.18469,0.9753,0.9828,1.0077,0.529,2.4565,1.8015,1.0809,4.0708,11.0272,4.489,81,0.1596,-0.9889,60,0.1833,-0.9375,0.0,0.0823414,0.043832,0.3052107,0.0070355,-0.0144006,-0.0223617,0.0275122,188.0,186.0,0.0709984,0.0509256,0.1646342,-0.0112137,0.0057384,-0.0120719,0.0174473,171.0,201.0
