# RUN_PARAMS {"alfanat":0.0,"batch":true,"bussola":1,"calore_scal":false,"calore_vett":false,"chi_basc":false,"chi_core":false,"chi_da_spinore":false,"coppia":1.0,"costanti_effettive":{"CS_M":2.0,"GAMMA":0.05,"K_C":2.0,"LAM":0.8,"PHI_CRIT":6.283185307179586,"SCALA_B":1.0},"cs_dinamico":false,"csv":"out_sync_spinore\\cond_on_s3.csv","da_libera":false,"db_cleanup":false,"db_ogni":200,"denoise":false,"diaglog":"out_sync_spinore\\on_s3.csv","diffres":0.0,"dpi":100,"elast_c":null,"fps":20,"frames":0,"gamma":0.05,"giri":1.0,"guscio_morbido":false,"ham":0.0,"kfrange":0.0,"lam":0.8,"leggi_attive":{"CHI_BASC":false,"CHI_CORE":false,"CS_DINAMICO":false,"LS_AZIM":false,"OLON_PART":false,"PAV_COM":false,"PLAST_DIN":false,"POLO_MATURO":false,"REGIME":"deterministico","SPINORE":true,"SPINORE_VIVO":true,"SPIN_FEEDBACK":false,"SPIN_LARMOR":false,"SYNC_UPDATE":true,"TAU_USA_D0":false,"VERLET":false,"VERSO_CHI":false,"VIRIALE":false,"ZETA_LOC":false,"ZETA_VIR":false},"ls_azim":false,"maxnodi":4000000,"mitmax":0,"mupsi":-0.05,"nmasse":2,"nmasse_effettive":2,"nodi":900,"ogni":10,"ogni_effettivo":10,"olon_part":false,"out":null,"passi":2000,"passi_effettivi":2000,"passi_per_frame":null,"pav_com":false,"plam":1.0,"plast_din":false,"plastmit":0.0,"polo_maturo":false,"regime":null,"scala":1.0,"seed":3,"seed_effettivo":3,"sep":6.0,"sep_effettivo":6.0,"size":null,"solo_materia":false,"spin_feedback":false,"spin_larmor":false,"spin_positivi":false,"spinore_corretto":true,"spinore_vivo":true,"sync":true,"sync_db":"out_sync_spinore\\db_on_s3.pkl","sync_spinore":true,"tau_d0":false,"tauloc":1.0,"tempo_proprio_orientato":false,"test":null,"tw_spinore":false,"verlet":false,"verso_chi":false,"viriale":false,"vista_rete":false,"zeta":0.75,"zeta_loc":false,"zeta_vir":false}
step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_spin_core,m0_spin_core_disp,m0_spin_axis_R,m0_omega_axis_R,m0_spin_core_cv,m0_Mdyn,m0_Mcoh,m0_Rinerzia,m0_Jrot,m0_Jshell_frac,m0_Ncore,m0_Nshell,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,m0_picco_picco,m0_picco_n_dominio,m0_picco_chi,m0_picco_spin,m0_picco_spin_x,m0_picco_spin_y,m0_picco_spin_z,m0_picco_spinor_alpha_re,m0_picco_spinor_alpha_im,m0_picco_spinor_beta_re,m0_picco_spinor_beta_im,m0_picco_coerenza,m0_picco_verso_x,m0_picco_verso_y,m0_picco_verso_z,m1_picco_picco,m1_picco_n_dominio,m1_picco_chi,m1_picco_spin,m1_picco_spin_x,m1_picco_spin_y,m1_picco_spin_z,m1_picco_spinor_alpha_re,m1_picco_spinor_alpha_im,m1_picco_spinor_beta_re,m1_picco_spinor_beta_im,m1_picco_coerenza,m1_picco_verso_x,m1_picco_verso_y,m1_picco_verso_z,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_feedback_arco,spin_cluster_modulo,spin_cluster_omega,spin_neel_modulo,spin_neel_omega,spin_axis_R,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ,m0_picco_spin_plus,m0_picco_spin_minus,m0_picco_contrasto,m0_picco_q_x,m0_picco_q_y,m0_picco_q_z,m0_picco_q_modulo,m0_picco_n_plus,m0_picco_n_minus,m1_picco_spin_plus,m1_picco_spin_minus,m1_picco_contrasto,m1_picco_q_x,m1_picco_q_y,m1_picco_q_z,m1_picco_q_modulo,m1_picco_n_plus,m1_picco_n_minus
0,824,138716,0.0,3.4175185969571702e-12,3.3086266711608026e-14,3.4175185969571702e-12,0.42880448616169065,6.773734556314035,5.754666906156844,-9.415890629631601,8.8668642348743,-0.0018445116585231343,9.415890629631601,2.8647273934035136e-05,12.566294799170857,6.492864937218248,-0.9715781507593705,0.9873516369626008,-0.011109385328191584,0.9873516369626008,0.13420368559705714,2.3999880544056493,1.274010327609204,0.13420368559705714,2.399988054413556,1.2738449603166444,0.0,0.059369199407526475,0.004476475127289312,1.0,1.0,1.0,0.016658550925325488,-0.12405950995305448,0,0,0,0.0,0.5958967458515685,372,0.9987,0.00677,0.4278139856051089,0.0,0.0,0.0,0.05226517201025643,0.0,1.8066924401494412e-13,1.4698044781255427e-13,0.0001806692440149441,1.1306381765910392e-12,9.121199678785305e-05,373,1,0,0,0,0.9985,372,0.5958967458515685,0.0,0.0,80.0,372.0,-0.0001713,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.0,372.0,-0.0807037,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,5.439438482705779e-18,5.954402888282006e-20,3.4558202582663614e-19,5.409378373762178e-18,2.953222312411485e-15,1.606740594244615e-20,31.73151292481786,8.109011090333075,10.03017816057524,3.1340608799739744,1.2147174835729877,1.5281135114784128,-0.2398071477229841,0.0,0.9113421841882978,0.0,0.04260419839127407,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917265,0.609170287691728,0.609170287691728,0.76146285961466,1.179337899958163e-14,372,0.9987,0.9989,-0.03299,0.0,2,0.9974,1.0,0.0,0.0,0.0,0.0,0.00167,1.0,1.27209,0.26953,0.9781,0.9813,1.0032,0.5206,2.8464,1.7197,1.2097,0.3558,14.1134,4.9583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,201.0
1,824,138716,5.580142717425477e-35,2.322393110526978e-12,2.7260991077972457e-14,2.322393110526978e-12,0.4288369676701248,6.771503828193548,5.7546628592162925,-9.331087925974323,9.083695031439396,-0.1279136537481875,9.331087925974323,0.0002924493461780031,12.566212842601614,6.122446350496161,-0.9715781524774049,0.987351638709063,-0.011109385347845996,0.987351638709063,0.13420368559705714,2.399988054405731,1.2740103276092045,0.13420342053947557,2.399988054425656,1.273518242695887,1.4142115624116159e-08,0.0593692135496421,0.004476489269404937,0.023372897130387704,1.4139313596675929,0.9775742323264459,0.01669032692751238,-0.1240595344353021,0,0,0,5.923120622227596e-26,0.5958967527677632,372,0.9851,0.00796,0.4282542359219595,0.0,0.0,0.0,0.052265172010256426,0.0,1.3348846981433913e-13,6.668250840274327e-14,0.00013348846981433912,9.796314997521934e-13,0.0,374,0,0,1,-1,0.9572,372,0.5958967527677632,0.007374,0.00737440542377743,80.0,372.0,0.0021343,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,452.0,372.0,-0.002619,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,2.697185872307055e-18,3.710111525804655e-20,1.7384461993670143e-19,2.68263649385367e-18,1.9786310989361526e-15,4.7201422553820005e-21,22.68212814225638,5.915707190732725,7.337369515152799,3.134009959461368,1.214723946501667,1.5281251919034589,-0.23978736820250013,0.0,0.911342279908326,6.421345897440796e-07,0.042603534080405646,1.4479765875271593e-05,0.0,621.4857873344093,289.7828177215713,0.6091702876917271,0.609170287691728,0.609170287691728,0.76146285961466,8.01425401542743e-15,372,0.8799,0.8456,-0.00143,0.039815,2,0.8687,0.9957,-3.126577,0.0,0.0,2.0,0.25633,0.81518,1.27209,0.26957,0.9781,0.9813,1.0032,0.5206,2.8464,1.7197,1.2097,0.3558,14.1134,4.9583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,171.0,201.0
2,824,138716,7.4659270267448085e-34,1.8371903002833497e-12,2.5469690518642074e-14,1.8371903002833497e-12,0.42883696888954326,6.771503827423925,5.754662859649371,-9.41315918133858,9.384338147102731,-0.10600607649579723,9.41315918133858,0.0002048536906524845,12.566307569687064,4.111206278062665,-0.9715781584349215,0.9873516461096556,-0.011109385328262113,0.9873516461096556,0.13420368559705714,2.3999880544058136,1.2740103276092047,0.13420335279773268,2.3987165069444076,1.2728945799340274,2.8284231248232317e-08,0.059369227691757724,0.0044765034115205595,0.11781242717275486,1.3944017373776312,0.8557945430398066,0.016720429679330264,-0.12405955890650351,0,0,0,1.5076057137344758e-25,0.595896758109994,372,0.9265,0.01312,0.42864534342373745,0.0,0.0,0.0,0.052265188683057705,0.0,1.549472107656251e-13,1.2072944137976594e-13,0.0001549472107656251,1.1762042197329196e-12,0.0,374,0,0,0,0,0.839,372,0.595896758109994,-0.002473,-0.0024731704197817894,80.0,372.0,0.0131188,1.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,452.0,372.0,0.0267072,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,2.309001653378256e-18,1.129734626415311e-19,2.283559671924956e-19,2.2955657196822216e-18,1.6283247403870877e-15,5.530128093893604e-21,24.367055916644652,6.487631364405212,8.453601001788149,3.1339586251529363,1.214730320287649,1.5281367921850855,-0.2397675053651321,0.0,0.9113423765910262,6.483289574923358e-07,0.042602871351927626,1.4586486312117514e-05,0.0,621.4857873344093,289.7828177215713,0.6091702876917272,0.609170287691728,0.609170287691728,0.76146285961466,6.339886935769105e-15,372,0.7116,0.6521,0.00976,-0.000133,2,0.7666,0.9104,-0.004259,0.0,0.0,2.0,0.27583,0.91096,1.27209,0.26958,0.9781,0.9813,1.0032,0.5206,2.8464,1.7197,1.2097,0.3558,14.1134,4.9583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,171.0,201.0
3,825,138717,0.0,8.290645859674019e-11,1.7894292633649903e-11,8.290645859674019e-11,0.42718145006302083,6.7733245961760105,5.751606815916199,-9.39976770767718,8.854043677395348,-0.09005549695762229,9.39976770767718,0.0004616981246350349,12.565947787139173,3.571487462003993,-0.9767055459370244,0.9928141436097128,-0.010650994998482932,0.9928141436097128,0.13420368341061553,2.399988426544247,1.273595612532455,0.14475696082648234,2.3955990242408043,1.2717311568362535,0.0,0.07284402915801061,0.014234970285409522,0.000288356748279206,1.3754372358544988,0.6829294759777624,0.016748977337221013,-0.14134909619562777,0,0,0,7.572112103677019e-09,0.6094494097742065,372,0.8918,0.01207,0.4313607758400626,0.052543171382213524,0.4323913842961604,0.9999789008937094,0.09173928342618506,1.0921126529467127,8.689397744361065e-09,7.57396217512811e-09,1.1472723976488683,2.7654258964231134e-09,0.07294211309416905,358,17,0,0,0,0.8918,372,0.6094494097742065,-1.275243,-1.2752434179433234,414.0,372.0,0.1016276,0.9999793,0.0006525,0.0005518,0.9999789,0.9999999,-5.8e-06,0.0003263,0.0002763,0.8952931,0.0006526,0.0005518,0.9999996,760.0,372.0,0.0578518,0.9999812,-0.0004648,-0.000193,0.9999811,1.0,-0.0001212,-0.0002318,-9.63e-05,0.8090572,-0.0004648,-0.000193,0.9999999,256,1.1361939154229521e-17,1.5195642870123213e-19,7.46129691361937e-19,1.1483468133331439e-17,1.561670166875865e-11,6.438344360610218e-20,22.554401743058715,5.7926619018121634,7.012173656674325,3.1383272887790956,1.2714441568109924,1.6133377768626613,-0.04339684811632134,0.0,0.9082076778563561,0.00802611831675096,0.040610824976124164,0.10989031148242077,0.9967480403836939,621.4858042460763,289.7828256070461,0.6091702876916923,0.6091702876917215,0.609170287691728,0.7614628596146519,2.8609859270667666e-13,372,0.7423,0.7423,0.01114,-0.306825,2,0.6641,0.7224,-0.024072,11.937,5.9687,2.0,0.27791,0.85411,1.27094,0.26137,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0385,0.9249,61,0.0582,0.9372,0.0,0.9999783,0.9999815,-1.6e-06,0.0003696,-0.0008433,0.1016243,0.1016285,186.0,186.0,0.9999794,0.9999834,-2e-06,0.0001441,-0.0003233,0.0578487,0.0578498,171.0,201.0
4,825,138717,6.076735212395936e-15,7.936586505019627e-10,1.5532525950868392e-10,7.936586505019627e-10,0.4271813254776279,6.773324543851777,5.751606811562754,-9.2178302056865,8.864691562235723,-0.10984471336116887,9.2178302056865,0.0016734544867395757,12.566243070948993,3.330857002622239,-0.9790448262791516,0.9981028780534336,-0.01066594053540512,0.9981028780534336,0.13420711646727018,2.3999862538757486,1.2735957938864622,0.16304707677120817,2.3905722219886525,1.2706500095518072,0.005009205580174781,0.08370220436202143,0.021842556619626266,4.8723124343785784e-05,1.3659163798164369,0.5971272297752136,0.01677585736824902,-0.1582048801967935,0,0,0,2.002358548589352e-08,0.6190904278961817,372,0.8334,0.01702,0.4313916749826981,0.06048884988779765,0.4344320254463581,0.9969120535098969,0.5439110451356415,1.0928603983601064,2.6502572967521768e-08,2.0024988930320395e-08,1.3234750371019421,8.192273637769574e-09,0.1221296535138934,352,23,0,0,0,0.8334,372,0.6190904278961817,-0.189844,-0.18984433387610933,414.0,372.0,0.0824607,0.997297,-0.0540977,0.0258387,0.9954934,0.9995474,2.1e-06,-0.0271437,0.0129705,0.8413189,-0.0542443,0.0259088,0.9981915,760.0,372.0,0.0102168,0.9841003,0.0470994,0.0047216,0.9829612,0.9997158,-0.0003396,0.0237368,0.0021665,0.7389208,0.0478604,0.0047979,0.9988425,256,3.896763691208305e-17,6.635234359454135e-19,2.580788343193437e-18,1.5408516085172243e-16,1.1254299350274688e-10,1.2357172149351985e-19,20.163681455685364,5.732319102373603,6.948799502482535,3.0961093856464172,0.981306629841757,1.2749281111459656,-0.05934896400853601,0.0,0.8837520649808076,0.019761906736021715,0.046457284352476175,0.3508667136265077,0.9827096794580262,621.4858321080512,289.7828385983675,0.6091702876913865,0.6091702876916825,0.609170287691728,0.761462859614603,2.7388048731276173e-12,372,0.6798,0.6798,0.01338,0.106144,2,0.5674,0.2011,0.003856,11.887,5.9437,2.0,0.27578,0.81597,1.26966,0.24118,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0565,0.7237,61,0.0684,0.9748,1.0,0.9972798,0.9974031,-6.18e-05,-0.0104615,-0.0043512,0.0818764,0.0826567,186.0,186.0,0.9820617,0.9865727,-0.0022914,0.0025835,-0.0193725,0.0077809,0.0210359,171.0,201.0
5,825,138717,1.5454374399331318e-14,3.7103619531558584e-09,5.810634141526022e-10,3.7103619531558584e-09,0.42718083067409046,6.773324426957984,5.751606798426294,-9.016528109159351,9.385377748977332,-0.11270352600061732,9.385377748977332,0.0004546643372166822,12.56585883147139,3.3325607130212016,-0.9791876401464238,1.003016860427206,-0.010678873237912636,1.003016860427206,0.13420751453909702,2.399975093021963,1.2735957362941157,0.15959503702793,2.382046112965452,1.2678261267222977,0.005764069257222162,0.09531180070503238,0.027951902319613014,0.0001648301941928887,1.3867134313305454,0.6488100710434739,0.016800629465012425,-0.17465803032320779,0,0,0,2.0257436957451723e-08,0.6189219131207225,372,0.7974,0.02071,0.4318129742496997,0.06220419944789782,0.43350463756823726,0.9964953358245473,0.6830792262498145,1.0878639654103428,2.8572562781508252e-08,2.0257104216178787e-08,1.4104959167208184,8.902111569250555e-09,0.17009199150057694,338,37,2,2,0,0.7974,372,0.6189219131207225,-0.082946,-0.08294640992490221,413.0,372.0,0.07794,0.996891,-0.0469035,0.0225378,0.995532,0.9996587,-3.64e-05,-0.0235431,0.0113194,0.8114415,-0.0470498,0.0226081,0.9986367,760.0,372.0,0.0322274,0.1872938,0.1775666,-0.0247123,0.0542068,-0.840594,-0.0062482,-0.5384067,0.058999,0.7174008,0.9480645,-0.1319442,0.2894209,256,3.3273365776563e-17,8.736957580205942e-19,2.4808264513327496e-18,1.4582834280659253e-15,3.365138205167464e-10,-1.4040819506926752e-19,23.868027207719635,5.7509773350197655,7.270396518517964,3.1270492948918,1.081804085938264,1.3866304867825114,0.14886540577049334,0.0,0.5537661920809676,0.1255139356269601,0.05637453661961099,0.9934949689559537,0.20989009421563268,621.4858462368344,289.7828451862552,0.6091702876901307,0.6091702876916492,0.609170287691728,0.7614628596145614,1.2803939276567797e-11,372,0.6395,0.6395,0.01293,0.165383,2,0.5106,0.1374,0.001971,11.9,5.9498,2.0,0.28097,0.80091,1.26844,0.2037,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0595,0.4415,61,0.0539,0.9515,1.0,0.9970678,0.9967764,0.0001462,-0.0086264,-0.0059526,0.0776838,0.0783876,186.0,186.0,0.1343849,0.2865479,-0.3614902,-0.0894676,0.0499671,0.0499221,0.1139885,171.0,201.0
6,825,138717,4.4878077552340457e-14,1.1843957790578155e-08,1.7148925492526138e-09,1.1843957790578155e-08,0.4271801158989739,6.773324549041931,5.751606779229503,-9.416968846491775,9.128533962934258,-0.1309059603184201,9.416968846491775,0.0011449419065211542,12.5659399563938,3.5498416655625062,-0.9795339705108462,1.0074746142592106,-0.010722098271627416,1.0074746142592106,0.134207890990761,2.399954312393061,1.2735958099866869,0.15033990470099434,2.3905720542062934,1.2621753011074972,0.006693750597166493,0.10752621036320947,0.033847375797724386,0.007194402293360103,1.4137384924328469,0.936157615797533,0.01682258396798747,-0.19052215748234785,0,0,0,2.4772679101960082e-08,0.6223175993781989,372,0.7791,0.02141,0.43265365224802094,0.060708350085055145,0.4342617147914918,0.9952777490274471,0.9127611612936591,1.0818846010994034,3.414822332451386e-08,2.483836286736288e-08,1.3748177972463698,1.0573044745854503e-08,0.16380233676465566,334,41,0,0,0,0.7791,372,0.6223175993781989,-0.044987,-0.04498710426691144,413.0,372.0,0.0589915,0.9955,-0.0257606,0.0149666,0.9950541,0.9998877,-2.36e-05,-0.0129542,0.0075291,0.7870231,-0.025877,0.0150343,0.9995521,760.0,372.0,0.0416421,0.0521584,0.0295758,0.0153284,-0.0401349,0.7783522,0.2294141,0.5835961,-0.0308646,0.708294,0.5670388,0.2938822,-0.7694805,256,1.3057550126843582e-16,4.97722734081194e-18,1.0973190932957999e-17,7.577950751918643e-15,8.925500143339555e-10,-6.80419869428193e-19,24.45351645590488,6.757684189238818,8.39689199416293,3.1340227943297245,1.2644756613435941,1.6019544362678408,0.0922736647828101,0.0,0.4432113275361108,0.1428471258416356,0.013382277596885074,0.8788903871474905,0.025716621278165985,621.4858521232616,289.7828479309446,0.6091702876866293,0.6091702876916325,0.609170287691728,0.7614628596145406,4.087183860309281e-11,372,0.6314,0.6314,0.01423,0.1372,2,0.4933,0.1328,0.001248,11.89,5.9448,2.0,0.29339,0.7754,1.26738,0.15386,0.9774,0.9817,1.0044,0.52,2.8467,1.7199,1.2454,0.3558,14.1149,4.9583,81,0.0459,-0.9346,61,0.0385,-0.9131,-1.0,0.9969385,0.9940778,0.0014368,-0.0115232,-0.0082699,0.0600155,0.0616688,186.0,186.0,0.0911383,0.0412751,0.3765726,-0.0089249,0.0235541,-0.0439726,0.0506758,171.0,201.0
7,827,138719,0.0,2.7230609730520086e-08,4.231473429170835e-09,2.7230609730520086e-08,0.43230959996628726,6.786819689020767,5.75119068069626,-9.270501603337737,8.948728227415687,-0.14904280828186608,9.270501603337737,0.0009127361114913413,12.5657183423632,3.6848465761343876,-0.9837853196812564,1.0116244857620433,-0.010878960152547976,1.0116244857620433,0.1342279804365939,2.399882266341926,1.2724486242208253,0.15536628980241327,2.387935555368162,1.2435437812401362,0.0,0.12166271401157829,0.04291574199268886,0.004772825370058076,1.414141222212705,0.9266922464701753,0.016840629997524212,-0.20597406311874933,0,0,0,1.6566482119047715e-07,0.6293286482775319,374,0.7768,0.02209,0.4349312195795397,0.04853151076010799,0.4396811220910252,0.41490586117229117,0.9077653696067123,1.0911208068950238,2.05393989380581e-07,1.660966627930456e-07,1.2365931134721193,6.114274870210978e-08,0.06924159375013399,342,35,0,0,0,0.7768,374,0.6293286482775319,-0.078619,-0.07861874644106193,413.0,372.0,0.0557756,0.3736687,0.2918672,-0.2249668,-0.0619015,0.5935037,-0.0035002,0.707012,-0.3845454,0.833935,0.7810855,-0.6020487,-0.1656587,760.0,372.0,0.041378,0.048028,-0.0004334,-0.004563,0.0478088,-0.0761426,-0.1009363,0.9910208,0.0434974,0.7041093,-0.0090234,-0.0950063,0.9954358,256,1.4389877628772595e-16,4.7577224856818405e-18,1.1869319968189198e-17,2.98051420428956e-14,2.151297160532412e-09,-6.242300671427465e-19,32.72757670469919,8.38415155807904,10.810081422213516,3.1405431312857295,1.4136490983512315,1.7181672145074571,0.12250615038752691,0.0,0.23087978560503647,0.9190314658982732,0.08197767720365133,1.5297983743501982,0.057634822739911516,621.4859405036221,289.7828891404307,0.6091702876800053,0.6091702876911944,0.609170287691728,0.761462859613993,9.396900490326726e-11,372,0.6313,0.6313,0.01505,0.083988,2,0.4931,0.1511,0.000446,11.861,5.9307,2.0,0.3058,0.75613,1.26833,0.18492,0.9775,0.9818,1.0044,0.5212,3.0285,1.7221,1.2114,0.2799,14.2321,4.6994,80,0.1668,-0.9295,61,0.1574,-0.9131,2.0,0.5310753,0.200433,0.4520007,0.1588654,-0.0917068,-0.0426851,0.1883358,186.0,186.0,0.0841137,0.1571701,-0.3027817,0.070181,-0.0364035,-0.0814206,0.1134897,171.0,201.0
8,840,138735,0.0,5.26600033912665e-08,8.361180355180786e-09,5.26600033912665e-08,0.4809682610291055,6.879329310787368,5.753527247646502,-9.381173071147863,9.066105275040453,-0.1692791088698325,9.381173071147863,0.0008644365117878314,12.565516832551713,3.8595513131183132,-0.989221232522682,1.0161930755192086,-0.010785369968378335,1.0161930755192086,0.1342907640433098,2.3997235756133746,1.2665628185119295,0.16001749418995984,2.3905790532780307,1.1873170197822016,0.0,0.13567484706690344,0.05180746160888302,0.0011416092299711966,1.414150354231204,0.9075827173792886,5.14589706649815e-12,-0.22107747713094675,0,0,0,9.032513406661482e-07,0.6160425595186279,387,0.7495,0.02035,0.4370357518180336,0.046786110508679694,0.44149252557906515,0.06678303853751921,0.27923713125550254,1.1035959262998374,1.0559437888019072e-06,9.043253605686529e-07,1.1676591576928845,3.223760181274579e-07,0.06359367217139328,345,45,0,0,0,0.7495,387,0.6160425595186279,0.06862,0.06861998519766499,413.0,372.0,0.0858924,0.0502371,0.0497868,-0.0048529,-0.0046351,0.7163937,-0.5929086,-0.353967,-0.0997341,0.875266,0.9910377,-0.0965996,-0.0922651,777.0,372.0,0.0080594,0.041766,0.0169938,0.0128119,0.035937,0.426964,-0.4893939,-0.4901985,0.5812924,0.7028291,0.4068802,0.3067539,0.8604362,256,1.2534226347297933e-16,9.6546881315251e-18,1.5794715263189523e-17,7.782802192634176e-14,4.854250413363097e-09,-4.864785326698483e-19,24.610915871621103,6.958684357083108,8.568892124476607,3.136024885747545,1.357649933524753,1.635053597604299,0.13850863506623945,0.0,0.02505419615336888,0.5109435222004975,0.01059341150720368,2.749408167396293,0.03391323924203698,621.4861046804559,289.78296569186034,0.609170287669058,0.6091702876894373,0.609170287691728,0.7614628596117965,1.8172221843868603e-10,372,0.6313,0.6313,0.01566,0.121973,2,0.4753,0.1734,-0.002093,11.899,5.9496,2.0,0.31737,0.74644,1.28193,0.21246,0.9769,0.9826,1.0058,0.5238,2.6457,1.8814,1.1994,0.6299,14.0519,5.3112,81,0.2009,-0.9454,61,0.1902,-0.8669,-1.0,0.0298461,0.1428325,-0.6543166,-0.0771224,0.0196076,0.013879,0.0807771,186.0,186.0,0.0303216,0.0677157,-0.3814274,0.0067329,0.0055349,-0.0300446,0.0312833,171.0,201.0
9,879,138786,0.0,9.111359776029889e-08,1.402601053528167e-08,9.111359776029889e-08,0.6651424042453465,7.137276845887405,5.742602409770054,-9.412618154838453,9.398766430105596,-0.16133456675980662,9.412618154838453,0.0007984920506548532,12.565937840545368,4.068846387631641,-0.9917522929508913,1.019801649081033,-0.011664523841232299,1.019801649081033,0.1343266715343527,2.3993859879211614,1.2594667623770388,0.14419635829066735,2.3906103030526147,1.1294226185239276,0.0,0.14981631637185674,0.05816641651049066,0.002076188080848529,1.4139540682218532,0.8669231097029019,6.001105204535855e-13,-0.23530504142615577,0,0,0,2.1622615039575032e-06,0.5824900329734264,426,0.6472,0.01494,0.43534857391229265,0.023355529322951825,0.440203963235669,0.04341329810021257,0.2830375647813743,1.126107830811605,2.545637232339902e-06,2.162435975260369e-06,1.1772081400159804,8.288890871786628e-07,0.06014595507232563,362,67,0,0,0,0.6472,426,0.5824900329734264,0.066946,0.06694605881485804,414.0,374.0,0.0514036,0.0697046,-0.0353534,0.0397275,-0.0450621,0.0936167,0.1365999,-0.377438,-0.9111075,0.8678704,-0.5071895,0.5699405,-0.6464725,777.0,372.0,0.0432877,0.0492119,0.009482,0.0189429,0.0444192,-0.6147558,-0.1931423,0.7542965,-0.1257303,0.690079,0.1926778,0.3849261,0.9026113,256,1.1079810300421948e-16,1.4816860974273328e-17,2.2240498157611967e-17,2.1897344507785994e-13,7.740411286115025e-09,8.755467658419263e-19,16.652987044629015,5.521008009634903,6.751315147335,3.139949836522396,1.0755608983502962,1.359741805859807,0.07496489052593504,0.0,0.014377621795463397,2.9538496429375134,0.004903149418908962,1.0993793901040343,0.02312386714358912,621.4862123134857,289.7830158783703,0.6091702876525038,0.6091702876876198,0.609170287691728,0.7614628596095248,3.1442007560077886e-10,372,0.634,0.634,0.0163,-0.031997,2,0.411,0.1888,0.000279,11.987,5.9937,2.0,0.32411,0.73968,1.31996,0.18383,0.9753,0.9828,1.0077,0.529,2.4565,1.8015,1.0809,4.0708,11.0272,4.489,81,0.1577,-0.988,60,0.1812,-0.934,0.0,0.0685221,0.0769648,-0.0580311,0.0060106,0.0161219,0.0102737,0.0200398,188.0,186.0,0.0353323,0.0681441,-0.3170948,0.0079452,-0.0002201,-0.0178761,0.0195635,171.0,201.0
